:id,:from,:to
t-2988938-DeviceInfo-Windows,t-2988938,DeviceInfo-Windows
t-2989887-DeviceInfo-Windows,t-2989887,DeviceInfo-Windows
t-2990355-DeviceInfo-SM-G920V Build/NRD90M,t-2990355,DeviceInfo-SM-G920V Build/NRD90M
t-2991865-DeviceInfo-Windows,t-2991865,DeviceInfo-Windows
t-2991886-DeviceInfo-Windows,t-2991886,DeviceInfo-Windows
t-2993107-DeviceInfo-Moto G (4) Build/NPJS25.93-14-10,t-2993107,DeviceInfo-Moto G (4) Build/NPJS25.93-14-10
t-2993595-DeviceInfo-iOS Device,t-2993595,DeviceInfo-iOS Device
t-2994676-DeviceInfo-Trident/7.0,t-2994676,DeviceInfo-Trident/7.0
t-2994736-DeviceInfo-rv:48.0,t-2994736,DeviceInfo-rv:48.0
t-2995634-DeviceInfo-Windows,t-2995634,DeviceInfo-Windows
t-2995973-DeviceInfo-Windows,t-2995973,DeviceInfo-Windows
t-2998302-DeviceInfo-Windows,t-2998302,DeviceInfo-Windows
t-2999622-DeviceInfo-Windows,t-2999622,DeviceInfo-Windows
t-3002515-DeviceInfo-Trident/7.0,t-3002515,DeviceInfo-Trident/7.0
t-3003029-DeviceInfo-Windows,t-3003029,DeviceInfo-Windows
t-3003094-DeviceInfo-SM-G800F Build/KOT49H,t-3003094,DeviceInfo-SM-G800F Build/KOT49H
t-3005556-DeviceInfo-Windows,t-3005556,DeviceInfo-Windows
t-3007482-DeviceInfo-Windows,t-3007482,DeviceInfo-Windows
t-3009223-DeviceInfo-Windows,t-3009223,DeviceInfo-Windows
t-3009578-DeviceInfo-Windows,t-3009578,DeviceInfo-Windows
t-3011068-DeviceInfo-iOS Device,t-3011068,DeviceInfo-iOS Device
t-3011691-DeviceInfo-iOS Device,t-3011691,DeviceInfo-iOS Device
t-3011721-DeviceInfo-LG-D693n Build/LRX22G,t-3011721,DeviceInfo-LG-D693n Build/LRX22G
t-3011777-DeviceInfo-Windows,t-3011777,DeviceInfo-Windows
t-3012634-DeviceInfo-Moto E (4) Build/NMA26.42-69,t-3012634,DeviceInfo-Moto E (4) Build/NMA26.42-69
t-3012782-DeviceInfo-Windows,t-3012782,DeviceInfo-Windows
t-3012971-DeviceInfo-Windows,t-3012971,DeviceInfo-Windows
t-3013301-DeviceInfo-iOS Device,t-3013301,DeviceInfo-iOS Device
t-3013933-DeviceInfo-iOS Device,t-3013933,DeviceInfo-iOS Device
t-3014254-DeviceInfo-Windows,t-3014254,DeviceInfo-Windows
t-3016980-DeviceInfo-SAMSUNG,t-3016980,DeviceInfo-SAMSUNG
t-3019698-DeviceInfo-Windows,t-3019698,DeviceInfo-Windows
t-3020082-DeviceInfo-Windows,t-3020082,DeviceInfo-Windows
t-3020725-DeviceInfo-Trident/7.0,t-3020725,DeviceInfo-Trident/7.0
t-3021525-DeviceInfo-iOS Device,t-3021525,DeviceInfo-iOS Device
t-3022103-DeviceInfo-MacOS,t-3022103,DeviceInfo-MacOS
t-3024180-DeviceInfo-Windows,t-3024180,DeviceInfo-Windows
t-3024207-DeviceInfo-iOS Device,t-3024207,DeviceInfo-iOS Device
t-3024917-DeviceInfo-Windows,t-3024917,DeviceInfo-Windows
t-3025036-DeviceInfo-HUAWEI TAG-L13 Build/HUAWEITAG-L13,t-3025036,DeviceInfo-HUAWEI TAG-L13 Build/HUAWEITAG-L13
t-3026428-DeviceInfo-iOS Device,t-3026428,DeviceInfo-iOS Device
t-3026846-DeviceInfo-Windows,t-3026846,DeviceInfo-Windows
t-3027855-DeviceInfo-iOS Device,t-3027855,DeviceInfo-iOS Device
t-3028019-DeviceInfo-Windows,t-3028019,DeviceInfo-Windows
t-3028094-DeviceInfo-Windows,t-3028094,DeviceInfo-Windows
t-3028861-DeviceInfo-LG-K580 Build/MRA58K,t-3028861,DeviceInfo-LG-K580 Build/MRA58K
t-3029516-DeviceInfo-Windows,t-3029516,DeviceInfo-Windows
t-3029864-DeviceInfo-iOS Device,t-3029864,DeviceInfo-iOS Device
t-3030269-DeviceInfo-rv:52.0,t-3030269,DeviceInfo-rv:52.0
t-3031182-DeviceInfo-Windows,t-3031182,DeviceInfo-Windows
t-3031441-DeviceInfo-Hisense L675 PRO Build/NRD90M,t-3031441,DeviceInfo-Hisense L675 PRO Build/NRD90M
t-3033710-DeviceInfo-rv:57.0,t-3033710,DeviceInfo-rv:57.0
t-3035004-DeviceInfo-Trident/7.0,t-3035004,DeviceInfo-Trident/7.0
t-3035027-DeviceInfo-iOS Device,t-3035027,DeviceInfo-iOS Device
t-3035287-DeviceInfo-MacOS,t-3035287,DeviceInfo-MacOS
t-3035458-DeviceInfo-Windows,t-3035458,DeviceInfo-Windows
t-3035678-DeviceInfo-Trident/7.0,t-3035678,DeviceInfo-Trident/7.0
t-3036047-DeviceInfo-Trident/7.0,t-3036047,DeviceInfo-Trident/7.0
t-2987016-DeviceInfo-MacOS,t-2987016,DeviceInfo-MacOS
t-2987643-DeviceInfo-Windows,t-2987643,DeviceInfo-Windows
t-2989780-DeviceInfo-iOS Device,t-2989780,DeviceInfo-iOS Device
t-2993296-DeviceInfo-iOS Device,t-2993296,DeviceInfo-iOS Device
t-2994421-DeviceInfo-Moto,t-2994421,DeviceInfo-Moto
t-2995302-DeviceInfo-iOS Device,t-2995302,DeviceInfo-iOS Device
t-2996788-DeviceInfo-SM-G935F Build/NRD90M,t-2996788,DeviceInfo-SM-G935F Build/NRD90M
t-2996817-DeviceInfo-MacOS,t-2996817,DeviceInfo-MacOS
t-2997014-DeviceInfo-iOS Device,t-2997014,DeviceInfo-iOS Device
t-2997140-DeviceInfo-iOS Device,t-2997140,DeviceInfo-iOS Device
t-2997339-DeviceInfo-SM-G550T Build/MMB29K,t-2997339,DeviceInfo-SM-G550T Build/MMB29K
t-2997859-DeviceInfo-iOS Device,t-2997859,DeviceInfo-iOS Device
t-2998567-DeviceInfo-iOS Device,t-2998567,DeviceInfo-iOS Device
t-2998642-DeviceInfo-Windows,t-2998642,DeviceInfo-Windows
t-3000291-DeviceInfo-SM-G532M Build/MMB29T,t-3000291,DeviceInfo-SM-G532M Build/MMB29T
t-3001268-DeviceInfo-rv:11.0,t-3001268,DeviceInfo-rv:11.0
t-3002301-DeviceInfo-Windows,t-3002301,DeviceInfo-Windows
t-3003720-DeviceInfo-MacOS,t-3003720,DeviceInfo-MacOS
t-3004381-DeviceInfo-Windows,t-3004381,DeviceInfo-Windows
t-3004870-DeviceInfo-MacOS,t-3004870,DeviceInfo-MacOS
t-3005836-DeviceInfo-Windows,t-3005836,DeviceInfo-Windows
t-3006171-DeviceInfo-Windows,t-3006171,DeviceInfo-Windows
t-3007299-DeviceInfo-iOS Device,t-3007299,DeviceInfo-iOS Device
