:id,:from,:to
t-2987271-DeviceType-desktop,t-2987271,DeviceType-desktop
t-2987368-DeviceType-mobile,t-2987368,DeviceType-mobile
t-2987887-DeviceType-mobile,t-2987887,DeviceType-mobile
t-2988378-DeviceType-desktop,t-2988378,DeviceType-desktop
t-2988690-DeviceType-mobile,t-2988690,DeviceType-mobile
t-2989888-DeviceType-desktop,t-2989888,DeviceType-desktop
t-2991002-DeviceType-desktop,t-2991002,DeviceType-desktop
t-2992553-DeviceType-mobile,t-2992553,DeviceType-mobile
t-2994418-DeviceType-desktop,t-2994418,DeviceType-desktop
t-2994523-DeviceType-desktop,t-2994523,DeviceType-desktop
t-2994980-DeviceType-desktop,t-2994980,DeviceType-desktop
t-2996063-DeviceType-mobile,t-2996063,DeviceType-mobile
t-2996407-DeviceType-desktop,t-2996407,DeviceType-desktop
t-2996411-DeviceType-desktop,t-2996411,DeviceType-desktop
t-2996653-DeviceType-mobile,t-2996653,DeviceType-mobile
t-2997418-DeviceType-mobile,t-2997418,DeviceType-mobile
t-2998173-DeviceType-mobile,t-2998173,DeviceType-mobile
t-2998403-DeviceType-mobile,t-2998403,DeviceType-mobile
t-2999360-DeviceType-mobile,t-2999360,DeviceType-mobile
t-2999832-DeviceType-desktop,t-2999832,DeviceType-desktop
t-3000803-DeviceType-desktop,t-3000803,DeviceType-desktop
t-3003420-DeviceType-mobile,t-3003420,DeviceType-mobile
t-3004571-DeviceType-desktop,t-3004571,DeviceType-desktop
t-3004677-DeviceType-desktop,t-3004677,DeviceType-desktop
t-3004775-DeviceType-desktop,t-3004775,DeviceType-desktop
t-3005057-DeviceType-desktop,t-3005057,DeviceType-desktop
t-3005220-DeviceType-mobile,t-3005220,DeviceType-mobile
t-3006956-DeviceType-desktop,t-3006956,DeviceType-desktop
t-3007095-DeviceType-desktop,t-3007095,DeviceType-desktop
t-3007979-DeviceType-desktop,t-3007979,DeviceType-desktop
t-3009916-DeviceType-desktop,t-3009916,DeviceType-desktop
t-3010473-DeviceType-desktop,t-3010473,DeviceType-desktop
t-3014060-DeviceType-mobile,t-3014060,DeviceType-mobile
t-3014539-DeviceType-desktop,t-3014539,DeviceType-desktop
t-3014981-DeviceType-mobile,t-3014981,DeviceType-mobile
t-3015510-DeviceType-desktop,t-3015510,DeviceType-desktop
t-3016016-DeviceType-mobile,t-3016016,DeviceType-mobile
t-3017502-DeviceType-mobile,t-3017502,DeviceType-mobile
t-3017522-DeviceType-mobile,t-3017522,DeviceType-mobile
t-3018273-DeviceType-desktop,t-3018273,DeviceType-desktop
t-3018855-DeviceType-mobile,t-3018855,DeviceType-mobile
t-3018858-DeviceType-desktop,t-3018858,DeviceType-desktop
t-3018862-DeviceType-desktop,t-3018862,DeviceType-desktop
t-3019377-DeviceType-mobile,t-3019377,DeviceType-mobile
t-3019396-DeviceType-mobile,t-3019396,DeviceType-mobile
t-3019399-DeviceType-desktop,t-3019399,DeviceType-desktop
t-3020336-DeviceType-desktop,t-3020336,DeviceType-desktop
t-3020672-DeviceType-desktop,t-3020672,DeviceType-desktop
t-3020737-DeviceType-desktop,t-3020737,DeviceType-desktop
t-3020913-DeviceType-mobile,t-3020913,DeviceType-mobile
t-3021128-DeviceType-mobile,t-3021128,DeviceType-mobile
t-3021827-DeviceType-mobile,t-3021827,DeviceType-mobile
t-3022769-DeviceType-desktop,t-3022769,DeviceType-desktop
t-3022807-DeviceType-desktop,t-3022807,DeviceType-desktop
t-3022890-DeviceType-mobile,t-3022890,DeviceType-mobile
t-3023174-DeviceType-mobile,t-3023174,DeviceType-mobile
t-3023988-DeviceType-desktop,t-3023988,DeviceType-desktop
t-3024386-DeviceType-mobile,t-3024386,DeviceType-mobile
t-3024564-DeviceType-desktop,t-3024564,DeviceType-desktop
t-3024694-DeviceType-mobile,t-3024694,DeviceType-mobile
t-3026379-DeviceType-mobile,t-3026379,DeviceType-mobile
t-3026461-DeviceType-mobile,t-3026461,DeviceType-mobile
t-3027229-DeviceType-mobile,t-3027229,DeviceType-mobile
t-3027299-DeviceType-desktop,t-3027299,DeviceType-desktop
t-3027624-DeviceType-desktop,t-3027624,DeviceType-desktop
t-3027928-DeviceType-desktop,t-3027928,DeviceType-desktop
t-3028296-DeviceType-mobile,t-3028296,DeviceType-mobile
t-3028555-DeviceType-desktop,t-3028555,DeviceType-desktop
t-3029801-DeviceType-desktop,t-3029801,DeviceType-desktop
t-3030691-DeviceType-desktop,t-3030691,DeviceType-desktop
t-3030965-DeviceType-desktop,t-3030965,DeviceType-desktop
t-3030990-DeviceType-desktop,t-3030990,DeviceType-desktop
t-3031129-DeviceType-desktop,t-3031129,DeviceType-desktop
t-3032372-DeviceType-desktop,t-3032372,DeviceType-desktop
t-3032603-DeviceType-desktop,t-3032603,DeviceType-desktop
t-3033081-DeviceType-desktop,t-3033081,DeviceType-desktop
t-3033172-DeviceType-desktop,t-3033172,DeviceType-desktop
t-3034229-DeviceType-mobile,t-3034229,DeviceType-mobile
t-3034652-DeviceType-mobile,t-3034652,DeviceType-mobile
t-3034757-DeviceType-desktop,t-3034757,DeviceType-desktop
t-3035373-DeviceType-desktop,t-3035373,DeviceType-desktop
t-3036010-DeviceType-mobile,t-3036010,DeviceType-mobile
t-3036205-DeviceType-desktop,t-3036205,DeviceType-desktop
t-3036902-DeviceType-desktop,t-3036902,DeviceType-desktop
t-2987571-DeviceType-desktop,t-2987571,DeviceType-desktop
t-2987630-DeviceType-desktop,t-2987630,DeviceType-desktop
t-2987752-DeviceType-desktop,t-2987752,DeviceType-desktop
t-2992577-DeviceType-mobile,t-2992577,DeviceType-mobile
t-2993344-DeviceType-desktop,t-2993344,DeviceType-desktop
t-2996176-DeviceType-mobile,t-2996176,DeviceType-mobile
t-2997459-DeviceType-desktop,t-2997459,DeviceType-desktop
t-2997535-DeviceType-desktop,t-2997535,DeviceType-desktop
t-2998488-DeviceType-desktop,t-2998488,DeviceType-desktop
t-3000167-DeviceType-mobile,t-3000167,DeviceType-mobile
t-3002232-DeviceType-desktop,t-3002232,DeviceType-desktop
t-3003909-DeviceType-desktop,t-3003909,DeviceType-desktop
t-3004483-DeviceType-desktop,t-3004483,DeviceType-desktop
t-3004670-DeviceType-desktop,t-3004670,DeviceType-desktop
t-3005675-DeviceType-desktop,t-3005675,DeviceType-desktop
t-3005787-DeviceType-desktop,t-3005787,DeviceType-desktop
t-3008050-DeviceType-desktop,t-3008050,DeviceType-desktop
t-3008795-DeviceType-desktop,t-3008795,DeviceType-desktop
t-3009947-DeviceType-desktop,t-3009947,DeviceType-desktop
t-3010205-DeviceType-mobile,t-3010205,DeviceType-mobile
t-3011677-DeviceType-desktop,t-3011677,DeviceType-desktop
t-3012015-DeviceType-desktop,t-3012015,DeviceType-desktop
t-3012481-DeviceType-mobile,t-3012481,DeviceType-mobile
t-3013186-DeviceType-desktop,t-3013186,DeviceType-desktop
t-3013208-DeviceType-desktop,t-3013208,DeviceType-desktop
t-3013800-DeviceType-desktop,t-3013800,DeviceType-desktop
t-3013910-DeviceType-desktop,t-3013910,DeviceType-desktop
t-3014101-DeviceType-desktop,t-3014101,DeviceType-desktop
t-3014493-DeviceType-mobile,t-3014493,DeviceType-mobile
t-3015671-DeviceType-desktop,t-3015671,DeviceType-desktop
t-3016037-DeviceType-desktop,t-3016037,DeviceType-desktop
t-3016207-DeviceType-desktop,t-3016207,DeviceType-desktop
t-3018985-DeviceType-desktop,t-3018985,DeviceType-desktop
t-3019652-DeviceType-mobile,t-3019652,DeviceType-mobile
t-3019889-DeviceType-mobile,t-3019889,DeviceType-mobile
t-3020167-DeviceType-desktop,t-3020167,DeviceType-desktop
t-3020922-DeviceType-desktop,t-3020922,DeviceType-desktop
t-3021331-DeviceType-mobile,t-3021331,DeviceType-mobile
t-3021400-DeviceType-desktop,t-3021400,DeviceType-desktop
t-3021980-DeviceType-mobile,t-3021980,DeviceType-mobile
t-3022124-DeviceType-desktop,t-3022124,DeviceType-desktop
t-3022838-DeviceType-mobile,t-3022838,DeviceType-mobile
t-3023144-DeviceType-mobile,t-3023144,DeviceType-mobile
t-3023711-DeviceType-mobile,t-3023711,DeviceType-mobile
t-3024277-DeviceType-desktop,t-3024277,DeviceType-desktop
t-3024318-DeviceType-desktop,t-3024318,DeviceType-desktop
t-3024909-DeviceType-desktop,t-3024909,DeviceType-desktop
t-3025541-DeviceType-desktop,t-3025541,DeviceType-desktop
t-3025793-DeviceType-mobile,t-3025793,DeviceType-mobile
