:id,:from,:to
t-2987325-addr1-264.0,t-2987325,addr1-264.0
t-2987365-addr1-203.0,t-2987365,addr1-203.0
t-2987562-addr1-225.0,t-2987562,addr1-225.0
t-2987635-addr1-441.0,t-2987635,addr1-441.0
t-2987708-addr1-498.0,t-2987708,addr1-498.0
t-2988262-addr1-325.0,t-2988262,addr1-325.0
t-2988315-addr1-299.0,t-2988315,addr1-299.0
t-2988343-addr1-498.0,t-2988343,addr1-498.0
t-2988403-addr1-327.0,t-2988403,addr1-327.0
t-2988566-addr1-330.0,t-2988566,addr1-330.0
t-2988961-addr1-494.0,t-2988961,addr1-494.0
t-2989014-addr1-330.0,t-2989014,addr1-330.0
t-2989723-addr1-126.0,t-2989723,addr1-126.0
t-2989859-addr1-469.0,t-2989859,addr1-469.0
t-2990012-addr1-272.0,t-2990012,addr1-272.0
t-2990067-addr1-122.0,t-2990067,addr1-122.0
t-2990325-addr1-325.0,t-2990325,addr1-325.0
t-2990342-addr1-325.0,t-2990342,addr1-325.0
t-2990680-addr1-512.0,t-2990680,addr1-512.0
t-2990867-addr1-231.0,t-2990867,addr1-231.0
t-2990895-addr1-204.0,t-2990895,addr1-204.0
t-2990910-addr1-343.0,t-2990910,addr1-343.0
t-2990931-addr1-126.0,t-2990931,addr1-126.0
t-2991053-addr1-387.0,t-2991053,addr1-387.0
t-2991171-addr1-299.0,t-2991171,addr1-299.0
t-2991280-addr1-472.0,t-2991280,addr1-472.0
t-2991736-addr1-469.0,t-2991736,addr1-469.0
t-2991879-addr1-315.0,t-2991879,addr1-315.0
t-2991939-addr1-299.0,t-2991939,addr1-299.0
t-2992740-addr1-315.0,t-2992740,addr1-315.0
t-2993018-addr1-299.0,t-2993018,addr1-299.0
t-2993180-addr1-299.0,t-2993180,addr1-299.0
t-2993198-addr1-315.0,t-2993198,addr1-315.0
t-2993331-addr1-126.0,t-2993331,addr1-126.0
t-2993717-addr1-204.0,t-2993717,addr1-204.0
t-2993795-addr1-476.0,t-2993795,addr1-476.0
t-2993876-addr1-231.0,t-2993876,addr1-231.0
t-2994234-addr1-226.0,t-2994234,addr1-226.0
t-2994445-addr1-191.0,t-2994445,addr1-191.0
t-2994681-addr1-269.0,t-2994681,addr1-269.0
t-2994848-addr1-325.0,t-2994848,addr1-325.0
t-2994974-addr1-330.0,t-2994974,addr1-330.0
t-2994999-addr1-299.0,t-2994999,addr1-299.0
t-2995019-addr1-272.0,t-2995019,addr1-272.0
t-2995065-addr1-299.0,t-2995065,addr1-299.0
t-2995093-addr1-264.0,t-2995093,addr1-264.0
t-2995101-addr1-204.0,t-2995101,addr1-204.0
t-2995475-addr1-272.0,t-2995475,addr1-272.0
t-2995513-addr1-299.0,t-2995513,addr1-299.0
t-2996226-addr1-204.0,t-2996226,addr1-204.0
t-2996285-addr1-325.0,t-2996285,addr1-325.0
t-2996372-addr1-299.0,t-2996372,addr1-299.0
t-2997454-addr1-264.0,t-2997454,addr1-264.0
t-2997472-addr1-494.0,t-2997472,addr1-494.0
t-2998511-addr1-204.0,t-2998511,addr1-204.0
t-2998804-addr1-269.0,t-2998804,addr1-269.0
t-2999182-addr1-498.0,t-2999182,addr1-498.0
t-2999324-addr1-472.0,t-2999324,addr1-472.0
t-2999411-addr1-126.0,t-2999411,addr1-126.0
t-2999490-addr1-204.0,t-2999490,addr1-204.0
t-2999604-addr1-476.0,t-2999604,addr1-476.0
t-2999818-addr1-512.0,t-2999818,addr1-512.0
t-3000392-addr1-204.0,t-3000392,addr1-204.0
t-3000522-addr1-264.0,t-3000522,addr1-264.0
t-3000687-addr1-191.0,t-3000687,addr1-191.0
t-3000966-addr1-184.0,t-3000966,addr1-184.0
t-3000987-addr1-251.0,t-3000987,addr1-251.0
t-3001477-addr1-123.0,t-3001477,addr1-123.0
t-3001757-addr1-310.0,t-3001757,addr1-310.0
t-3001947-addr1-110.0,t-3001947,addr1-110.0
t-3002602-addr1-143.0,t-3002602,addr1-143.0
t-3002827-addr1-191.0,t-3002827,addr1-191.0
t-3002898-addr1-494.0,t-3002898,addr1-494.0
t-3003058-addr1-264.0,t-3003058,addr1-264.0
t-3003348-addr1-184.0,t-3003348,addr1-184.0
t-3003474-addr1-476.0,t-3003474,addr1-476.0
t-3003762-addr1-204.0,t-3003762,addr1-204.0
t-3003772-addr1-511.0,t-3003772,addr1-511.0
t-3004075-addr1-472.0,t-3004075,addr1-472.0
t-3004206-addr1-330.0,t-3004206,addr1-330.0
t-3004321-addr1-325.0,t-3004321,addr1-325.0
t-3004666-addr1-325.0,t-3004666,addr1-325.0
t-3004769-addr1-143.0,t-3004769,addr1-143.0
t-3004872-addr1-181.0,t-3004872,addr1-181.0
t-3005133-addr1-476.0,t-3005133,addr1-476.0
t-3005571-addr1-204.0,t-3005571,addr1-204.0
t-3005980-addr1-387.0,t-3005980,addr1-387.0
t-3006397-addr1-269.0,t-3006397,addr1-269.0
t-3006494-addr1-143.0,t-3006494,addr1-143.0
t-3006498-addr1-184.0,t-3006498,addr1-184.0
t-3006910-addr1-315.0,t-3006910,addr1-315.0
t-3007119-addr1-184.0,t-3007119,addr1-184.0
t-3007439-addr1-272.0,t-3007439,addr1-272.0
t-3007681-addr1-161.0,t-3007681,addr1-161.0
t-3007951-addr1-161.0,t-3007951,addr1-161.0
t-3008810-addr1-337.0,t-3008810,addr1-337.0
t-3009096-addr1-472.0,t-3009096,addr1-472.0
t-3009166-addr1-325.0,t-3009166,addr1-325.0
t-3009240-addr1-204.0,t-3009240,addr1-204.0
t-3009546-addr1-272.0,t-3009546,addr1-272.0
t-3009808-addr1-205.0,t-3009808,addr1-205.0
t-3010009-addr1-123.0,t-3010009,addr1-123.0
t-3010605-addr1-441.0,t-3010605,addr1-441.0
t-3010742-addr1-512.0,t-3010742,addr1-512.0
t-3010819-addr1-465.0,t-3010819,addr1-465.0
t-3010936-addr1-441.0,t-3010936,addr1-441.0
t-3011463-addr1-203.0,t-3011463,addr1-203.0
t-3011470-addr1-231.0,t-3011470,addr1-231.0
t-3012256-addr1-126.0,t-3012256,addr1-126.0
t-3012584-addr1-387.0,t-3012584,addr1-387.0
t-3012674-addr1-441.0,t-3012674,addr1-441.0
t-3013315-addr1-308.0,t-3013315,addr1-308.0
t-3013504-addr1-299.0,t-3013504,addr1-299.0
t-3013753-addr1-330.0,t-3013753,addr1-330.0
t-3014513-addr1-494.0,t-3014513,addr1-494.0
t-3014814-addr1-325.0,t-3014814,addr1-325.0
t-3015319-addr1-161.0,t-3015319,addr1-161.0
t-3016005-addr1-337.0,t-3016005,addr1-337.0
t-3016241-addr1-272.0,t-3016241,addr1-272.0
t-3016538-addr1-325.0,t-3016538,addr1-325.0
t-3016575-addr1-325.0,t-3016575,addr1-325.0
t-3016643-addr1-226.0,t-3016643,addr1-226.0
t-3016964-addr1-325.0,t-3016964,addr1-325.0
t-3017863-addr1-264.0,t-3017863,addr1-264.0
t-3018434-addr1-310.0,t-3018434,addr1-310.0
t-3018504-addr1-520.0,t-3018504,addr1-520.0
t-3018860-addr1-299.0,t-3018860,addr1-299.0
t-3018869-addr1-529.0,t-3018869,addr1-529.0
t-3019256-addr1-130.0,t-3019256,addr1-130.0
t-3019965-addr1-327.0,t-3019965,addr1-327.0
t-3020361-addr1-264.0,t-3020361,addr1-264.0
t-3020515-addr1-204.0,t-3020515,addr1-204.0
t-3020626-addr1-204.0,t-3020626,addr1-204.0
t-3020793-addr1-130.0,t-3020793,addr1-130.0
t-3020836-addr1-315.0,t-3020836,addr1-315.0
t-3020866-addr1-181.0,t-3020866,addr1-181.0
t-3020962-addr1-130.0,t-3020962,addr1-130.0
t-3021006-addr1-512.0,t-3021006,addr1-512.0
t-3021130-addr1-235.0,t-3021130,addr1-235.0
t-3021139-addr1-272.0,t-3021139,addr1-272.0
t-3021272-addr1-204.0,t-3021272,addr1-204.0
t-3021273-addr1-299.0,t-3021273,addr1-299.0
t-3021742-addr1-387.0,t-3021742,addr1-387.0
t-3021821-addr1-472.0,t-3021821,addr1-472.0
t-3021974-addr1-126.0,t-3021974,addr1-126.0
