:id,:from,:to
t-2987315-addr2-87.0,t-2987315,addr2-87.0
t-2987742-addr2-87.0,t-2987742,addr2-87.0
t-2988386-addr2-87.0,t-2988386,addr2-87.0
t-2988467-addr2-87.0,t-2988467,addr2-87.0
t-2988671-addr2-87.0,t-2988671,addr2-87.0
t-2988867-addr2-87.0,t-2988867,addr2-87.0
t-2988914-addr2-87.0,t-2988914,addr2-87.0
t-2988933-addr2-87.0,t-2988933,addr2-87.0
t-2988995-addr2-87.0,t-2988995,addr2-87.0
t-2989288-addr2-87.0,t-2989288,addr2-87.0
t-2989429-addr2-87.0,t-2989429,addr2-87.0
t-2989767-addr2-87.0,t-2989767,addr2-87.0
t-2989981-addr2-87.0,t-2989981,addr2-87.0
t-2990136-addr2-87.0,t-2990136,addr2-87.0
t-2990615-addr2-87.0,t-2990615,addr2-87.0
t-2990701-addr2-87.0,t-2990701,addr2-87.0
t-2990801-addr2-87.0,t-2990801,addr2-87.0
t-2990913-addr2-87.0,t-2990913,addr2-87.0
t-2991122-addr2-87.0,t-2991122,addr2-87.0
t-2991123-addr2-87.0,t-2991123,addr2-87.0
t-2991307-addr2-87.0,t-2991307,addr2-87.0
t-2991666-addr2-87.0,t-2991666,addr2-87.0
t-2991732-addr2-87.0,t-2991732,addr2-87.0
t-2991753-addr2-87.0,t-2991753,addr2-87.0
t-2992818-addr2-87.0,t-2992818,addr2-87.0
t-2992998-addr2-87.0,t-2992998,addr2-87.0
t-2993177-addr2-87.0,t-2993177,addr2-87.0
t-2993251-addr2-87.0,t-2993251,addr2-87.0
t-2993398-addr2-87.0,t-2993398,addr2-87.0
t-2993763-addr2-87.0,t-2993763,addr2-87.0
t-2994046-addr2-87.0,t-2994046,addr2-87.0
t-2994290-addr2-87.0,t-2994290,addr2-87.0
t-2994341-addr2-87.0,t-2994341,addr2-87.0
t-2995001-addr2-87.0,t-2995001,addr2-87.0
t-2995038-addr2-87.0,t-2995038,addr2-87.0
t-2995073-addr2-87.0,t-2995073,addr2-87.0
t-2995128-addr2-87.0,t-2995128,addr2-87.0
t-2995330-addr2-87.0,t-2995330,addr2-87.0
t-2995456-addr2-87.0,t-2995456,addr2-87.0
t-2996199-addr2-87.0,t-2996199,addr2-87.0
t-2997250-addr2-87.0,t-2997250,addr2-87.0
t-2997353-addr2-87.0,t-2997353,addr2-87.0
t-2997567-addr2-87.0,t-2997567,addr2-87.0
t-2998055-addr2-87.0,t-2998055,addr2-87.0
t-2998137-addr2-87.0,t-2998137,addr2-87.0
t-2998600-addr2-87.0,t-2998600,addr2-87.0
t-2998617-addr2-87.0,t-2998617,addr2-87.0
t-2998733-addr2-87.0,t-2998733,addr2-87.0
t-2999359-addr2-87.0,t-2999359,addr2-87.0
t-2999415-addr2-87.0,t-2999415,addr2-87.0
t-2999647-addr2-87.0,t-2999647,addr2-87.0
t-2999740-addr2-87.0,t-2999740,addr2-87.0
t-2999936-addr2-87.0,t-2999936,addr2-87.0
t-2999993-addr2-87.0,t-2999993,addr2-87.0
t-3000312-addr2-87.0,t-3000312,addr2-87.0
t-3000593-addr2-87.0,t-3000593,addr2-87.0
t-3000627-addr2-87.0,t-3000627,addr2-87.0
t-3000806-addr2-87.0,t-3000806,addr2-87.0
t-3000845-addr2-87.0,t-3000845,addr2-87.0
t-3000936-addr2-87.0,t-3000936,addr2-87.0
t-3001759-addr2-87.0,t-3001759,addr2-87.0
t-3001941-addr2-87.0,t-3001941,addr2-87.0
t-3002504-addr2-87.0,t-3002504,addr2-87.0
t-3002632-addr2-87.0,t-3002632,addr2-87.0
t-3003040-addr2-87.0,t-3003040,addr2-87.0
t-3003498-addr2-87.0,t-3003498,addr2-87.0
t-3003689-addr2-87.0,t-3003689,addr2-87.0
t-3004038-addr2-87.0,t-3004038,addr2-87.0
t-3004045-addr2-60.0,t-3004045,addr2-60.0
t-3004311-addr2-87.0,t-3004311,addr2-87.0
t-3004699-addr2-87.0,t-3004699,addr2-87.0
t-3004879-addr2-87.0,t-3004879,addr2-87.0
t-3004923-addr2-87.0,t-3004923,addr2-87.0
t-3005188-addr2-87.0,t-3005188,addr2-87.0
t-3005301-addr2-87.0,t-3005301,addr2-87.0
t-3005863-addr2-87.0,t-3005863,addr2-87.0
t-3005904-addr2-87.0,t-3005904,addr2-87.0
t-3006124-addr2-87.0,t-3006124,addr2-87.0
t-3006171-addr2-87.0,t-3006171,addr2-87.0
t-3006221-addr2-87.0,t-3006221,addr2-87.0
t-3006222-addr2-87.0,t-3006222,addr2-87.0
t-3006299-addr2-87.0,t-3006299,addr2-87.0
t-3006632-addr2-60.0,t-3006632,addr2-60.0
t-3006715-addr2-87.0,t-3006715,addr2-87.0
t-3006716-addr2-87.0,t-3006716,addr2-87.0
t-3006998-addr2-87.0,t-3006998,addr2-87.0
t-3007179-addr2-87.0,t-3007179,addr2-87.0
t-3007239-addr2-87.0,t-3007239,addr2-87.0
t-3007497-addr2-87.0,t-3007497,addr2-87.0
t-3007509-addr2-87.0,t-3007509,addr2-87.0
t-3007905-addr2-87.0,t-3007905,addr2-87.0
t-3008171-addr2-87.0,t-3008171,addr2-87.0
t-3008194-addr2-87.0,t-3008194,addr2-87.0
t-3008506-addr2-87.0,t-3008506,addr2-87.0
t-3008661-addr2-87.0,t-3008661,addr2-87.0
t-3008663-addr2-60.0,t-3008663,addr2-60.0
t-3008893-addr2-87.0,t-3008893,addr2-87.0
t-3009022-addr2-87.0,t-3009022,addr2-87.0
t-3009199-addr2-87.0,t-3009199,addr2-87.0
t-3009220-addr2-87.0,t-3009220,addr2-87.0
t-3009391-addr2-87.0,t-3009391,addr2-87.0
t-3009993-addr2-87.0,t-3009993,addr2-87.0
t-3010085-addr2-87.0,t-3010085,addr2-87.0
t-3010213-addr2-87.0,t-3010213,addr2-87.0
t-3010363-addr2-60.0,t-3010363,addr2-60.0
