:id,:from,:to
t-2987002-card2-490.0,t-2987002,card2-490.0
t-2987144-card2-325.0,t-2987144,card2-325.0
t-2987445-card2-490.0,t-2987445,card2-490.0
t-2987602-card2-514.0,t-2987602,card2-514.0
t-2987897-card2-490.0,t-2987897,card2-490.0
t-2988183-card2-111.0,t-2988183,card2-111.0
t-2988241-card2-514.0,t-2988241,card2-514.0
t-2988262-card2-194.0,t-2988262,card2-194.0
t-2988413-card2-106.0,t-2988413,card2-106.0
t-2988686-card2-555.0,t-2988686,card2-555.0
t-2989013-card2-490.0,t-2989013,card2-490.0
t-2989022-card2-543.0,t-2989022,card2-543.0
t-2989262-card2-194.0,t-2989262,card2-194.0
t-2989876-card2-420.0,t-2989876,card2-420.0
t-2989974-card2-490.0,t-2989974,card2-490.0
t-2990136-card2-583.0,t-2990136,card2-583.0
t-2990139-card2-494.0,t-2990139,card2-494.0
t-2990227-card2-111.0,t-2990227,card2-111.0
t-2990478-card2-370.0,t-2990478,card2-370.0
t-2990521-card2-174.0,t-2990521,card2-174.0
t-2990820-card2-155.0,t-2990820,card2-155.0
t-2990918-card2-111.0,t-2990918,card2-111.0
t-2991008-card2-111.0,t-2991008,card2-111.0
t-2991130-card2-111.0,t-2991130,card2-111.0
t-2991465-card2-453.0,t-2991465,card2-453.0
t-2991473-card2-595.0,t-2991473,card2-595.0
t-2991603-card2-321.0,t-2991603,card2-321.0
t-2991726-card2-361.0,t-2991726,card2-361.0
t-2992178-card2-194.0,t-2992178,card2-194.0
t-2992221-card2-298.0,t-2992221,card2-298.0
t-2992610-card2-555.0,t-2992610,card2-555.0
t-2993089-card2-194.0,t-2993089,card2-194.0
t-2993110-card2-408.0,t-2993110,card2-408.0
t-2993600-card2-321.0,t-2993600,card2-321.0
t-2993661-card2-512.0,t-2993661,card2-512.0
t-2993695-card2-445.0,t-2993695,card2-445.0
t-2993835-card2-562.0,t-2993835,card2-562.0
t-2994075-card2-215.0,t-2994075,card2-215.0
t-2994217-card2-555.0,t-2994217,card2-555.0
t-2994342-card2-276.0,t-2994342,card2-276.0
t-2994590-card2-445.0,t-2994590,card2-445.0
t-2994953-card2-360.0,t-2994953,card2-360.0
t-2995026-card2-583.0,t-2995026,card2-583.0
t-2995067-card2-583.0,t-2995067,card2-583.0
t-2995345-card2-545.0,t-2995345,card2-545.0
t-2995525-card2-545.0,t-2995525,card2-545.0
t-2995640-card2-111.0,t-2995640,card2-111.0
t-2995767-card2-111.0,t-2995767,card2-111.0
t-2995837-card2-298.0,t-2995837,card2-298.0
t-2996787-card2-213.0,t-2996787,card2-213.0
t-2996884-card2-545.0,t-2996884,card2-545.0
t-2997237-card2-176.0,t-2997237,card2-176.0
t-2997378-card2-327.0,t-2997378,card2-327.0
t-2997455-card2-490.0,t-2997455,card2-490.0
t-2997513-card2-543.0,t-2997513,card2-543.0
t-2997637-card2-126.0,t-2997637,card2-126.0
