:id,:from,:to
t-2987098-card3-150.0,t-2987098,card3-150.0
t-2987849-card3-185.0,t-2987849,card3-185.0
t-2987986-card3-150.0,t-2987986,card3-150.0
t-2988032-card3-150.0,t-2988032,card3-150.0
t-2988087-card3-150.0,t-2988087,card3-150.0
t-2988734-card3-150.0,t-2988734,card3-150.0
t-2989387-card3-150.0,t-2989387,card3-150.0
t-2989707-card3-150.0,t-2989707,card3-150.0
t-2990101-card3-185.0,t-2990101,card3-185.0
t-2990145-card3-150.0,t-2990145,card3-150.0
t-2990165-card3-150.0,t-2990165,card3-150.0
t-2990419-card3-150.0,t-2990419,card3-150.0
t-2990521-card3-150.0,t-2990521,card3-150.0
t-2990602-card3-150.0,t-2990602,card3-150.0
t-2990624-card3-150.0,t-2990624,card3-150.0
t-2990979-card3-150.0,t-2990979,card3-150.0
t-2991342-card3-150.0,t-2991342,card3-150.0
t-2991372-card3-150.0,t-2991372,card3-150.0
t-2991375-card3-150.0,t-2991375,card3-150.0
t-2991449-card3-150.0,t-2991449,card3-150.0
t-2991453-card3-150.0,t-2991453,card3-150.0
t-2991910-card3-150.0,t-2991910,card3-150.0
t-2991913-card3-150.0,t-2991913,card3-150.0
t-2991920-card3-150.0,t-2991920,card3-150.0
t-2992014-card3-150.0,t-2992014,card3-150.0
t-2992041-card3-150.0,t-2992041,card3-150.0
t-2992477-card3-150.0,t-2992477,card3-150.0
t-2992501-card3-185.0,t-2992501,card3-185.0
t-2992697-card3-150.0,t-2992697,card3-150.0
t-2993229-card3-150.0,t-2993229,card3-150.0
t-2993748-card3-150.0,t-2993748,card3-150.0
t-2993986-card3-150.0,t-2993986,card3-150.0
t-2994011-card3-150.0,t-2994011,card3-150.0
t-2994537-card3-150.0,t-2994537,card3-150.0
t-2994586-card3-150.0,t-2994586,card3-150.0
t-2994758-card3-150.0,t-2994758,card3-150.0
t-2994761-card3-150.0,t-2994761,card3-150.0
t-2994789-card3-150.0,t-2994789,card3-150.0
t-2995215-card3-150.0,t-2995215,card3-150.0
t-2995432-card3-150.0,t-2995432,card3-150.0
t-2995673-card3-150.0,t-2995673,card3-150.0
t-2995771-card3-150.0,t-2995771,card3-150.0
t-2995831-card3-150.0,t-2995831,card3-150.0
t-2996337-card3-150.0,t-2996337,card3-150.0
t-2996542-card3-150.0,t-2996542,card3-150.0
t-2996863-card3-150.0,t-2996863,card3-150.0
t-2996937-card3-185.0,t-2996937,card3-185.0
t-2997116-card3-150.0,t-2997116,card3-150.0
t-2997818-card3-150.0,t-2997818,card3-150.0
t-2997828-card3-150.0,t-2997828,card3-150.0
t-2998017-card3-150.0,t-2998017,card3-150.0
t-2998067-card3-150.0,t-2998067,card3-150.0
t-2998212-card3-150.0,t-2998212,card3-150.0
t-2999023-card3-150.0,t-2999023,card3-150.0
t-2999202-card3-150.0,t-2999202,card3-150.0
t-2999317-card3-185.0,t-2999317,card3-185.0
t-2999656-card3-150.0,t-2999656,card3-150.0
t-2999743-card3-150.0,t-2999743,card3-150.0
t-3000174-card3-150.0,t-3000174,card3-150.0
t-3000232-card3-150.0,t-3000232,card3-150.0
t-3000258-card3-150.0,t-3000258,card3-150.0
t-3000473-card3-150.0,t-3000473,card3-150.0
t-3000528-card3-150.0,t-3000528,card3-150.0
t-3000530-card3-150.0,t-3000530,card3-150.0
t-3000743-card3-150.0,t-3000743,card3-150.0
t-3001135-card3-150.0,t-3001135,card3-150.0
t-3001174-card3-150.0,t-3001174,card3-150.0
t-3001183-card3-150.0,t-3001183,card3-150.0
t-3001219-card3-150.0,t-3001219,card3-150.0
t-3001295-card3-150.0,t-3001295,card3-150.0
t-3001356-card3-150.0,t-3001356,card3-150.0
t-3001458-card3-150.0,t-3001458,card3-150.0
t-3001588-card3-150.0,t-3001588,card3-150.0
t-3001593-card3-150.0,t-3001593,card3-150.0
t-3001779-card3-150.0,t-3001779,card3-150.0
t-3002168-card3-150.0,t-3002168,card3-150.0
t-3002230-card3-150.0,t-3002230,card3-150.0
t-3002477-card3-150.0,t-3002477,card3-150.0
t-3002538-card3-150.0,t-3002538,card3-150.0
t-3002892-card3-150.0,t-3002892,card3-150.0
t-3002969-card3-150.0,t-3002969,card3-150.0
t-3003363-card3-150.0,t-3003363,card3-150.0
t-3003378-card3-150.0,t-3003378,card3-150.0
t-3003443-card3-150.0,t-3003443,card3-150.0
t-3003464-card3-150.0,t-3003464,card3-150.0
t-3003481-card3-150.0,t-3003481,card3-150.0
t-3003552-card3-150.0,t-3003552,card3-150.0
t-3003644-card3-150.0,t-3003644,card3-150.0
t-3003736-card3-150.0,t-3003736,card3-150.0
t-3003756-card3-150.0,t-3003756,card3-150.0
t-3003917-card3-150.0,t-3003917,card3-150.0
t-3003971-card3-150.0,t-3003971,card3-150.0
t-3004303-card3-150.0,t-3004303,card3-150.0
t-3005080-card3-150.0,t-3005080,card3-150.0
t-3005270-card3-150.0,t-3005270,card3-150.0
t-3005725-card3-150.0,t-3005725,card3-150.0
t-3005814-card3-150.0,t-3005814,card3-150.0
t-3005966-card3-150.0,t-3005966,card3-150.0
t-3005982-card3-150.0,t-3005982,card3-150.0
t-3006183-card3-150.0,t-3006183,card3-150.0
t-3006358-card3-150.0,t-3006358,card3-150.0
t-3006446-card3-150.0,t-3006446,card3-150.0
t-3006603-card3-150.0,t-3006603,card3-150.0
t-3006654-card3-150.0,t-3006654,card3-150.0
t-3006919-card3-150.0,t-3006919,card3-150.0
t-3007314-card3-150.0,t-3007314,card3-150.0
t-3007499-card3-150.0,t-3007499,card3-150.0
t-3007531-card3-150.0,t-3007531,card3-150.0
t-3007539-card3-150.0,t-3007539,card3-150.0
t-3007591-card3-150.0,t-3007591,card3-150.0
t-3007876-card3-150.0,t-3007876,card3-150.0
t-3007911-card3-150.0,t-3007911,card3-150.0
t-3008130-card3-150.0,t-3008130,card3-150.0
t-3008171-card3-150.0,t-3008171,card3-150.0
t-3008326-card3-185.0,t-3008326,card3-185.0
t-3008444-card3-150.0,t-3008444,card3-150.0
t-3008466-card3-150.0,t-3008466,card3-150.0
t-3009057-card3-150.0,t-3009057,card3-150.0
t-3009094-card3-150.0,t-3009094,card3-150.0
t-3009207-card3-150.0,t-3009207,card3-150.0
t-3009771-card3-150.0,t-3009771,card3-150.0
t-3009993-card3-150.0,t-3009993,card3-150.0
t-3010171-card3-150.0,t-3010171,card3-150.0
t-3010186-card3-150.0,t-3010186,card3-150.0
t-3010274-card3-150.0,t-3010274,card3-150.0
t-3010391-card3-150.0,t-3010391,card3-150.0
t-3010560-card3-150.0,t-3010560,card3-150.0
t-3010738-card3-150.0,t-3010738,card3-150.0
t-3011472-card3-150.0,t-3011472,card3-150.0
t-3011648-card3-150.0,t-3011648,card3-150.0
t-3012128-card3-150.0,t-3012128,card3-150.0
t-3012191-card3-150.0,t-3012191,card3-150.0
t-3012320-card3-150.0,t-3012320,card3-150.0
t-3012545-card3-150.0,t-3012545,card3-150.0
t-3012601-card3-150.0,t-3012601,card3-150.0
t-3012866-card3-150.0,t-3012866,card3-150.0
t-3012914-card3-150.0,t-3012914,card3-150.0
t-3013093-card3-185.0,t-3013093,card3-185.0
t-3013429-card3-185.0,t-3013429,card3-185.0
t-3013462-card3-150.0,t-3013462,card3-150.0
t-3013919-card3-150.0,t-3013919,card3-150.0
t-3013933-card3-102.0,t-3013933,card3-102.0
t-3014000-card3-150.0,t-3014000,card3-150.0
t-3014031-card3-150.0,t-3014031,card3-150.0
t-3014388-card3-150.0,t-3014388,card3-150.0
t-3014487-card3-150.0,t-3014487,card3-150.0
t-3014654-card3-150.0,t-3014654,card3-150.0
t-3014994-card3-150.0,t-3014994,card3-150.0
t-3015148-card3-150.0,t-3015148,card3-150.0
t-3015220-card3-150.0,t-3015220,card3-150.0
t-3015604-card3-150.0,t-3015604,card3-150.0
t-3015662-card3-150.0,t-3015662,card3-150.0
t-3015814-card3-150.0,t-3015814,card3-150.0
t-3015944-card3-150.0,t-3015944,card3-150.0
t-3016216-card3-150.0,t-3016216,card3-150.0
t-3016383-card3-150.0,t-3016383,card3-150.0
t-3016882-card3-150.0,t-3016882,card3-150.0
t-3017070-card3-150.0,t-3017070,card3-150.0
t-3017225-card3-150.0,t-3017225,card3-150.0
t-3017342-card3-150.0,t-3017342,card3-150.0
t-3017571-card3-150.0,t-3017571,card3-150.0
t-3017820-card3-150.0,t-3017820,card3-150.0
t-3017874-card3-150.0,t-3017874,card3-150.0
t-3017910-card3-150.0,t-3017910,card3-150.0
t-3018099-card3-106.0,t-3018099,card3-106.0
t-3018243-card3-150.0,t-3018243,card3-150.0
t-3018381-card3-150.0,t-3018381,card3-150.0
t-3018584-card3-150.0,t-3018584,card3-150.0
t-3018939-card3-185.0,t-3018939,card3-185.0
t-3019054-card3-150.0,t-3019054,card3-150.0
t-3019250-card3-150.0,t-3019250,card3-150.0
t-3019745-card3-150.0,t-3019745,card3-150.0
t-3019925-card3-150.0,t-3019925,card3-150.0
t-3019989-card3-150.0,t-3019989,card3-150.0
t-3019995-card3-150.0,t-3019995,card3-150.0
t-3020091-card3-150.0,t-3020091,card3-150.0
t-3020227-card3-150.0,t-3020227,card3-150.0
t-3020337-card3-150.0,t-3020337,card3-150.0
t-3020566-card3-150.0,t-3020566,card3-150.0
t-3020712-card3-150.0,t-3020712,card3-150.0
t-3020760-card3-150.0,t-3020760,card3-150.0
t-3020769-card3-150.0,t-3020769,card3-150.0
t-3020887-card3-150.0,t-3020887,card3-150.0
t-3021130-card3-106.0,t-3021130,card3-106.0
t-3021367-card3-150.0,t-3021367,card3-150.0
t-3021568-card3-150.0,t-3021568,card3-150.0
t-3021607-card3-150.0,t-3021607,card3-150.0
t-3021689-card3-150.0,t-3021689,card3-150.0
t-3021888-card3-150.0,t-3021888,card3-150.0
t-3021940-card3-150.0,t-3021940,card3-150.0
t-3022125-card3-150.0,t-3022125,card3-150.0
t-3022458-card3-150.0,t-3022458,card3-150.0
t-3022592-card3-150.0,t-3022592,card3-150.0
t-3022629-card3-150.0,t-3022629,card3-150.0
t-3022838-card3-150.0,t-3022838,card3-150.0
t-3023584-card3-150.0,t-3023584,card3-150.0
t-3023803-card3-150.0,t-3023803,card3-150.0
t-3023806-card3-150.0,t-3023806,card3-150.0
t-3023837-card3-150.0,t-3023837,card3-150.0
t-3024109-card3-150.0,t-3024109,card3-150.0
t-3024188-card3-150.0,t-3024188,card3-150.0
t-3024237-card3-150.0,t-3024237,card3-150.0
t-3024370-card3-150.0,t-3024370,card3-150.0
t-3024603-card3-150.0,t-3024603,card3-150.0
t-3024941-card3-150.0,t-3024941,card3-150.0
t-3025188-card3-150.0,t-3025188,card3-150.0
t-3025195-card3-150.0,t-3025195,card3-150.0
t-3025336-card3-150.0,t-3025336,card3-150.0
t-3025525-card3-150.0,t-3025525,card3-150.0
t-3025597-card3-150.0,t-3025597,card3-150.0
t-3025733-card3-150.0,t-3025733,card3-150.0
t-3025778-card3-150.0,t-3025778,card3-150.0
t-3025891-card3-150.0,t-3025891,card3-150.0
t-3026094-card3-150.0,t-3026094,card3-150.0
t-3026524-card3-150.0,t-3026524,card3-150.0
t-3026914-card3-185.0,t-3026914,card3-185.0
t-3027104-card3-150.0,t-3027104,card3-150.0
t-3027182-card3-150.0,t-3027182,card3-150.0
t-3027249-card3-150.0,t-3027249,card3-150.0
t-3027250-card3-150.0,t-3027250,card3-150.0
t-3027494-card3-150.0,t-3027494,card3-150.0
t-3027671-card3-150.0,t-3027671,card3-150.0
t-3027693-card3-150.0,t-3027693,card3-150.0
t-3027824-card3-150.0,t-3027824,card3-150.0
t-3028291-card3-150.0,t-3028291,card3-150.0
t-3028484-card3-150.0,t-3028484,card3-150.0
t-3028873-card3-150.0,t-3028873,card3-150.0
t-3029089-card3-150.0,t-3029089,card3-150.0
t-3029102-card3-150.0,t-3029102,card3-150.0
t-3029151-card3-150.0,t-3029151,card3-150.0
t-3029169-card3-185.0,t-3029169,card3-185.0
t-3029650-card3-150.0,t-3029650,card3-150.0
t-3029660-card3-150.0,t-3029660,card3-150.0
t-3029822-card3-150.0,t-3029822,card3-150.0
t-3029873-card3-150.0,t-3029873,card3-150.0
t-3030785-card3-150.0,t-3030785,card3-150.0
t-3031284-card3-150.0,t-3031284,card3-150.0
t-3031476-card3-144.0,t-3031476,card3-144.0
t-3031514-card3-150.0,t-3031514,card3-150.0
t-3031594-card3-150.0,t-3031594,card3-150.0
t-3031652-card3-150.0,t-3031652,card3-150.0
t-3031708-card3-150.0,t-3031708,card3-150.0
t-3031920-card3-150.0,t-3031920,card3-150.0
t-3032083-card3-150.0,t-3032083,card3-150.0
t-3032108-card3-150.0,t-3032108,card3-150.0
t-3032206-card3-150.0,t-3032206,card3-150.0
t-3032527-card3-150.0,t-3032527,card3-150.0
t-3032600-card3-185.0,t-3032600,card3-185.0
t-3033104-card3-150.0,t-3033104,card3-150.0
t-3033132-card3-150.0,t-3033132,card3-150.0
t-3033232-card3-150.0,t-3033232,card3-150.0
t-3033319-card3-150.0,t-3033319,card3-150.0
t-3033544-card3-150.0,t-3033544,card3-150.0
t-3033698-card3-150.0,t-3033698,card3-150.0
t-3033774-card3-150.0,t-3033774,card3-150.0
t-3034023-card3-150.0,t-3034023,card3-150.0
t-3034951-card3-150.0,t-3034951,card3-150.0
t-3035025-card3-150.0,t-3035025,card3-150.0
t-3035235-card3-150.0,t-3035235,card3-150.0
t-3035308-card3-150.0,t-3035308,card3-150.0
t-3035443-card3-150.0,t-3035443,card3-150.0
t-3035691-card3-150.0,t-3035691,card3-150.0
t-3035842-card3-150.0,t-3035842,card3-150.0
t-3035857-card3-150.0,t-3035857,card3-150.0
t-3035866-card3-150.0,t-3035866,card3-150.0
t-3036058-card3-150.0,t-3036058,card3-150.0
t-3036072-card3-150.0,t-3036072,card3-150.0
t-3036391-card3-150.0,t-3036391,card3-150.0
t-3036438-card3-150.0,t-3036438,card3-150.0
t-3036676-card3-150.0,t-3036676,card3-150.0
t-3036682-card3-150.0,t-3036682,card3-150.0
t-3036719-card3-150.0,t-3036719,card3-150.0
t-2987521-card3-150.0,t-2987521,card3-150.0
t-2987604-card3-150.0,t-2987604,card3-150.0
t-2987655-card3-150.0,t-2987655,card3-150.0
t-2988114-card3-150.0,t-2988114,card3-150.0
t-2988154-card3-150.0,t-2988154,card3-150.0
t-2988996-card3-150.0,t-2988996,card3-150.0
t-2989195-card3-150.0,t-2989195,card3-150.0
t-2989360-card3-150.0,t-2989360,card3-150.0
t-2989896-card3-150.0,t-2989896,card3-150.0
t-2990013-card3-150.0,t-2990013,card3-150.0
t-2990156-card3-150.0,t-2990156,card3-150.0
t-2990498-card3-150.0,t-2990498,card3-150.0
t-2990683-card3-150.0,t-2990683,card3-150.0
t-2990767-card3-150.0,t-2990767,card3-150.0
t-2991068-card3-150.0,t-2991068,card3-150.0
t-2991231-card3-150.0,t-2991231,card3-150.0
t-2991331-card3-150.0,t-2991331,card3-150.0
t-2991381-card3-150.0,t-2991381,card3-150.0
t-2991889-card3-185.0,t-2991889,card3-185.0
t-2992036-card3-150.0,t-2992036,card3-150.0
t-2992231-card3-150.0,t-2992231,card3-150.0
t-2992707-card3-150.0,t-2992707,card3-150.0
t-2992766-card3-150.0,t-2992766,card3-150.0
t-2993420-card3-150.0,t-2993420,card3-150.0
t-2993933-card3-150.0,t-2993933,card3-150.0
t-2994010-card3-150.0,t-2994010,card3-150.0
t-2994313-card3-150.0,t-2994313,card3-150.0
t-2994359-card3-150.0,t-2994359,card3-150.0
t-2994391-card3-213.0,t-2994391,card3-213.0
t-2994564-card3-150.0,t-2994564,card3-150.0
t-2994851-card3-150.0,t-2994851,card3-150.0
t-2994982-card3-150.0,t-2994982,card3-150.0
t-2995028-card3-150.0,t-2995028,card3-150.0
t-2995213-card3-150.0,t-2995213,card3-150.0
t-2995257-card3-150.0,t-2995257,card3-150.0
t-2995626-card3-150.0,t-2995626,card3-150.0
t-2995728-card3-150.0,t-2995728,card3-150.0
t-2995755-card3-150.0,t-2995755,card3-150.0
t-2995818-card3-150.0,t-2995818,card3-150.0
t-2995917-card3-150.0,t-2995917,card3-150.0
t-2996290-card3-150.0,t-2996290,card3-150.0
t-2997026-card3-146.0,t-2997026,card3-146.0
t-2997523-card3-150.0,t-2997523,card3-150.0
t-2997554-card3-150.0,t-2997554,card3-150.0
t-2997570-card3-150.0,t-2997570,card3-150.0
t-2997600-card3-150.0,t-2997600,card3-150.0
t-2997651-card3-150.0,t-2997651,card3-150.0
t-2997753-card3-150.0,t-2997753,card3-150.0
t-2997797-card3-150.0,t-2997797,card3-150.0
t-2998259-card3-150.0,t-2998259,card3-150.0
t-2998522-card3-150.0,t-2998522,card3-150.0
t-2998676-card3-150.0,t-2998676,card3-150.0
t-2998710-card3-150.0,t-2998710,card3-150.0
t-2998837-card3-150.0,t-2998837,card3-150.0
t-2998937-card3-150.0,t-2998937,card3-150.0
t-2999233-card3-150.0,t-2999233,card3-150.0
t-2999351-card3-150.0,t-2999351,card3-150.0
t-2999732-card3-150.0,t-2999732,card3-150.0
t-2999961-card3-185.0,t-2999961,card3-185.0
t-3000308-card3-150.0,t-3000308,card3-150.0
t-3000419-card3-150.0,t-3000419,card3-150.0
t-3000487-card3-150.0,t-3000487,card3-150.0
t-3000647-card3-150.0,t-3000647,card3-150.0
t-3001257-card3-150.0,t-3001257,card3-150.0
t-3001332-card3-150.0,t-3001332,card3-150.0
t-3001655-card3-150.0,t-3001655,card3-150.0
t-3001660-card3-150.0,t-3001660,card3-150.0
t-3001853-card3-150.0,t-3001853,card3-150.0
t-3001942-card3-150.0,t-3001942,card3-150.0
t-3002141-card3-150.0,t-3002141,card3-150.0
t-3002152-card3-150.0,t-3002152,card3-150.0
t-3002449-card3-150.0,t-3002449,card3-150.0
t-3002668-card3-150.0,t-3002668,card3-150.0
