:id,:from,:to
t-2987063-card5-226.0,t-2987063,card5-226.0
t-2987575-card5-226.0,t-2987575,card5-226.0
t-2987649-card5-166.0,t-2987649,card5-166.0
t-2987883-card5-226.0,t-2987883,card5-226.0
t-2987998-card5-226.0,t-2987998,card5-226.0
t-2988330-card5-226.0,t-2988330,card5-226.0
t-2988471-card5-202.0,t-2988471,card5-202.0
t-2988633-card5-226.0,t-2988633,card5-226.0
t-2988912-card5-226.0,t-2988912,card5-226.0
t-2989332-card5-226.0,t-2989332,card5-226.0
t-2989509-card5-226.0,t-2989509,card5-226.0
t-2989528-card5-138.0,t-2989528,card5-138.0
t-2989735-card5-202.0,t-2989735,card5-202.0
t-2990205-card5-226.0,t-2990205,card5-226.0
t-2990224-card5-226.0,t-2990224,card5-226.0
t-2990392-card5-102.0,t-2990392,card5-102.0
t-2990394-card5-195.0,t-2990394,card5-195.0
t-2990605-card5-166.0,t-2990605,card5-166.0
t-2990763-card5-224.0,t-2990763,card5-224.0
t-2990819-card5-166.0,t-2990819,card5-166.0
t-2990942-card5-226.0,t-2990942,card5-226.0
t-2991068-card5-166.0,t-2991068,card5-166.0
t-2991175-card5-137.0,t-2991175,card5-137.0
t-2991364-card5-226.0,t-2991364,card5-226.0
t-2991529-card5-224.0,t-2991529,card5-224.0
t-2992018-card5-226.0,t-2992018,card5-226.0
t-2992256-card5-226.0,t-2992256,card5-226.0
t-2992447-card5-195.0,t-2992447,card5-195.0
t-2992469-card5-224.0,t-2992469,card5-224.0
t-2992569-card5-162.0,t-2992569,card5-162.0
t-2993198-card5-102.0,t-2993198,card5-102.0
t-2993447-card5-226.0,t-2993447,card5-226.0
t-2993455-card5-197.0,t-2993455,card5-197.0
t-2993771-card5-219.0,t-2993771,card5-219.0
t-2993829-card5-224.0,t-2993829,card5-224.0
t-2993840-card5-226.0,t-2993840,card5-226.0
t-2993898-card5-117.0,t-2993898,card5-117.0
t-2994885-card5-195.0,t-2994885,card5-195.0
t-2994903-card5-226.0,t-2994903,card5-226.0
t-2994909-card5-226.0,t-2994909,card5-226.0
t-2995034-card5-226.0,t-2995034,card5-226.0
t-2995325-card5-166.0,t-2995325,card5-166.0
t-2995428-card5-226.0,t-2995428,card5-226.0
t-2995515-card5-224.0,t-2995515,card5-224.0
t-2995521-card5-224.0,t-2995521,card5-224.0
t-2995703-card5-226.0,t-2995703,card5-226.0
t-2995994-card5-226.0,t-2995994,card5-226.0
t-2996124-card5-166.0,t-2996124,card5-166.0
t-2996266-card5-226.0,t-2996266,card5-226.0
t-2996396-card5-162.0,t-2996396,card5-162.0
t-2996498-card5-183.0,t-2996498,card5-183.0
t-2996954-card5-195.0,t-2996954,card5-195.0
t-2997072-card5-226.0,t-2997072,card5-226.0
t-2997268-card5-226.0,t-2997268,card5-226.0
t-2997404-card5-229.0,t-2997404,card5-229.0
t-2997695-card5-226.0,t-2997695,card5-226.0
t-2997776-card5-226.0,t-2997776,card5-226.0
t-2998428-card5-226.0,t-2998428,card5-226.0
t-2998488-card5-226.0,t-2998488,card5-226.0
t-2998663-card5-137.0,t-2998663,card5-137.0
t-2998738-card5-102.0,t-2998738,card5-102.0
t-2998891-card5-226.0,t-2998891,card5-226.0
t-2999096-card5-102.0,t-2999096,card5-102.0
t-2999188-card5-224.0,t-2999188,card5-224.0
t-3000149-card5-166.0,t-3000149,card5-166.0
t-3000233-card5-226.0,t-3000233,card5-226.0
t-3000323-card5-224.0,t-3000323,card5-224.0
t-3000337-card5-195.0,t-3000337,card5-195.0
t-3000377-card5-226.0,t-3000377,card5-226.0
t-3000559-card5-226.0,t-3000559,card5-226.0
t-3000851-card5-226.0,t-3000851,card5-226.0
t-3000969-card5-137.0,t-3000969,card5-137.0
t-3000979-card5-226.0,t-3000979,card5-226.0
t-3001267-card5-224.0,t-3001267,card5-224.0
t-3001436-card5-226.0,t-3001436,card5-226.0
t-3001445-card5-102.0,t-3001445,card5-102.0
t-3001570-card5-102.0,t-3001570,card5-102.0
t-3001677-card5-166.0,t-3001677,card5-166.0
t-3001741-card5-226.0,t-3001741,card5-226.0
t-3001744-card5-226.0,t-3001744,card5-226.0
t-3001858-card5-226.0,t-3001858,card5-226.0
t-3001867-card5-166.0,t-3001867,card5-166.0
t-3001889-card5-224.0,t-3001889,card5-224.0
t-3002009-card5-226.0,t-3002009,card5-226.0
t-3002232-card5-226.0,t-3002232,card5-226.0
t-3002438-card5-224.0,t-3002438,card5-224.0
t-3002729-card5-226.0,t-3002729,card5-226.0
t-3002787-card5-117.0,t-3002787,card5-117.0
t-3002980-card5-226.0,t-3002980,card5-226.0
t-3003041-card5-224.0,t-3003041,card5-224.0
t-3003166-card5-226.0,t-3003166,card5-226.0
t-3003305-card5-133.0,t-3003305,card5-133.0
t-3003655-card5-226.0,t-3003655,card5-226.0
t-3003666-card5-202.0,t-3003666,card5-202.0
t-3003840-card5-224.0,t-3003840,card5-224.0
t-3003965-card5-226.0,t-3003965,card5-226.0
t-3004028-card5-226.0,t-3004028,card5-226.0
t-3004284-card5-226.0,t-3004284,card5-226.0
t-3004377-card5-117.0,t-3004377,card5-117.0
t-3004452-card5-102.0,t-3004452,card5-102.0
t-3004528-card5-166.0,t-3004528,card5-166.0
t-3004564-card5-166.0,t-3004564,card5-166.0
t-3004728-card5-102.0,t-3004728,card5-102.0
t-3005046-card5-226.0,t-3005046,card5-226.0
t-3005341-card5-162.0,t-3005341,card5-162.0
t-3005887-card5-117.0,t-3005887,card5-117.0
t-3006040-card5-226.0,t-3006040,card5-226.0
t-3006415-card5-166.0,t-3006415,card5-166.0
t-3006534-card5-102.0,t-3006534,card5-102.0
t-3007145-card5-224.0,t-3007145,card5-224.0
t-3007204-card5-166.0,t-3007204,card5-166.0
t-3007232-card5-224.0,t-3007232,card5-224.0
t-3007367-card5-226.0,t-3007367,card5-226.0
t-3007779-card5-131.0,t-3007779,card5-131.0
t-3007844-card5-102.0,t-3007844,card5-102.0
t-3008341-card5-117.0,t-3008341,card5-117.0
t-3008912-card5-226.0,t-3008912,card5-226.0
t-3008967-card5-224.0,t-3008967,card5-224.0
t-3009428-card5-226.0,t-3009428,card5-226.0
t-3009625-card5-195.0,t-3009625,card5-195.0
t-3009766-card5-166.0,t-3009766,card5-166.0
t-3009987-card5-224.0,t-3009987,card5-224.0
t-3010163-card5-195.0,t-3010163,card5-195.0
t-3011314-card5-226.0,t-3011314,card5-226.0
t-3011339-card5-226.0,t-3011339,card5-226.0
t-3011438-card5-138.0,t-3011438,card5-138.0
t-3011705-card5-226.0,t-3011705,card5-226.0
t-3011963-card5-226.0,t-3011963,card5-226.0
t-3012080-card5-226.0,t-3012080,card5-226.0
t-3012107-card5-102.0,t-3012107,card5-102.0
t-3012117-card5-226.0,t-3012117,card5-226.0
t-3012177-card5-226.0,t-3012177,card5-226.0
t-3013169-card5-195.0,t-3013169,card5-195.0
t-3013448-card5-226.0,t-3013448,card5-226.0
