:id,:from,:to
t-2987630-card6-debit,t-2987630,card6-debit
t-2987975-card6-debit,t-2987975,card6-debit
t-2988063-card6-debit,t-2988063,card6-debit
t-2988370-card6-credit,t-2988370,card6-credit
t-2988770-card6-debit,t-2988770,card6-debit
t-2988784-card6-debit,t-2988784,card6-debit
t-2988919-card6-debit,t-2988919,card6-debit
t-2988943-card6-debit,t-2988943,card6-debit
t-2989234-card6-debit,t-2989234,card6-debit
t-2989763-card6-debit,t-2989763,card6-debit
t-2990425-card6-debit,t-2990425,card6-debit
t-2990468-card6-debit,t-2990468,card6-debit
t-2990786-card6-debit,t-2990786,card6-debit
t-2990987-card6-debit,t-2990987,card6-debit
t-2991066-card6-debit,t-2991066,card6-debit
t-2991280-card6-debit,t-2991280,card6-debit
t-2991308-card6-credit,t-2991308,card6-credit
t-2991333-card6-debit,t-2991333,card6-debit
t-2991543-card6-debit,t-2991543,card6-debit
t-2991557-card6-debit,t-2991557,card6-debit
t-2991982-card6-debit,t-2991982,card6-debit
t-2992024-card6-debit,t-2992024,card6-debit
t-2992378-card6-credit,t-2992378,card6-credit
t-2992398-card6-debit,t-2992398,card6-debit
t-2992714-card6-credit,t-2992714,card6-credit
t-2993590-card6-credit,t-2993590,card6-credit
t-2993872-card6-debit,t-2993872,card6-debit
t-2993926-card6-credit,t-2993926,card6-credit
t-2994537-card6-debit,t-2994537,card6-debit
t-2994717-card6-debit,t-2994717,card6-debit
t-2994881-card6-credit,t-2994881,card6-credit
t-2994894-card6-debit,t-2994894,card6-debit
t-2994988-card6-debit,t-2994988,card6-debit
t-2995077-card6-debit,t-2995077,card6-debit
t-2995250-card6-debit,t-2995250,card6-debit
t-2995551-card6-credit,t-2995551,card6-credit
t-2995643-card6-debit,t-2995643,card6-debit
t-2995722-card6-debit,t-2995722,card6-debit
t-2996188-card6-debit,t-2996188,card6-debit
t-2996230-card6-debit,t-2996230,card6-debit
t-2996238-card6-debit,t-2996238,card6-debit
t-2996285-card6-debit,t-2996285,card6-debit
t-2996540-card6-credit,t-2996540,card6-credit
t-2996681-card6-credit,t-2996681,card6-credit
t-2996683-card6-debit,t-2996683,card6-debit
t-2996835-card6-debit,t-2996835,card6-debit
t-2996917-card6-debit,t-2996917,card6-debit
t-2997086-card6-debit,t-2997086,card6-debit
t-2997786-card6-debit,t-2997786,card6-debit
t-2997862-card6-credit,t-2997862,card6-credit
t-2998294-card6-debit,t-2998294,card6-debit
t-2998489-card6-credit,t-2998489,card6-credit
t-2998493-card6-debit,t-2998493,card6-debit
t-2998566-card6-credit,t-2998566,card6-credit
t-2999362-card6-debit,t-2999362,card6-debit
t-3000110-card6-debit,t-3000110,card6-debit
t-3000163-card6-debit,t-3000163,card6-debit
t-3000631-card6-credit,t-3000631,card6-credit
t-3000883-card6-debit,t-3000883,card6-debit
t-3000998-card6-debit,t-3000998,card6-debit
t-3001220-card6-credit,t-3001220,card6-credit
t-3001305-card6-debit,t-3001305,card6-debit
t-3001421-card6-credit,t-3001421,card6-credit
t-3001598-card6-debit,t-3001598,card6-debit
t-3001905-card6-debit,t-3001905,card6-debit
t-3002289-card6-credit,t-3002289,card6-credit
t-3002391-card6-debit,t-3002391,card6-debit
t-3002506-card6-debit,t-3002506,card6-debit
t-3002748-card6-debit,t-3002748,card6-debit
t-3002995-card6-credit,t-3002995,card6-credit
t-3003072-card6-credit,t-3003072,card6-credit
t-3003135-card6-credit,t-3003135,card6-credit
t-3003367-card6-debit,t-3003367,card6-debit
t-3003469-card6-debit,t-3003469,card6-debit
t-3003648-card6-debit,t-3003648,card6-debit
t-3003702-card6-debit,t-3003702,card6-debit
t-3003862-card6-debit,t-3003862,card6-debit
t-3003944-card6-debit,t-3003944,card6-debit
t-3004099-card6-debit,t-3004099,card6-debit
t-3004209-card6-credit,t-3004209,card6-credit
t-3004221-card6-debit,t-3004221,card6-debit
t-3004613-card6-debit,t-3004613,card6-debit
t-3004771-card6-debit,t-3004771,card6-debit
t-3005165-card6-debit,t-3005165,card6-debit
t-3005235-card6-credit,t-3005235,card6-credit
t-3005973-card6-credit,t-3005973,card6-credit
t-3006050-card6-debit,t-3006050,card6-debit
t-3006752-card6-debit,t-3006752,card6-debit
t-3006952-card6-debit,t-3006952,card6-debit
t-3007168-card6-debit,t-3007168,card6-debit
t-3007326-card6-credit,t-3007326,card6-credit
t-3007465-card6-debit,t-3007465,card6-debit
t-3007581-card6-debit,t-3007581,card6-debit
t-3007697-card6-debit,t-3007697,card6-debit
t-3007717-card6-debit,t-3007717,card6-debit
t-3007867-card6-debit,t-3007867,card6-debit
t-3007887-card6-debit,t-3007887,card6-debit
t-3007977-card6-debit,t-3007977,card6-debit
t-3008170-card6-debit,t-3008170,card6-debit
t-3008503-card6-credit,t-3008503,card6-credit
t-3008642-card6-credit,t-3008642,card6-credit
t-3008998-card6-debit,t-3008998,card6-debit
t-3009417-card6-debit,t-3009417,card6-debit
t-3009572-card6-debit,t-3009572,card6-debit
t-3009737-card6-credit,t-3009737,card6-credit
t-3009798-card6-credit,t-3009798,card6-credit
t-3009896-card6-credit,t-3009896,card6-credit
t-3010770-card6-credit,t-3010770,card6-credit
t-3011032-card6-debit,t-3011032,card6-debit
t-3011808-card6-debit,t-3011808,card6-debit
t-3011875-card6-debit,t-3011875,card6-debit
t-3011893-card6-debit,t-3011893,card6-debit
t-3012204-card6-credit,t-3012204,card6-credit
t-3012893-card6-debit,t-3012893,card6-debit
t-3013181-card6-debit,t-3013181,card6-debit
t-3013423-card6-credit,t-3013423,card6-credit
t-3013576-card6-debit,t-3013576,card6-debit
t-3013591-card6-credit,t-3013591,card6-credit
t-3014096-card6-credit,t-3014096,card6-credit
t-3014168-card6-credit,t-3014168,card6-credit
t-3014550-card6-debit,t-3014550,card6-debit
t-3014650-card6-debit,t-3014650,card6-debit
t-3014740-card6-debit,t-3014740,card6-debit
t-3014785-card6-debit,t-3014785,card6-debit
t-3014884-card6-debit,t-3014884,card6-debit
t-3014912-card6-debit,t-3014912,card6-debit
t-3015265-card6-debit,t-3015265,card6-debit
t-3015403-card6-debit,t-3015403,card6-debit
t-3015472-card6-debit,t-3015472,card6-debit
t-3015564-card6-credit,t-3015564,card6-credit
t-3015571-card6-debit,t-3015571,card6-debit
t-3015791-card6-debit,t-3015791,card6-debit
t-3015982-card6-credit,t-3015982,card6-credit
t-3016430-card6-debit,t-3016430,card6-debit
t-3016845-card6-debit,t-3016845,card6-debit
t-3017110-card6-debit,t-3017110,card6-debit
t-3017268-card6-debit,t-3017268,card6-debit
t-3017747-card6-debit,t-3017747,card6-debit
t-3018172-card6-debit,t-3018172,card6-debit
t-3018298-card6-debit,t-3018298,card6-debit
t-3018416-card6-credit,t-3018416,card6-credit
t-3018443-card6-credit,t-3018443,card6-credit
t-3018574-card6-debit,t-3018574,card6-debit
t-3018609-card6-debit,t-3018609,card6-debit
t-3018690-card6-credit,t-3018690,card6-credit
t-3018720-card6-debit,t-3018720,card6-debit
t-3018774-card6-credit,t-3018774,card6-credit
t-3018830-card6-debit,t-3018830,card6-debit
t-3018846-card6-debit,t-3018846,card6-debit
t-3019225-card6-credit,t-3019225,card6-credit
t-3019302-card6-debit,t-3019302,card6-debit
t-3019325-card6-debit,t-3019325,card6-debit
t-3019342-card6-credit,t-3019342,card6-credit
t-3019554-card6-debit,t-3019554,card6-debit
t-3019593-card6-credit,t-3019593,card6-credit
t-3019741-card6-credit,t-3019741,card6-credit
t-3019931-card6-credit,t-3019931,card6-credit
t-3020175-card6-debit,t-3020175,card6-debit
t-3020439-card6-debit,t-3020439,card6-debit
t-3021030-card6-credit,t-3021030,card6-credit
t-3021369-card6-credit,t-3021369,card6-credit
t-3021398-card6-credit,t-3021398,card6-credit
t-3021763-card6-debit,t-3021763,card6-debit
t-3021793-card6-credit,t-3021793,card6-credit
t-3022093-card6-debit,t-3022093,card6-debit
t-3022404-card6-debit,t-3022404,card6-debit
t-3022485-card6-credit,t-3022485,card6-credit
t-3022736-card6-credit,t-3022736,card6-credit
t-3022737-card6-debit,t-3022737,card6-debit
