:id,:from,:to
t-2987066-id_01--5.0,t-2987066,id_01--5.0
t-2987439-id_01-0.0,t-2987439,id_01-0.0
t-2987620-id_01-0.0,t-2987620,id_01-0.0
t-2987771-id_01-0.0,t-2987771,id_01-0.0
t-2989129-id_01-0.0,t-2989129,id_01-0.0
t-2989881-id_01--25.0,t-2989881,id_01--25.0
t-2990811-id_01--20.0,t-2990811,id_01--20.0
t-2995479-id_01-0.0,t-2995479,id_01-0.0
t-2995760-id_01--25.0,t-2995760,id_01--25.0
t-2996170-id_01-0.0,t-2996170,id_01-0.0
t-2996356-id_01--25.0,t-2996356,id_01--25.0
t-2996680-id_01--20.0,t-2996680,id_01--20.0
t-2996686-id_01-0.0,t-2996686,id_01-0.0
t-2998626-id_01--5.0,t-2998626,id_01--5.0
t-2999192-id_01--5.0,t-2999192,id_01--5.0
t-2999528-id_01-0.0,t-2999528,id_01-0.0
t-2999939-id_01-0.0,t-2999939,id_01-0.0
t-3000867-id_01-0.0,t-3000867,id_01-0.0
t-3001181-id_01-0.0,t-3001181,id_01-0.0
t-3002587-id_01--20.0,t-3002587,id_01--20.0
t-3003410-id_01--10.0,t-3003410,id_01--10.0
t-3004057-id_01--5.0,t-3004057,id_01--5.0
t-3004121-id_01--5.0,t-3004121,id_01--5.0
t-3007290-id_01--5.0,t-3007290,id_01--5.0
t-3008678-id_01--5.0,t-3008678,id_01--5.0
t-3008695-id_01--5.0,t-3008695,id_01--5.0
t-3009179-id_01--5.0,t-3009179,id_01--5.0
t-3009609-id_01--20.0,t-3009609,id_01--20.0
t-3010000-id_01--5.0,t-3010000,id_01--5.0
t-3011321-id_01--5.0,t-3011321,id_01--5.0
t-3011812-id_01--5.0,t-3011812,id_01--5.0
t-3012005-id_01--5.0,t-3012005,id_01--5.0
t-3012496-id_01--5.0,t-3012496,id_01--5.0
t-3013780-id_01-0.0,t-3013780,id_01-0.0
t-3015808-id_01--5.0,t-3015808,id_01--5.0
t-3015869-id_01--5.0,t-3015869,id_01--5.0
t-3016829-id_01-0.0,t-3016829,id_01-0.0
t-3017370-id_01-0.0,t-3017370,id_01-0.0
t-3019396-id_01--20.0,t-3019396,id_01--20.0
t-3022258-id_01-0.0,t-3022258,id_01-0.0
t-3022819-id_01--5.0,t-3022819,id_01--5.0
t-3023535-id_01-0.0,t-3023535,id_01-0.0
t-3023679-id_01--5.0,t-3023679,id_01--5.0
t-3023688-id_01--20.0,t-3023688,id_01--20.0
t-3024203-id_01-0.0,t-3024203,id_01-0.0
t-3024987-id_01-0.0,t-3024987,id_01-0.0
t-3025024-id_01--5.0,t-3025024,id_01--5.0
t-3025145-id_01--20.0,t-3025145,id_01--20.0
t-3025167-id_01--5.0,t-3025167,id_01--5.0
t-3026802-id_01--5.0,t-3026802,id_01--5.0
t-3026934-id_01--5.0,t-3026934,id_01--5.0
t-3027358-id_01--15.0,t-3027358,id_01--15.0
t-3027471-id_01-0.0,t-3027471,id_01-0.0
t-3029111-id_01--5.0,t-3029111,id_01--5.0
t-3029526-id_01-0.0,t-3029526,id_01-0.0
t-3029624-id_01--15.0,t-3029624,id_01--15.0
t-3030997-id_01--5.0,t-3030997,id_01--5.0
t-3031129-id_01--5.0,t-3031129,id_01--5.0
t-3031379-id_01-0.0,t-3031379,id_01-0.0
