:id,:from,:to
t-2990874-id_02-169222.0,t-2990874,id_02-169222.0
t-2992052-id_02-133273.0,t-2992052,id_02-133273.0
t-2992700-id_02-336815.0,t-2992700,id_02-336815.0
t-2995907-id_02-166972.0,t-2995907,id_02-166972.0
t-2998173-id_02-217937.0,t-2998173,id_02-217937.0
t-3002238-id_02-16822.0,t-3002238,id_02-16822.0
t-3002616-id_02-26196.0,t-3002616,id_02-26196.0
t-3002736-id_02-71263.0,t-3002736,id_02-71263.0
t-3002751-id_02-94072.0,t-3002751,id_02-94072.0
t-3003868-id_02-67723.0,t-3003868,id_02-67723.0
t-3006021-id_02-96860.0,t-3006021,id_02-96860.0
t-3006285-id_02-193319.0,t-3006285,id_02-193319.0
t-3007666-id_02-119531.0,t-3007666,id_02-119531.0
t-3007699-id_02-286783.0,t-3007699,id_02-286783.0
t-3008098-id_02-103667.0,t-3008098,id_02-103667.0
t-3008525-id_02-317399.0,t-3008525,id_02-317399.0
t-3008644-id_02-142786.0,t-3008644,id_02-142786.0
t-3008942-id_02-26237.0,t-3008942,id_02-26237.0
t-3009447-id_02-65115.0,t-3009447,id_02-65115.0
t-3009718-id_02-93893.0,t-3009718,id_02-93893.0
t-3011442-id_02-99824.0,t-3011442,id_02-99824.0
t-3011615-id_02-206148.0,t-3011615,id_02-206148.0
t-3013267-id_02-243825.0,t-3013267,id_02-243825.0
t-3014084-id_02-101175.0,t-3014084,id_02-101175.0
t-3014184-id_02-11251.0,t-3014184,id_02-11251.0
t-3015922-id_02-410642.0,t-3015922,id_02-410642.0
t-3015949-id_02-112875.0,t-3015949,id_02-112875.0
t-3016459-id_02-115070.0,t-3016459,id_02-115070.0
t-3016502-id_02-111229.0,t-3016502,id_02-111229.0
t-3017354-id_02-73899.0,t-3017354,id_02-73899.0
t-3017689-id_02-33963.0,t-3017689,id_02-33963.0
t-3018349-id_02-160572.0,t-3018349,id_02-160572.0
t-3018879-id_02-41495.0,t-3018879,id_02-41495.0
t-3019146-id_02-87455.0,t-3019146,id_02-87455.0
t-3020073-id_02-3926.0,t-3020073,id_02-3926.0
t-3020476-id_02-75285.0,t-3020476,id_02-75285.0
t-3021363-id_02-410947.0,t-3021363,id_02-410947.0
t-3021855-id_02-180480.0,t-3021855,id_02-180480.0
t-3022194-id_02-41460.0,t-3022194,id_02-41460.0
t-3022499-id_02-75696.0,t-3022499,id_02-75696.0
t-3023677-id_02-78613.0,t-3023677,id_02-78613.0
t-3024906-id_02-113921.0,t-3024906,id_02-113921.0
t-3025011-id_02-84122.0,t-3025011,id_02-84122.0
t-3025127-id_02-26281.0,t-3025127,id_02-26281.0
t-3025398-id_02-33708.0,t-3025398,id_02-33708.0
t-3025803-id_02-502515.0,t-3025803,id_02-502515.0
t-3026831-id_02-152395.0,t-3026831,id_02-152395.0
t-3027053-id_02-17405.0,t-3027053,id_02-17405.0
t-3027151-id_02-30563.0,t-3027151,id_02-30563.0
t-3027245-id_02-112814.0,t-3027245,id_02-112814.0
t-3028249-id_02-34113.0,t-3028249,id_02-34113.0
t-3028740-id_02-15493.0,t-3028740,id_02-15493.0
t-3029022-id_02-449662.0,t-3029022,id_02-449662.0
t-3029189-id_02-26200.0,t-3029189,id_02-26200.0
t-3029443-id_02-326467.0,t-3029443,id_02-326467.0
t-3029804-id_02-253933.0,t-3029804,id_02-253933.0
t-3030232-id_02-112224.0,t-3030232,id_02-112224.0
t-3030785-id_02-109852.0,t-3030785,id_02-109852.0
t-3030994-id_02-140831.0,t-3030994,id_02-140831.0
t-3031402-id_02-194415.0,t-3031402,id_02-194415.0
t-3032741-id_02-434000.0,t-3032741,id_02-434000.0
t-3033347-id_02-98726.0,t-3033347,id_02-98726.0
t-3034333-id_02-216484.0,t-3034333,id_02-216484.0
t-3036807-id_02-232761.0,t-3036807,id_02-232761.0
t-2990479-id_02-315068.0,t-2990479,id_02-315068.0
t-2992911-id_02-95092.0,t-2992911,id_02-95092.0
t-2995703-id_02-128202.0,t-2995703,id_02-128202.0
t-2996632-id_02-183799.0,t-2996632,id_02-183799.0
t-2997211-id_02-26614.0,t-2997211,id_02-26614.0
t-2998597-id_02-412707.0,t-2998597,id_02-412707.0
t-2998716-id_02-361351.0,t-2998716,id_02-361351.0
t-2998789-id_02-19990.0,t-2998789,id_02-19990.0
t-2999287-id_02-69048.0,t-2999287,id_02-69048.0
t-2999709-id_02-78827.0,t-2999709,id_02-78827.0
t-3000221-id_02-40770.0,t-3000221,id_02-40770.0
t-3000358-id_02-596983.0,t-3000358,id_02-596983.0
t-3000863-id_02-89055.0,t-3000863,id_02-89055.0
t-3003140-id_02-55217.0,t-3003140,id_02-55217.0
t-3003250-id_02-70972.0,t-3003250,id_02-70972.0
t-3004411-id_02-122656.0,t-3004411,id_02-122656.0
t-3005277-id_02-149477.0,t-3005277,id_02-149477.0
t-3005332-id_02-43165.0,t-3005332,id_02-43165.0
t-3008163-id_02-128306.0,t-3008163,id_02-128306.0
t-3010104-id_02-126528.0,t-3010104,id_02-126528.0
t-3010282-id_02-5980.0,t-3010282,id_02-5980.0
t-3012056-id_02-82170.0,t-3012056,id_02-82170.0
t-3012224-id_02-54089.0,t-3012224,id_02-54089.0
t-3014457-id_02-78245.0,t-3014457,id_02-78245.0
t-3014655-id_02-14405.0,t-3014655,id_02-14405.0
t-3014733-id_02-208369.0,t-3014733,id_02-208369.0
t-3014959-id_02-213142.0,t-3014959,id_02-213142.0
t-3015652-id_02-126843.0,t-3015652,id_02-126843.0
t-3017141-id_02-108685.0,t-3017141,id_02-108685.0
t-3017672-id_02-250212.0,t-3017672,id_02-250212.0
t-3019277-id_02-123086.0,t-3019277,id_02-123086.0
t-3019390-id_02-337754.0,t-3019390,id_02-337754.0
t-3020172-id_02-41141.0,t-3020172,id_02-41141.0
t-3021234-id_02-71300.0,t-3021234,id_02-71300.0
t-3021681-id_02-3535.0,t-3021681,id_02-3535.0
t-3024522-id_02-70722.0,t-3024522,id_02-70722.0
t-3024577-id_02-216406.0,t-3024577,id_02-216406.0
t-3026144-id_02-292973.0,t-3026144,id_02-292973.0
t-3026586-id_02-16462.0,t-3026586,id_02-16462.0
t-3028395-id_02-63472.0,t-3028395,id_02-63472.0
t-3028698-id_02-61354.0,t-3028698,id_02-61354.0
t-3028863-id_02-161904.0,t-3028863,id_02-161904.0
t-3029133-id_02-25820.0,t-3029133,id_02-25820.0
t-3029172-id_02-39546.0,t-3029172,id_02-39546.0
t-3029435-id_02-367699.0,t-3029435,id_02-367699.0
t-3030211-id_02-62086.0,t-3030211,id_02-62086.0
t-3030649-id_02-252916.0,t-3030649,id_02-252916.0
t-3031061-id_02-10134.0,t-3031061,id_02-10134.0
t-3031075-id_02-155462.0,t-3031075,id_02-155462.0
t-3032246-id_02-416635.0,t-3032246,id_02-416635.0
t-3033122-id_02-147716.0,t-3033122,id_02-147716.0
t-3034802-id_02-147127.0,t-3034802,id_02-147127.0
t-3036227-id_02-224936.0,t-3036227,id_02-224936.0
t-3036627-id_02-34876.0,t-3036627,id_02-34876.0
t-3036630-id_02-146691.0,t-3036630,id_02-146691.0
t-2987188-id_02-15464.0,t-2987188,id_02-15464.0
t-2987435-id_02-19650.0,t-2987435,id_02-19650.0
t-2987560-id_02-455159.0,t-2987560,id_02-455159.0
t-2987579-id_02-128293.0,t-2987579,id_02-128293.0
t-2987718-id_02-46985.0,t-2987718,id_02-46985.0
t-2989904-id_02-147608.0,t-2989904,id_02-147608.0
t-2990739-id_02-83952.0,t-2990739,id_02-83952.0
t-2991058-id_02-87775.0,t-2991058,id_02-87775.0
t-2991775-id_02-23399.0,t-2991775,id_02-23399.0
t-2992997-id_02-101805.0,t-2992997,id_02-101805.0
t-2993004-id_02-184238.0,t-2993004,id_02-184238.0
t-2994523-id_02-154036.0,t-2994523,id_02-154036.0
t-2994806-id_02-25468.0,t-2994806,id_02-25468.0
t-2995322-id_02-160005.0,t-2995322,id_02-160005.0
t-2995392-id_02-48264.0,t-2995392,id_02-48264.0
t-2996176-id_02-91055.0,t-2996176,id_02-91055.0
t-2996191-id_02-184760.0,t-2996191,id_02-184760.0
t-2997340-id_02-94044.0,t-2997340,id_02-94044.0
t-2997349-id_02-9709.0,t-2997349,id_02-9709.0
t-2997353-id_02-93921.0,t-2997353,id_02-93921.0
t-2997856-id_02-214449.0,t-2997856,id_02-214449.0
t-2999349-id_02-159175.0,t-2999349,id_02-159175.0
t-2999423-id_02-21795.0,t-2999423,id_02-21795.0
t-3000050-id_02-107665.0,t-3000050,id_02-107665.0
t-3000069-id_02-97611.0,t-3000069,id_02-97611.0
t-3000635-id_02-38371.0,t-3000635,id_02-38371.0
t-3000740-id_02-166052.0,t-3000740,id_02-166052.0
t-3001346-id_02-75436.0,t-3001346,id_02-75436.0
t-3002687-id_02-101071.0,t-3002687,id_02-101071.0
t-3003050-id_02-282272.0,t-3003050,id_02-282272.0
t-3004211-id_02-211170.0,t-3004211,id_02-211170.0
t-3005780-id_02-325192.0,t-3005780,id_02-325192.0
t-3005895-id_02-50242.0,t-3005895,id_02-50242.0
t-3006676-id_02-28051.0,t-3006676,id_02-28051.0
t-3007284-id_02-232024.0,t-3007284,id_02-232024.0
t-3007922-id_02-19118.0,t-3007922,id_02-19118.0
t-3008433-id_02-60645.0,t-3008433,id_02-60645.0
t-3008514-id_02-42109.0,t-3008514,id_02-42109.0
t-3008930-id_02-221065.0,t-3008930,id_02-221065.0
t-3008949-id_02-90928.0,t-3008949,id_02-90928.0
t-3009139-id_02-368192.0,t-3009139,id_02-368192.0
t-3009618-id_02-111845.0,t-3009618,id_02-111845.0
t-3010051-id_02-245215.0,t-3010051,id_02-245215.0
t-3010751-id_02-125021.0,t-3010751,id_02-125021.0
t-3011462-id_02-371357.0,t-3011462,id_02-371357.0
t-3012239-id_02-108421.0,t-3012239,id_02-108421.0
t-3013367-id_02-55959.0,t-3013367,id_02-55959.0
t-3014008-id_02-161150.0,t-3014008,id_02-161150.0
t-3015189-id_02-168275.0,t-3015189,id_02-168275.0
t-3017878-id_02-217501.0,t-3017878,id_02-217501.0
t-3019172-id_02-938724.0,t-3019172,id_02-938724.0
t-3019510-id_02-78473.0,t-3019510,id_02-78473.0
t-3020036-id_02-67102.0,t-3020036,id_02-67102.0
t-3021158-id_02-34445.0,t-3021158,id_02-34445.0
t-3021352-id_02-72454.0,t-3021352,id_02-72454.0
t-3021643-id_02-57745.0,t-3021643,id_02-57745.0
t-3022426-id_02-131105.0,t-3022426,id_02-131105.0
t-3022575-id_02-149898.0,t-3022575,id_02-149898.0
t-3022770-id_02-191134.0,t-3022770,id_02-191134.0
t-3023164-id_02-19358.0,t-3023164,id_02-19358.0
t-3023221-id_02-85132.0,t-3023221,id_02-85132.0
t-3023667-id_02-128122.0,t-3023667,id_02-128122.0
t-3023932-id_02-115756.0,t-3023932,id_02-115756.0
t-3024013-id_02-28187.0,t-3024013,id_02-28187.0
t-3024018-id_02-186349.0,t-3024018,id_02-186349.0
t-3024248-id_02-31729.0,t-3024248,id_02-31729.0
t-3025453-id_02-383436.0,t-3025453,id_02-383436.0
t-3026718-id_02-155565.0,t-3026718,id_02-155565.0
t-3027177-id_02-39982.0,t-3027177,id_02-39982.0
t-3028449-id_02-34690.0,t-3028449,id_02-34690.0
t-3029360-id_02-190297.0,t-3029360,id_02-190297.0
t-3029498-id_02-15686.0,t-3029498,id_02-15686.0
t-3029504-id_02-74364.0,t-3029504,id_02-74364.0
t-3029522-id_02-77957.0,t-3029522,id_02-77957.0
t-3030457-id_02-4294.0,t-3030457,id_02-4294.0
t-3030970-id_02-181313.0,t-3030970,id_02-181313.0
t-3031078-id_02-117087.0,t-3031078,id_02-117087.0
t-3031119-id_02-171189.0,t-3031119,id_02-171189.0
t-3031339-id_02-92373.0,t-3031339,id_02-92373.0
t-3031667-id_02-361609.0,t-3031667,id_02-361609.0
t-3031728-id_02-40864.0,t-3031728,id_02-40864.0
t-3031810-id_02-116464.0,t-3031810,id_02-116464.0
t-3033141-id_02-49009.0,t-3033141,id_02-49009.0
t-3033171-id_02-17043.0,t-3033171,id_02-17043.0
t-3033359-id_02-4184.0,t-3033359,id_02-4184.0
t-3033632-id_02-60066.0,t-3033632,id_02-60066.0
t-3034434-id_02-94010.0,t-3034434,id_02-94010.0
t-3034467-id_02-24273.0,t-3034467,id_02-24273.0
t-3034929-id_02-232158.0,t-3034929,id_02-232158.0
t-3035022-id_02-108810.0,t-3035022,id_02-108810.0
t-3036085-id_02-36425.0,t-3036085,id_02-36425.0
t-3036780-id_02-12864.0,t-3036780,id_02-12864.0
