:id,:from,:to
t-2989835-id_04-0.0,t-2989835,id_04-0.0
t-2991490-id_04-0.0,t-2991490,id_04-0.0
t-2993624-id_04-0.0,t-2993624,id_04-0.0
t-2995441-id_04-0.0,t-2995441,id_04-0.0
t-3004496-id_04-0.0,t-3004496,id_04-0.0
t-3005435-id_04-0.0,t-3005435,id_04-0.0
t-3007153-id_04-0.0,t-3007153,id_04-0.0
t-3007486-id_04-0.0,t-3007486,id_04-0.0
t-3010132-id_04-0.0,t-3010132,id_04-0.0
t-3010279-id_04-0.0,t-3010279,id_04-0.0
t-3012580-id_04-0.0,t-3012580,id_04-0.0
t-3014172-id_04-0.0,t-3014172,id_04-0.0
t-3014743-id_04-0.0,t-3014743,id_04-0.0
t-3016365-id_04-0.0,t-3016365,id_04-0.0
t-3016854-id_04-0.0,t-3016854,id_04-0.0
t-3020064-id_04-0.0,t-3020064,id_04-0.0
t-3020918-id_04-0.0,t-3020918,id_04-0.0
t-3021141-id_04-0.0,t-3021141,id_04-0.0
t-3021194-id_04-0.0,t-3021194,id_04-0.0
t-3022052-id_04-0.0,t-3022052,id_04-0.0
t-3022521-id_04-0.0,t-3022521,id_04-0.0
t-3023483-id_04-0.0,t-3023483,id_04-0.0
t-3023667-id_04-0.0,t-3023667,id_04-0.0
t-3023769-id_04-0.0,t-3023769,id_04-0.0
t-3024904-id_04-0.0,t-3024904,id_04-0.0
t-3025317-id_04-0.0,t-3025317,id_04-0.0
t-3026432-id_04-0.0,t-3026432,id_04-0.0
t-3027271-id_04-0.0,t-3027271,id_04-0.0
t-3030094-id_04-0.0,t-3030094,id_04-0.0
t-3030096-id_04-0.0,t-3030096,id_04-0.0
t-3030171-id_04-0.0,t-3030171,id_04-0.0
t-3032125-id_04-0.0,t-3032125,id_04-0.0
t-3032737-id_04-0.0,t-3032737,id_04-0.0
t-3033690-id_04-0.0,t-3033690,id_04-0.0
t-3034047-id_04-0.0,t-3034047,id_04-0.0
t-3035394-id_04-0.0,t-3035394,id_04-0.0
t-3036798-id_04-0.0,t-3036798,id_04-0.0
t-2991612-id_04-0.0,t-2991612,id_04-0.0
t-2996818-id_04-0.0,t-2996818,id_04-0.0
t-2998280-id_04-0.0,t-2998280,id_04-0.0
t-2998709-id_04-0.0,t-2998709,id_04-0.0
t-3000208-id_04-0.0,t-3000208,id_04-0.0
t-3000484-id_04-0.0,t-3000484,id_04-0.0
t-3004012-id_04-0.0,t-3004012,id_04-0.0
t-3008837-id_04-0.0,t-3008837,id_04-0.0
t-3009027-id_04-0.0,t-3009027,id_04-0.0
t-3009179-id_04-0.0,t-3009179,id_04-0.0
t-3010135-id_04-0.0,t-3010135,id_04-0.0
t-3011260-id_04-0.0,t-3011260,id_04-0.0
t-3011345-id_04-0.0,t-3011345,id_04-0.0
t-3011579-id_04-0.0,t-3011579,id_04-0.0
t-3013061-id_04-0.0,t-3013061,id_04-0.0
t-3013165-id_04-0.0,t-3013165,id_04-0.0
t-3013407-id_04-0.0,t-3013407,id_04-0.0
t-3013983-id_04-0.0,t-3013983,id_04-0.0
t-3013984-id_04-0.0,t-3013984,id_04-0.0
t-3017082-id_04-0.0,t-3017082,id_04-0.0
