:id,:from,:to
t-2987543-id_05-0.0,t-2987543,id_05-0.0
t-2987887-id_05-0.0,t-2987887,id_05-0.0
t-2988855-id_05-0.0,t-2988855,id_05-0.0
t-2989600-id_05-8.0,t-2989600,id_05-8.0
t-2989763-id_05-0.0,t-2989763,id_05-0.0
t-2991085-id_05-0.0,t-2991085,id_05-0.0
t-2992894-id_05-0.0,t-2992894,id_05-0.0
t-2993771-id_05-0.0,t-2993771,id_05-0.0
t-2993803-id_05-1.0,t-2993803,id_05-1.0
t-2994837-id_05-0.0,t-2994837,id_05-0.0
t-2995708-id_05-1.0,t-2995708,id_05-1.0
t-2997259-id_05-7.0,t-2997259,id_05-7.0
t-2999305-id_05-0.0,t-2999305,id_05-0.0
t-3001290-id_05-9.0,t-3001290,id_05-9.0
t-3001893-id_05-0.0,t-3001893,id_05-0.0
t-3003820-id_05-0.0,t-3003820,id_05-0.0
t-3005274-id_05-0.0,t-3005274,id_05-0.0
t-3007237-id_05-0.0,t-3007237,id_05-0.0
t-3009041-id_05-0.0,t-3009041,id_05-0.0
t-3009814-id_05-1.0,t-3009814,id_05-1.0
t-3010802-id_05-0.0,t-3010802,id_05-0.0
t-3011541-id_05-0.0,t-3011541,id_05-0.0
t-3014112-id_05-6.0,t-3014112,id_05-6.0
t-3014690-id_05-0.0,t-3014690,id_05-0.0
t-3015435-id_05-4.0,t-3015435,id_05-4.0
t-3015672-id_05-6.0,t-3015672,id_05-6.0
t-3016317-id_05-0.0,t-3016317,id_05-0.0
t-3016558-id_05-3.0,t-3016558,id_05-3.0
t-3016868-id_05-3.0,t-3016868,id_05-3.0
t-3017222-id_05-18.0,t-3017222,id_05-18.0
t-3017355-id_05-0.0,t-3017355,id_05-0.0
t-3018003-id_05-5.0,t-3018003,id_05-5.0
t-3018039-id_05-14.0,t-3018039,id_05-14.0
t-3018904-id_05-0.0,t-3018904,id_05-0.0
t-3019649-id_05-21.0,t-3019649,id_05-21.0
t-3021912-id_05-0.0,t-3021912,id_05-0.0
t-3023370-id_05-0.0,t-3023370,id_05-0.0
t-3023926-id_05-0.0,t-3023926,id_05-0.0
t-3023959-id_05-1.0,t-3023959,id_05-1.0
t-3023988-id_05-2.0,t-3023988,id_05-2.0
t-3025017-id_05-0.0,t-3025017,id_05-0.0
t-3025177-id_05-0.0,t-3025177,id_05-0.0
t-3028360-id_05-0.0,t-3028360,id_05-0.0
t-3028489-id_05-0.0,t-3028489,id_05-0.0
t-3029078-id_05-0.0,t-3029078,id_05-0.0
t-3029359-id_05-0.0,t-3029359,id_05-0.0
t-3029865-id_05-16.0,t-3029865,id_05-16.0
t-3030521-id_05-14.0,t-3030521,id_05-14.0
t-3031241-id_05-0.0,t-3031241,id_05-0.0
t-3032214-id_05-0.0,t-3032214,id_05-0.0
t-3032457-id_05-0.0,t-3032457,id_05-0.0
t-3033425-id_05-0.0,t-3033425,id_05-0.0
t-3033568-id_05-2.0,t-3033568,id_05-2.0
t-3034634-id_05-0.0,t-3034634,id_05-0.0
t-3034909-id_05-0.0,t-3034909,id_05-0.0
t-3035107-id_05-0.0,t-3035107,id_05-0.0
t-3035879-id_05-6.0,t-3035879,id_05-6.0
t-2987515-id_05-0.0,t-2987515,id_05-0.0
t-2991951-id_05-7.0,t-2991951,id_05-7.0
t-2992617-id_05-0.0,t-2992617,id_05-0.0
t-2993093-id_05-0.0,t-2993093,id_05-0.0
t-2993320-id_05-0.0,t-2993320,id_05-0.0
t-2993792-id_05-0.0,t-2993792,id_05-0.0
t-2994880-id_05-2.0,t-2994880,id_05-2.0
t-2995553-id_05-0.0,t-2995553,id_05-0.0
t-2995646-id_05-0.0,t-2995646,id_05-0.0
t-2996403-id_05-3.0,t-2996403,id_05-3.0
t-2997765-id_05-0.0,t-2997765,id_05-0.0
t-2999348-id_05-0.0,t-2999348,id_05-0.0
t-3001076-id_05-3.0,t-3001076,id_05-3.0
t-3001522-id_05-0.0,t-3001522,id_05-0.0
t-3004280-id_05-0.0,t-3004280,id_05-0.0
t-3005070-id_05-0.0,t-3005070,id_05-0.0
t-3005752-id_05-0.0,t-3005752,id_05-0.0
t-3006781-id_05-0.0,t-3006781,id_05-0.0
t-3007967-id_05-0.0,t-3007967,id_05-0.0
t-3008229-id_05-8.0,t-3008229,id_05-8.0
