:id,:from,:to
t-2987747-id_06-0.0,t-2987747,id_06-0.0
t-2990573-id_06--5.0,t-2990573,id_06--5.0
t-2990731-id_06--4.0,t-2990731,id_06--4.0
t-2993004-id_06-0.0,t-2993004,id_06-0.0
t-2993323-id_06-0.0,t-2993323,id_06-0.0
t-2993388-id_06-0.0,t-2993388,id_06-0.0
t-2997992-id_06-0.0,t-2997992,id_06-0.0
t-2998709-id_06-0.0,t-2998709,id_06-0.0
t-2999379-id_06-0.0,t-2999379,id_06-0.0
t-2999634-id_06-0.0,t-2999634,id_06-0.0
t-3000550-id_06--12.0,t-3000550,id_06--12.0
t-3000568-id_06--7.0,t-3000568,id_06--7.0
t-3000775-id_06-0.0,t-3000775,id_06-0.0
t-3001003-id_06--100.0,t-3001003,id_06--100.0
t-3002537-id_06-0.0,t-3002537,id_06-0.0
t-3003448-id_06-0.0,t-3003448,id_06-0.0
t-3004072-id_06-0.0,t-3004072,id_06-0.0
t-3004251-id_06-0.0,t-3004251,id_06-0.0
t-3005019-id_06--1.0,t-3005019,id_06--1.0
t-3005129-id_06-0.0,t-3005129,id_06-0.0
t-3005277-id_06--8.0,t-3005277,id_06--8.0
t-3005486-id_06-0.0,t-3005486,id_06-0.0
t-3008482-id_06-0.0,t-3008482,id_06-0.0
t-3009060-id_06--41.0,t-3009060,id_06--41.0
t-3011251-id_06-0.0,t-3011251,id_06-0.0
t-3011535-id_06-0.0,t-3011535,id_06-0.0
t-3013303-id_06-0.0,t-3013303,id_06-0.0
t-3014362-id_06--7.0,t-3014362,id_06--7.0
t-3014536-id_06--6.0,t-3014536,id_06--6.0
t-3014775-id_06-0.0,t-3014775,id_06-0.0
t-3015277-id_06-0.0,t-3015277,id_06-0.0
t-3016750-id_06-0.0,t-3016750,id_06-0.0
t-3016771-id_06--52.0,t-3016771,id_06--52.0
t-3016973-id_06-0.0,t-3016973,id_06-0.0
t-3017671-id_06-0.0,t-3017671,id_06-0.0
t-3018621-id_06-0.0,t-3018621,id_06-0.0
t-3019019-id_06-0.0,t-3019019,id_06-0.0
t-3019404-id_06-0.0,t-3019404,id_06-0.0
t-3020154-id_06-0.0,t-3020154,id_06-0.0
t-3020615-id_06-0.0,t-3020615,id_06-0.0
t-3020791-id_06-0.0,t-3020791,id_06-0.0
t-3021711-id_06-0.0,t-3021711,id_06-0.0
t-3023031-id_06--100.0,t-3023031,id_06--100.0
t-3023254-id_06-0.0,t-3023254,id_06-0.0
t-3024573-id_06-0.0,t-3024573,id_06-0.0
t-3024806-id_06-0.0,t-3024806,id_06-0.0
t-3025278-id_06-0.0,t-3025278,id_06-0.0
t-3026023-id_06-0.0,t-3026023,id_06-0.0
t-3026318-id_06-0.0,t-3026318,id_06-0.0
t-3026399-id_06-0.0,t-3026399,id_06-0.0
t-3026446-id_06-0.0,t-3026446,id_06-0.0
t-3027321-id_06--4.0,t-3027321,id_06--4.0
t-3027403-id_06-0.0,t-3027403,id_06-0.0
t-3027752-id_06-0.0,t-3027752,id_06-0.0
t-3028851-id_06-0.0,t-3028851,id_06-0.0
t-3029233-id_06--16.0,t-3029233,id_06--16.0
t-3030202-id_06-0.0,t-3030202,id_06-0.0
t-3030470-id_06--18.0,t-3030470,id_06--18.0
t-3031159-id_06--14.0,t-3031159,id_06--14.0
t-3031618-id_06--20.0,t-3031618,id_06--20.0
t-3032661-id_06--6.0,t-3032661,id_06--6.0
