:id,:from,:to
t-2993934-id_07-18.0,t-2993934,id_07-18.0
t-3004664-id_07-27.0,t-3004664,id_07-27.0
t-3020887-id_07-6.0,t-3020887,id_07-6.0
t-3002808-id_07-33.0,t-3002808,id_07-33.0
t-3004977-id_07-7.0,t-3004977,id_07-7.0
t-3029258-id_07-14.0,t-3029258,id_07-14.0
t-3036164-id_07-17.0,t-3036164,id_07-17.0
t-3000378-id_07-2.0,t-3000378,id_07-2.0
t-3023965-id_07-33.0,t-3023965,id_07-33.0
t-3026681-id_07-7.0,t-3026681,id_07-7.0
t-2992587-id_07-0.0,t-2992587,id_07-0.0
t-3012802-id_07-10.0,t-3012802,id_07-10.0
t-3025560-id_07-9.0,t-3025560,id_07-9.0
t-3028560-id_07-14.0,t-3028560,id_07-14.0
t-3033603-id_07-18.0,t-3033603,id_07-18.0
t-3035851-id_07-23.0,t-3035851,id_07-23.0
t-2990059-id_07-18.0,t-2990059,id_07-18.0
t-2991291-id_07-18.0,t-2991291,id_07-18.0
t-3008440-id_07-12.0,t-3008440,id_07-12.0
t-3017068-id_07-1.0,t-3017068,id_07-1.0
t-3004384-id_07-16.0,t-3004384,id_07-16.0
t-3020218-id_07-4.0,t-3020218,id_07-4.0
t-3023443-id_07-27.0,t-3023443,id_07-27.0
t-3027822-id_07-27.0,t-3027822,id_07-27.0
t-3032267-id_07-28.0,t-3032267,id_07-28.0
t-3036345-id_07-0.0,t-3036345,id_07-0.0
t-3010900-id_07--14.0,t-3010900,id_07--14.0
t-3016506-id_07-0.0,t-3016506,id_07-0.0
t-2998173-id_07-7.0,t-2998173,id_07-7.0
t-3006029-id_07-12.0,t-3006029,id_07-12.0
t-3006569-id_07-19.0,t-3006569,id_07-19.0
t-3028686-id_07-20.0,t-3028686,id_07-20.0
t-3030830-id_07-14.0,t-3030830,id_07-14.0
t-3033183-id_07-0.0,t-3033183,id_07-0.0
t-3036616-id_07--13.0,t-3036616,id_07--13.0
t-2998136-id_07-18.0,t-2998136,id_07-18.0
t-3002334-id_07-17.0,t-3002334,id_07-17.0
t-3009488-id_07-7.0,t-3009488,id_07-7.0
t-3011794-id_07-13.0,t-3011794,id_07-13.0
t-3015543-id_07-10.0,t-3015543,id_07-10.0
t-2992145-id_07-0.0,t-2992145,id_07-0.0
t-3001938-id_07-26.0,t-3001938,id_07-26.0
t-3016672-id_07-15.0,t-3016672,id_07-15.0
t-3031940-id_07-20.0,t-3031940,id_07-20.0
t-3032482-id_07-28.0,t-3032482,id_07-28.0
t-3022157-id_07-15.0,t-3022157,id_07-15.0
t-3016980-id_07-0.0,t-3016980,id_07-0.0
t-3033102-id_07-0.0,t-3033102,id_07-0.0
t-2996484-id_07-13.0,t-2996484,id_07-13.0
t-3003966-id_07-20.0,t-3003966,id_07-20.0
t-3008436-id_07-2.0,t-3008436,id_07-2.0
t-3016586-id_07-23.0,t-3016586,id_07-23.0
t-3016736-id_07-0.0,t-3016736,id_07-0.0
t-3036632-id_07--11.0,t-3036632,id_07--11.0
t-3001579-id_07-17.0,t-3001579,id_07-17.0
t-3010033-id_07-26.0,t-3010033,id_07-26.0
t-3024907-id_07-20.0,t-3024907,id_07-20.0
t-3001964-id_07-28.0,t-3001964,id_07-28.0
t-3015952-id_07-17.0,t-3015952,id_07-17.0
t-3028077-id_07--5.0,t-3028077,id_07--5.0
t-3029524-id_07-31.0,t-3029524,id_07-31.0
t-3012216-id_07-21.0,t-3012216,id_07-21.0
t-3012429-id_07-26.0,t-3012429,id_07-26.0
t-3027651-id_07-24.0,t-3027651,id_07-24.0
t-2996253-id_07-27.0,t-2996253,id_07-27.0
t-3032447-id_07-8.0,t-3032447,id_07-8.0
t-3034911-id_07-31.0,t-3034911,id_07-31.0
t-3000740-id_07-7.0,t-3000740,id_07-7.0
t-2997410-id_07-29.0,t-2997410,id_07-29.0
t-3006139-id_07-6.0,t-3006139,id_07-6.0
t-3016872-id_07-6.0,t-3016872,id_07-6.0
t-2988714-id_07-17.0,t-2988714,id_07-17.0
t-3000984-id_07--5.0,t-3000984,id_07--5.0
t-3012402-id_07-19.0,t-3012402,id_07-19.0
t-3023128-id_07--1.0,t-3023128,id_07--1.0
t-3027287-id_07-23.0,t-3027287,id_07-23.0
t-3029734-id_07-5.0,t-3029734,id_07-5.0
t-3006400-id_07-38.0,t-3006400,id_07-38.0
t-3009035-id_07-5.0,t-3009035,id_07-5.0
t-3010871-id_07--16.0,t-3010871,id_07--16.0
t-3017468-id_07-10.0,t-3017468,id_07-10.0
t-3020305-id_07-11.0,t-3020305,id_07-11.0
t-3036171-id_07-15.0,t-3036171,id_07-15.0
t-3006174-id_07-12.0,t-3006174,id_07-12.0
t-3008154-id_07-27.0,t-3008154,id_07-27.0
t-3009115-id_07-26.0,t-3009115,id_07-26.0
t-3010576-id_07-25.0,t-3010576,id_07-25.0
t-3011294-id_07-27.0,t-3011294,id_07-27.0
t-3012247-id_07-11.0,t-3012247,id_07-11.0
t-3016253-id_07--4.0,t-3016253,id_07--4.0
t-3023474-id_07-13.0,t-3023474,id_07-13.0
t-3027753-id_07-9.0,t-3027753,id_07-9.0
t-3033335-id_07-30.0,t-3033335,id_07-30.0
t-3011911-id_07-11.0,t-3011911,id_07-11.0
t-3033159-id_07-33.0,t-3033159,id_07-33.0
t-2990827-id_07-16.0,t-2990827,id_07-16.0
t-3001890-id_07-26.0,t-3001890,id_07-26.0
t-3004653-id_07-18.0,t-3004653,id_07-18.0
t-3004835-id_07-30.0,t-3004835,id_07-30.0
t-3024548-id_07-11.0,t-3024548,id_07-11.0
t-3034177-id_07-12.0,t-3034177,id_07-12.0
t-3036658-id_07--3.0,t-3036658,id_07--3.0
t-3001232-id_07-8.0,t-3001232,id_07-8.0
t-3012609-id_07-20.0,t-3012609,id_07-20.0
t-3025559-id_07-8.0,t-3025559,id_07-8.0
t-3034869-id_07-26.0,t-3034869,id_07-26.0
t-3032220-id_07-11.0,t-3032220,id_07-11.0
t-2997686-id_07-11.0,t-2997686,id_07-11.0
t-3005815-id_07-27.0,t-3005815,id_07-27.0
t-3000494-id_07-7.0,t-3000494,id_07-7.0
t-3032190-id_07-14.0,t-3032190,id_07-14.0
t-3011912-id_07-9.0,t-3011912,id_07-9.0
t-3027571-id_07-5.0,t-3027571,id_07-5.0
t-3027977-id_07-17.0,t-3027977,id_07-17.0
t-3032661-id_07-27.0,t-3032661,id_07-27.0
t-3034422-id_07-29.0,t-3034422,id_07-29.0
t-2988749-id_07-4.0,t-2988749,id_07-4.0
t-2990559-id_07--4.0,t-2990559,id_07--4.0
t-3012662-id_07-22.0,t-3012662,id_07-22.0
t-3020187-id_07-12.0,t-3020187,id_07-12.0
t-3001829-id_07-14.0,t-3001829,id_07-14.0
t-3012200-id_07-11.0,t-3012200,id_07-11.0
t-3029406-id_07-8.0,t-3029406,id_07-8.0
t-3000685-id_07-0.0,t-3000685,id_07-0.0
t-3027262-id_07-13.0,t-3027262,id_07-13.0
t-3029360-id_07-30.0,t-3029360,id_07-30.0
t-3033744-id_07-14.0,t-3033744,id_07-14.0
t-3010123-id_07-32.0,t-3010123,id_07-32.0
t-3021687-id_07-0.0,t-3021687,id_07-0.0
t-3023705-id_07-12.0,t-3023705,id_07-12.0
t-3026958-id_07-28.0,t-3026958,id_07-28.0
t-3031604-id_07-2.0,t-3031604,id_07-2.0
t-3032491-id_07-0.0,t-3032491,id_07-0.0
t-3012670-id_07-22.0,t-3012670,id_07-22.0
t-2996203-id_07-22.0,t-2996203,id_07-22.0
t-3008623-id_07-34.0,t-3008623,id_07-34.0
t-3009191-id_07-15.0,t-3009191,id_07-15.0
t-3015874-id_07-17.0,t-3015874,id_07-17.0
t-3029250-id_07-13.0,t-3029250,id_07-13.0
t-3011111-id_07-14.0,t-3011111,id_07-14.0
t-3033873-id_07-23.0,t-3033873,id_07-23.0
t-3015548-id_07-10.0,t-3015548,id_07-10.0
t-3022575-id_07-26.0,t-3022575,id_07-26.0
t-3031005-id_07-29.0,t-3031005,id_07-29.0
t-3033141-id_07-0.0,t-3033141,id_07-0.0
t-3019817-id_07--4.0,t-3019817,id_07--4.0
t-3020756-id_07-14.0,t-3020756,id_07-14.0
t-3031003-id_07-1.0,t-3031003,id_07-1.0
t-3036156-id_07-17.0,t-3036156,id_07-17.0
t-3008480-id_07-24.0,t-3008480,id_07-24.0
t-3020504-id_07-25.0,t-3020504,id_07-25.0
t-3023136-id_07--1.0,t-3023136,id_07--1.0
t-3027580-id_07-6.0,t-3027580,id_07-6.0
t-3033306-id_07-3.0,t-3033306,id_07-3.0
t-2994206-id_07-24.0,t-2994206,id_07-24.0
t-3033135-id_07-0.0,t-3033135,id_07-0.0
t-3025551-id_07-9.0,t-3025551,id_07-9.0
t-3027821-id_07-19.0,t-3027821,id_07-19.0
t-3034415-id_07-22.0,t-3034415,id_07-22.0
t-3009242-id_07-22.0,t-3009242,id_07-22.0
t-3036163-id_07-17.0,t-3036163,id_07-17.0
t-3000969-id_07--5.0,t-3000969,id_07--5.0
t-3006237-id_07-26.0,t-3006237,id_07-26.0
t-3012317-id_07-21.0,t-3012317,id_07-21.0
t-3032173-id_07-15.0,t-3032173,id_07-15.0
t-3008249-id_07-0.0,t-3008249,id_07-0.0
t-3013209-id_07-15.0,t-3013209,id_07-15.0
t-3001614-id_07-22.0,t-3001614,id_07-22.0
t-3024908-id_07-30.0,t-3024908,id_07-30.0
t-3036612-id_07--12.0,t-3036612,id_07--12.0
t-3005156-id_07-4.0,t-3005156,id_07-4.0
t-3032791-id_07-3.0,t-3032791,id_07-3.0
t-3017183-id_07-20.0,t-3017183,id_07-20.0
t-3027973-id_07-17.0,t-3027973,id_07-17.0
t-3036558-id_07-9.0,t-3036558,id_07-9.0
t-2992495-id_07-12.0,t-2992495,id_07-12.0
t-3004823-id_07-1.0,t-3004823,id_07-1.0
t-3032565-id_07-20.0,t-3032565,id_07-20.0
t-3008825-id_07-15.0,t-3008825,id_07-15.0
t-3034346-id_07-7.0,t-3034346,id_07-7.0
t-3005793-id_07-4.0,t-3005793,id_07-4.0
t-3008275-id_07-2.0,t-3008275,id_07-2.0
t-2990906-id_07-39.0,t-2990906,id_07-39.0
t-3000993-id_07--5.0,t-3000993,id_07--5.0
t-3002879-id_07-13.0,t-3002879,id_07-13.0
