:id,:from,:to
t-2987819-id_11-100.0,t-2987819,id_11-100.0
t-2988393-id_11-100.0,t-2988393,id_11-100.0
t-2990531-id_11-100.0,t-2990531,id_11-100.0
t-2990864-id_11-100.0,t-2990864,id_11-100.0
t-2992027-id_11-100.0,t-2992027,id_11-100.0
t-2992198-id_11-100.0,t-2992198,id_11-100.0
t-2992202-id_11-100.0,t-2992202,id_11-100.0
t-2992903-id_11-100.0,t-2992903,id_11-100.0
t-2993107-id_11-100.0,t-2993107,id_11-100.0
t-2993126-id_11-100.0,t-2993126,id_11-100.0
t-2993481-id_11-100.0,t-2993481,id_11-100.0
t-2994504-id_11-100.0,t-2994504,id_11-100.0
t-2994631-id_11-100.0,t-2994631,id_11-100.0
t-2994729-id_11-100.0,t-2994729,id_11-100.0
t-2995401-id_11-100.0,t-2995401,id_11-100.0
t-2996564-id_11-100.0,t-2996564,id_11-100.0
t-2996841-id_11-100.0,t-2996841,id_11-100.0
t-2997222-id_11-100.0,t-2997222,id_11-100.0
t-2997817-id_11-100.0,t-2997817,id_11-100.0
t-3002165-id_11-100.0,t-3002165,id_11-100.0
t-3002171-id_11-100.0,t-3002171,id_11-100.0
t-3003661-id_11-100.0,t-3003661,id_11-100.0
t-3003968-id_11-100.0,t-3003968,id_11-100.0
t-3004705-id_11-100.0,t-3004705,id_11-100.0
t-3005347-id_11-100.0,t-3005347,id_11-100.0
t-3005793-id_11-100.0,t-3005793,id_11-100.0
t-3006534-id_11-100.0,t-3006534,id_11-100.0
t-3006923-id_11-100.0,t-3006923,id_11-100.0
t-3007953-id_11-100.0,t-3007953,id_11-100.0
t-3009051-id_11-100.0,t-3009051,id_11-100.0
t-3009322-id_11-100.0,t-3009322,id_11-100.0
t-3009566-id_11-93.33000183105469,t-3009566,id_11-93.33000183105469
t-3009930-id_11-100.0,t-3009930,id_11-100.0
t-3010216-id_11-100.0,t-3010216,id_11-100.0
t-3010765-id_11-100.0,t-3010765,id_11-100.0
t-3011035-id_11-100.0,t-3011035,id_11-100.0
t-3012775-id_11-100.0,t-3012775,id_11-100.0
t-3012823-id_11-100.0,t-3012823,id_11-100.0
t-3014457-id_11-100.0,t-3014457,id_11-100.0
