:id,:from,:to
t-2988705-id_13-52.0,t-2988705,id_13-52.0
t-2991308-id_13-49.0,t-2991308,id_13-49.0
t-2993718-id_13-52.0,t-2993718,id_13-52.0
t-2995441-id_13-18.0,t-2995441,id_13-18.0
t-2998097-id_13-52.0,t-2998097,id_13-52.0
t-2999379-id_13-52.0,t-2999379,id_13-52.0
t-3002618-id_13-52.0,t-3002618,id_13-52.0
t-3002827-id_13-49.0,t-3002827,id_13-49.0
t-3003631-id_13-20.0,t-3003631,id_13-20.0
t-3003706-id_13-52.0,t-3003706,id_13-52.0
t-3004343-id_13-52.0,t-3004343,id_13-52.0
t-3004362-id_13-52.0,t-3004362,id_13-52.0
t-3004423-id_13-52.0,t-3004423,id_13-52.0
t-3006712-id_13-49.0,t-3006712,id_13-49.0
t-3009443-id_13-52.0,t-3009443,id_13-52.0
t-3009979-id_13-52.0,t-3009979,id_13-52.0
t-3011291-id_13-49.0,t-3011291,id_13-49.0
t-3011308-id_13-49.0,t-3011308,id_13-49.0
t-3011755-id_13-49.0,t-3011755,id_13-49.0
t-3011789-id_13-52.0,t-3011789,id_13-52.0
t-3012314-id_13-15.0,t-3012314,id_13-15.0
t-3012428-id_13-52.0,t-3012428,id_13-52.0
t-3013413-id_13-24.0,t-3013413,id_13-24.0
t-3014076-id_13-61.0,t-3014076,id_13-61.0
t-3015362-id_13-52.0,t-3015362,id_13-52.0
t-3015533-id_13-18.0,t-3015533,id_13-18.0
t-3016995-id_13-49.0,t-3016995,id_13-49.0
t-3017061-id_13-49.0,t-3017061,id_13-49.0
t-3017619-id_13-52.0,t-3017619,id_13-52.0
t-3018046-id_13-18.0,t-3018046,id_13-18.0
t-3018177-id_13-52.0,t-3018177,id_13-52.0
t-3018693-id_13-49.0,t-3018693,id_13-49.0
t-3018749-id_13-52.0,t-3018749,id_13-52.0
t-3019180-id_13-43.0,t-3019180,id_13-43.0
t-3020177-id_13-49.0,t-3020177,id_13-49.0
t-3020186-id_13-52.0,t-3020186,id_13-52.0
t-3021780-id_13-49.0,t-3021780,id_13-49.0
t-3022704-id_13-52.0,t-3022704,id_13-52.0
t-3023461-id_13-52.0,t-3023461,id_13-52.0
t-3023848-id_13-41.0,t-3023848,id_13-41.0
t-3024033-id_13-14.0,t-3024033,id_13-14.0
t-3024594-id_13-52.0,t-3024594,id_13-52.0
t-3025516-id_13-49.0,t-3025516,id_13-49.0
t-3026602-id_13-35.0,t-3026602,id_13-35.0
t-3027592-id_13-52.0,t-3027592,id_13-52.0
t-3027622-id_13-52.0,t-3027622,id_13-52.0
t-3027669-id_13-52.0,t-3027669,id_13-52.0
t-3028109-id_13-49.0,t-3028109,id_13-49.0
t-3028128-id_13-49.0,t-3028128,id_13-49.0
t-3029857-id_13-52.0,t-3029857,id_13-52.0
t-3032019-id_13-52.0,t-3032019,id_13-52.0
t-3032309-id_13-52.0,t-3032309,id_13-52.0
t-3032931-id_13-49.0,t-3032931,id_13-49.0
t-3033193-id_13-52.0,t-3033193,id_13-52.0
t-3034458-id_13-49.0,t-3034458,id_13-49.0
t-3034661-id_13-18.0,t-3034661,id_13-18.0
t-3035343-id_13-20.0,t-3035343,id_13-20.0
t-3035522-id_13-52.0,t-3035522,id_13-52.0
t-3035947-id_13-63.0,t-3035947,id_13-63.0
t-2990118-id_13-49.0,t-2990118,id_13-49.0
t-2990294-id_13-49.0,t-2990294,id_13-49.0
t-2991539-id_13-49.0,t-2991539,id_13-49.0
t-2991995-id_13-52.0,t-2991995,id_13-52.0
t-2992205-id_13-52.0,t-2992205,id_13-52.0
t-2994736-id_13-49.0,t-2994736,id_13-49.0
t-2995672-id_13-20.0,t-2995672,id_13-20.0
t-2995742-id_13-49.0,t-2995742,id_13-49.0
t-2996439-id_13-52.0,t-2996439,id_13-52.0
t-2997944-id_13-52.0,t-2997944,id_13-52.0
t-2998379-id_13-52.0,t-2998379,id_13-52.0
t-2998597-id_13-49.0,t-2998597,id_13-49.0
t-2998782-id_13-49.0,t-2998782,id_13-49.0
t-2999154-id_13-43.0,t-2999154,id_13-43.0
t-3000774-id_13-49.0,t-3000774,id_13-49.0
t-3000775-id_13-52.0,t-3000775,id_13-52.0
t-3001171-id_13-52.0,t-3001171,id_13-52.0
t-3001776-id_13-52.0,t-3001776,id_13-52.0
t-3002072-id_13-52.0,t-3002072,id_13-52.0
t-3002534-id_13-49.0,t-3002534,id_13-49.0
t-3004276-id_13-52.0,t-3004276,id_13-52.0
t-3005924-id_13-52.0,t-3005924,id_13-52.0
t-3007836-id_13-52.0,t-3007836,id_13-52.0
t-3008142-id_13-49.0,t-3008142,id_13-49.0
t-3009231-id_13-52.0,t-3009231,id_13-52.0
t-3009477-id_13-52.0,t-3009477,id_13-52.0
t-3010644-id_13-52.0,t-3010644,id_13-52.0
t-3011566-id_13-49.0,t-3011566,id_13-49.0
t-3012088-id_13-52.0,t-3012088,id_13-52.0
t-3013544-id_13-49.0,t-3013544,id_13-49.0
t-3014106-id_13-52.0,t-3014106,id_13-52.0
t-3014733-id_13-63.0,t-3014733,id_13-63.0
t-3015034-id_13-49.0,t-3015034,id_13-49.0
t-3018226-id_13-20.0,t-3018226,id_13-20.0
t-3018574-id_13-24.0,t-3018574,id_13-24.0
t-3019273-id_13-52.0,t-3019273,id_13-52.0
t-3020756-id_13-49.0,t-3020756,id_13-49.0
t-3020975-id_13-52.0,t-3020975,id_13-52.0
t-3021755-id_13-52.0,t-3021755,id_13-52.0
t-3021961-id_13-49.0,t-3021961,id_13-49.0
t-3023190-id_13-52.0,t-3023190,id_13-52.0
