:id,:from,:to
t-2987788-id_14--480.0,t-2987788,id_14--480.0
t-2993460-id_14--300.0,t-2993460,id_14--300.0
t-2994698-id_14--480.0,t-2994698,id_14--480.0
t-2995263-id_14--300.0,t-2995263,id_14--300.0
t-2996010-id_14--360.0,t-2996010,id_14--360.0
t-2996817-id_14--300.0,t-2996817,id_14--300.0
t-2997279-id_14--300.0,t-2997279,id_14--300.0
t-2998825-id_14--300.0,t-2998825,id_14--300.0
t-2999619-id_14--360.0,t-2999619,id_14--360.0
t-3000964-id_14--300.0,t-3000964,id_14--300.0
t-3007486-id_14--300.0,t-3007486,id_14--300.0
t-3007654-id_14--480.0,t-3007654,id_14--480.0
t-3008799-id_14--300.0,t-3008799,id_14--300.0
t-3008987-id_14--480.0,t-3008987,id_14--480.0
t-3009562-id_14--300.0,t-3009562,id_14--300.0
t-3009640-id_14--300.0,t-3009640,id_14--300.0
t-3009697-id_14--360.0,t-3009697,id_14--360.0
t-3009749-id_14--420.0,t-3009749,id_14--420.0
t-3010644-id_14--300.0,t-3010644,id_14--300.0
t-3012148-id_14-120.0,t-3012148,id_14-120.0
t-3013348-id_14--360.0,t-3013348,id_14--360.0
t-3013478-id_14--300.0,t-3013478,id_14--300.0
t-3014146-id_14--300.0,t-3014146,id_14--300.0
t-3015211-id_14--480.0,t-3015211,id_14--480.0
t-3015456-id_14--300.0,t-3015456,id_14--300.0
t-3015580-id_14--480.0,t-3015580,id_14--480.0
t-3015984-id_14--360.0,t-3015984,id_14--360.0
t-3016879-id_14--300.0,t-3016879,id_14--300.0
t-3017109-id_14--360.0,t-3017109,id_14--360.0
t-3017183-id_14--300.0,t-3017183,id_14--300.0
t-3020678-id_14--360.0,t-3020678,id_14--360.0
t-3021059-id_14--360.0,t-3021059,id_14--360.0
t-3021302-id_14--360.0,t-3021302,id_14--360.0
t-3021346-id_14--300.0,t-3021346,id_14--300.0
t-3021455-id_14--300.0,t-3021455,id_14--300.0
t-3022069-id_14--300.0,t-3022069,id_14--300.0
t-3022250-id_14--360.0,t-3022250,id_14--360.0
t-3022710-id_14--480.0,t-3022710,id_14--480.0
t-3023751-id_14--300.0,t-3023751,id_14--300.0
t-3027689-id_14--360.0,t-3027689,id_14--360.0
t-3029013-id_14--360.0,t-3029013,id_14--360.0
t-3029146-id_14--360.0,t-3029146,id_14--360.0
t-3029398-id_14--480.0,t-3029398,id_14--480.0
t-3029936-id_14--300.0,t-3029936,id_14--300.0
t-3031837-id_14--300.0,t-3031837,id_14--300.0
t-3032335-id_14--360.0,t-3032335,id_14--360.0
t-3032357-id_14--360.0,t-3032357,id_14--360.0
t-3032827-id_14--300.0,t-3032827,id_14--300.0
t-3033121-id_14--300.0,t-3033121,id_14--300.0
t-3034751-id_14--300.0,t-3034751,id_14--300.0
t-3035189-id_14--360.0,t-3035189,id_14--360.0
t-3035690-id_14--300.0,t-3035690,id_14--300.0
t-3036118-id_14--300.0,t-3036118,id_14--300.0
t-3036486-id_14--300.0,t-3036486,id_14--300.0
t-3036611-id_14--300.0,t-3036611,id_14--300.0
t-3036645-id_14--480.0,t-3036645,id_14--480.0
t-2990144-id_14--420.0,t-2990144,id_14--420.0
t-2991954-id_14--300.0,t-2991954,id_14--300.0
t-2995000-id_14--420.0,t-2995000,id_14--420.0
t-2995339-id_14--360.0,t-2995339,id_14--360.0
t-2995386-id_14-480.0,t-2995386,id_14-480.0
t-2996974-id_14--300.0,t-2996974,id_14--300.0
t-3000677-id_14--300.0,t-3000677,id_14--300.0
t-3001719-id_14--300.0,t-3001719,id_14--300.0
t-3001960-id_14--480.0,t-3001960,id_14--480.0
t-3002130-id_14--480.0,t-3002130,id_14--480.0
t-3002180-id_14--360.0,t-3002180,id_14--360.0
t-3003029-id_14--480.0,t-3003029,id_14--480.0
t-3005874-id_14--300.0,t-3005874,id_14--300.0
t-3008456-id_14--300.0,t-3008456,id_14--300.0
t-3008482-id_14--420.0,t-3008482,id_14--420.0
t-3008686-id_14--300.0,t-3008686,id_14--300.0
t-3008795-id_14--300.0,t-3008795,id_14--300.0
t-3009755-id_14--300.0,t-3009755,id_14--300.0
t-3012560-id_14--360.0,t-3012560,id_14--360.0
t-3012779-id_14--300.0,t-3012779,id_14--300.0
t-3013712-id_14--480.0,t-3013712,id_14--480.0
t-3015052-id_14--300.0,t-3015052,id_14--300.0
t-3015737-id_14--360.0,t-3015737,id_14--360.0
t-3016198-id_14--360.0,t-3016198,id_14--360.0
t-3016676-id_14--480.0,t-3016676,id_14--480.0
t-3017586-id_14--300.0,t-3017586,id_14--300.0
t-3017623-id_14--300.0,t-3017623,id_14--300.0
t-3019007-id_14--480.0,t-3019007,id_14--480.0
t-3019496-id_14--480.0,t-3019496,id_14--480.0
t-3020091-id_14--300.0,t-3020091,id_14--300.0
t-3020424-id_14--360.0,t-3020424,id_14--360.0
t-3021728-id_14--300.0,t-3021728,id_14--300.0
