:id,:from,:to
t-2987437-id_17-166.0,t-2987437,id_17-166.0
t-2987844-id_17-225.0,t-2987844,id_17-225.0
t-2988484-id_17-166.0,t-2988484,id_17-166.0
t-2988663-id_17-166.0,t-2988663,id_17-166.0
t-2989953-id_17-225.0,t-2989953,id_17-225.0
t-2990364-id_17-166.0,t-2990364,id_17-166.0
t-2990763-id_17-166.0,t-2990763,id_17-166.0
t-2992212-id_17-225.0,t-2992212,id_17-225.0
t-2992671-id_17-166.0,t-2992671,id_17-166.0
t-2993805-id_17-166.0,t-2993805,id_17-166.0
t-2993812-id_17-166.0,t-2993812,id_17-166.0
t-2995352-id_17-166.0,t-2995352,id_17-166.0
t-2998994-id_17-166.0,t-2998994,id_17-166.0
t-3000061-id_17-166.0,t-3000061,id_17-166.0
t-3000744-id_17-166.0,t-3000744,id_17-166.0
t-3001134-id_17-166.0,t-3001134,id_17-166.0
t-3002648-id_17-166.0,t-3002648,id_17-166.0
t-3003743-id_17-166.0,t-3003743,id_17-166.0
t-3004684-id_17-225.0,t-3004684,id_17-225.0
t-3005163-id_17-166.0,t-3005163,id_17-166.0
t-3008043-id_17-225.0,t-3008043,id_17-225.0
t-3010367-id_17-166.0,t-3010367,id_17-166.0
t-3010651-id_17-166.0,t-3010651,id_17-166.0
t-3010987-id_17-166.0,t-3010987,id_17-166.0
t-3011231-id_17-225.0,t-3011231,id_17-225.0
t-3011305-id_17-166.0,t-3011305,id_17-166.0
t-3011443-id_17-225.0,t-3011443,id_17-225.0
t-3012226-id_17-166.0,t-3012226,id_17-166.0
t-3013267-id_17-225.0,t-3013267,id_17-225.0
t-3013339-id_17-166.0,t-3013339,id_17-166.0
t-3016908-id_17-225.0,t-3016908,id_17-225.0
t-3017380-id_17-166.0,t-3017380,id_17-166.0
t-3018177-id_17-225.0,t-3018177,id_17-225.0
t-3019268-id_17-166.0,t-3019268,id_17-166.0
t-3019383-id_17-166.0,t-3019383,id_17-166.0
t-3019613-id_17-225.0,t-3019613,id_17-225.0
t-3019619-id_17-225.0,t-3019619,id_17-225.0
t-3021431-id_17-166.0,t-3021431,id_17-166.0
t-3023021-id_17-166.0,t-3023021,id_17-166.0
t-3023820-id_17-166.0,t-3023820,id_17-166.0
t-3024090-id_17-225.0,t-3024090,id_17-225.0
t-3024590-id_17-166.0,t-3024590,id_17-166.0
t-3024940-id_17-225.0,t-3024940,id_17-225.0
t-3025048-id_17-166.0,t-3025048,id_17-166.0
t-3027361-id_17-166.0,t-3027361,id_17-166.0
t-3027538-id_17-166.0,t-3027538,id_17-166.0
t-3029872-id_17-166.0,t-3029872,id_17-166.0
t-3029958-id_17-166.0,t-3029958,id_17-166.0
t-3030100-id_17-225.0,t-3030100,id_17-225.0
t-3030433-id_17-166.0,t-3030433,id_17-166.0
t-3031118-id_17-166.0,t-3031118,id_17-166.0
t-3031363-id_17-225.0,t-3031363,id_17-225.0
t-3032048-id_17-166.0,t-3032048,id_17-166.0
t-3032146-id_17-166.0,t-3032146,id_17-166.0
t-3032191-id_17-166.0,t-3032191,id_17-166.0
t-3032666-id_17-166.0,t-3032666,id_17-166.0
t-3033461-id_17-166.0,t-3033461,id_17-166.0
t-3033768-id_17-166.0,t-3033768,id_17-166.0
t-3033981-id_17-225.0,t-3033981,id_17-225.0
t-3034229-id_17-166.0,t-3034229,id_17-166.0
t-3034407-id_17-166.0,t-3034407,id_17-166.0
t-3035107-id_17-166.0,t-3035107,id_17-166.0
t-3035303-id_17-166.0,t-3035303,id_17-166.0
t-3035423-id_17-166.0,t-3035423,id_17-166.0
t-2989027-id_17-225.0,t-2989027,id_17-225.0
t-2989225-id_17-225.0,t-2989225,id_17-225.0
t-2989728-id_17-166.0,t-2989728,id_17-166.0
t-2989981-id_17-166.0,t-2989981,id_17-166.0
t-2991153-id_17-225.0,t-2991153,id_17-225.0
t-2992726-id_17-130.0,t-2992726,id_17-130.0
t-2994681-id_17-166.0,t-2994681,id_17-166.0
t-2995595-id_17-166.0,t-2995595,id_17-166.0
t-2998531-id_17-166.0,t-2998531,id_17-166.0
t-2998712-id_17-166.0,t-2998712,id_17-166.0
t-2998904-id_17-166.0,t-2998904,id_17-166.0
t-2999873-id_17-166.0,t-2999873,id_17-166.0
t-2999895-id_17-166.0,t-2999895,id_17-166.0
t-3000165-id_17-225.0,t-3000165,id_17-225.0
t-3002072-id_17-166.0,t-3002072,id_17-166.0
t-3002437-id_17-225.0,t-3002437,id_17-225.0
t-3003701-id_17-166.0,t-3003701,id_17-166.0
t-3003914-id_17-225.0,t-3003914,id_17-225.0
t-3004800-id_17-166.0,t-3004800,id_17-166.0
t-3004960-id_17-225.0,t-3004960,id_17-225.0
t-3005036-id_17-166.0,t-3005036,id_17-166.0
t-3005733-id_17-166.0,t-3005733,id_17-166.0
t-3005888-id_17-166.0,t-3005888,id_17-166.0
t-3006017-id_17-225.0,t-3006017,id_17-225.0
t-3006662-id_17-166.0,t-3006662,id_17-166.0
t-3006732-id_17-225.0,t-3006732,id_17-225.0
t-3007326-id_17-166.0,t-3007326,id_17-166.0
t-3007654-id_17-166.0,t-3007654,id_17-166.0
t-3008094-id_17-166.0,t-3008094,id_17-166.0
t-3008267-id_17-166.0,t-3008267,id_17-166.0
t-3010421-id_17-166.0,t-3010421,id_17-166.0
t-3011132-id_17-225.0,t-3011132,id_17-225.0
t-3011307-id_17-225.0,t-3011307,id_17-225.0
t-3011521-id_17-166.0,t-3011521,id_17-166.0
t-3011655-id_17-166.0,t-3011655,id_17-166.0
t-3012533-id_17-166.0,t-3012533,id_17-166.0
t-3012616-id_17-225.0,t-3012616,id_17-225.0
t-3012620-id_17-225.0,t-3012620,id_17-225.0
t-3012726-id_17-166.0,t-3012726,id_17-166.0
t-3013044-id_17-166.0,t-3013044,id_17-166.0
t-3014171-id_17-166.0,t-3014171,id_17-166.0
t-3015433-id_17-225.0,t-3015433,id_17-225.0
t-3015824-id_17-166.0,t-3015824,id_17-166.0
t-3016021-id_17-166.0,t-3016021,id_17-166.0
t-3017195-id_17-166.0,t-3017195,id_17-166.0
t-3017647-id_17-166.0,t-3017647,id_17-166.0
t-3018222-id_17-166.0,t-3018222,id_17-166.0
t-3018596-id_17-225.0,t-3018596,id_17-225.0
t-3019753-id_17-166.0,t-3019753,id_17-166.0
t-3019757-id_17-166.0,t-3019757,id_17-166.0
t-3021020-id_17-166.0,t-3021020,id_17-166.0
t-3021532-id_17-225.0,t-3021532,id_17-225.0
t-3021728-id_17-166.0,t-3021728,id_17-166.0
t-3022772-id_17-225.0,t-3022772,id_17-225.0
t-3022999-id_17-166.0,t-3022999,id_17-166.0
t-3023405-id_17-166.0,t-3023405,id_17-166.0
t-3023474-id_17-166.0,t-3023474,id_17-166.0
t-3023644-id_17-166.0,t-3023644,id_17-166.0
t-3024320-id_17-225.0,t-3024320,id_17-225.0
t-3024486-id_17-166.0,t-3024486,id_17-166.0
