:id,:from,:to
t-2989201-id_18-15.0,t-2989201,id_18-15.0
t-2994964-id_18-15.0,t-2994964,id_18-15.0
t-3001408-id_18-15.0,t-3001408,id_18-15.0
t-3004002-id_18-13.0,t-3004002,id_18-13.0
t-3005251-id_18-15.0,t-3005251,id_18-15.0
t-3005874-id_18-13.0,t-3005874,id_18-13.0
t-3005875-id_18-13.0,t-3005875,id_18-13.0
t-3012402-id_18-12.0,t-3012402,id_18-12.0
t-3012497-id_18-15.0,t-3012497,id_18-15.0
t-3012990-id_18-15.0,t-3012990,id_18-15.0
t-3014166-id_18-12.0,t-3014166,id_18-12.0
t-3019268-id_18-15.0,t-3019268,id_18-15.0
t-3019386-id_18-12.0,t-3019386,id_18-12.0
t-3021965-id_18-15.0,t-3021965,id_18-15.0
t-3023155-id_18-12.0,t-3023155,id_18-12.0
t-3025846-id_18-15.0,t-3025846,id_18-15.0
t-3027183-id_18-15.0,t-3027183,id_18-15.0
t-3027499-id_18-13.0,t-3027499,id_18-13.0
t-3028241-id_18-13.0,t-3028241,id_18-13.0
t-3031614-id_18-15.0,t-3031614,id_18-15.0
t-3031769-id_18-15.0,t-3031769,id_18-15.0
t-3032014-id_18-15.0,t-3032014,id_18-15.0
t-3032687-id_18-13.0,t-3032687,id_18-13.0
t-3033584-id_18-13.0,t-3033584,id_18-13.0
t-2989374-id_18-13.0,t-2989374,id_18-13.0
t-2997952-id_18-12.0,t-2997952,id_18-12.0
t-2998124-id_18-15.0,t-2998124,id_18-15.0
t-3000702-id_18-12.0,t-3000702,id_18-12.0
t-3000811-id_18-13.0,t-3000811,id_18-13.0
t-3005782-id_18-13.0,t-3005782,id_18-13.0
t-3008816-id_18-15.0,t-3008816,id_18-15.0
t-3009060-id_18-15.0,t-3009060,id_18-15.0
t-3010068-id_18-15.0,t-3010068,id_18-15.0
t-3011130-id_18-13.0,t-3011130,id_18-13.0
t-3011452-id_18-13.0,t-3011452,id_18-13.0
t-3013362-id_18-15.0,t-3013362,id_18-15.0
t-3015348-id_18-13.0,t-3015348,id_18-13.0
t-3017247-id_18-13.0,t-3017247,id_18-13.0
t-3017666-id_18-15.0,t-3017666,id_18-15.0
t-3020430-id_18-13.0,t-3020430,id_18-13.0
t-3023496-id_18-15.0,t-3023496,id_18-15.0
t-3024368-id_18-15.0,t-3024368,id_18-15.0
t-3025069-id_18-15.0,t-3025069,id_18-15.0
t-3027229-id_18-15.0,t-3027229,id_18-15.0
t-3028264-id_18-15.0,t-3028264,id_18-15.0
t-3028471-id_18-13.0,t-3028471,id_18-13.0
t-3028586-id_18-15.0,t-3028586,id_18-15.0
t-3034924-id_18-13.0,t-3034924,id_18-13.0
t-3035037-id_18-13.0,t-3035037,id_18-13.0
t-3035555-id_18-15.0,t-3035555,id_18-15.0
t-2994998-id_18-15.0,t-2994998,id_18-15.0
t-3009234-id_18-12.0,t-3009234,id_18-12.0
t-3009989-id_18-12.0,t-3009989,id_18-12.0
t-3011579-id_18-12.0,t-3011579,id_18-12.0
t-3024197-id_18-29.0,t-3024197,id_18-29.0
t-3025082-id_18-15.0,t-3025082,id_18-15.0
t-3025516-id_18-13.0,t-3025516,id_18-13.0
t-3025832-id_18-15.0,t-3025832,id_18-15.0
t-3032694-id_18-13.0,t-3032694,id_18-13.0
t-2987638-id_18-13.0,t-2987638,id_18-13.0
t-2990582-id_18-13.0,t-2990582,id_18-13.0
t-2995970-id_18-13.0,t-2995970,id_18-13.0
t-2998038-id_18-13.0,t-2998038,id_18-13.0
t-2998393-id_18-15.0,t-2998393,id_18-15.0
t-2999186-id_18-13.0,t-2999186,id_18-13.0
t-3004379-id_18-15.0,t-3004379,id_18-15.0
t-3010260-id_18-13.0,t-3010260,id_18-13.0
t-3012088-id_18-12.0,t-3012088,id_18-12.0
t-3012310-id_18-13.0,t-3012310,id_18-13.0
t-3013304-id_18-15.0,t-3013304,id_18-15.0
t-3014811-id_18-15.0,t-3014811,id_18-15.0
t-3015229-id_18-15.0,t-3015229,id_18-15.0
t-3015852-id_18-15.0,t-3015852,id_18-15.0
t-3015908-id_18-15.0,t-3015908,id_18-15.0
t-3016017-id_18-13.0,t-3016017,id_18-13.0
t-3016238-id_18-13.0,t-3016238,id_18-13.0
t-3017326-id_18-15.0,t-3017326,id_18-15.0
t-3018800-id_18-15.0,t-3018800,id_18-15.0
t-3019659-id_18-15.0,t-3019659,id_18-15.0
t-3027072-id_18-15.0,t-3027072,id_18-15.0
t-3029133-id_18-13.0,t-3029133,id_18-13.0
t-3030673-id_18-15.0,t-3030673,id_18-15.0
t-3036345-id_18-12.0,t-3036345,id_18-12.0
t-3036745-id_18-13.0,t-3036745,id_18-13.0
t-2993310-id_18-13.0,t-2993310,id_18-13.0
t-2996534-id_18-15.0,t-2996534,id_18-15.0
t-2996841-id_18-15.0,t-2996841,id_18-15.0
t-2998916-id_18-15.0,t-2998916,id_18-15.0
t-3004717-id_18-13.0,t-3004717,id_18-13.0
t-3006065-id_18-15.0,t-3006065,id_18-15.0
t-3007844-id_18-15.0,t-3007844,id_18-15.0
t-3008226-id_18-15.0,t-3008226,id_18-15.0
t-3010342-id_18-13.0,t-3010342,id_18-13.0
t-3010809-id_18-15.0,t-3010809,id_18-15.0
t-3011549-id_18-15.0,t-3011549,id_18-15.0
t-3016808-id_18-13.0,t-3016808,id_18-13.0
t-3018994-id_18-13.0,t-3018994,id_18-13.0
t-3020756-id_18-12.0,t-3020756,id_18-12.0
t-3024518-id_18-13.0,t-3024518,id_18-13.0
t-3027180-id_18-15.0,t-3027180,id_18-15.0
t-3027606-id_18-13.0,t-3027606,id_18-13.0
t-3027804-id_18-15.0,t-3027804,id_18-15.0
t-3029402-id_18-15.0,t-3029402,id_18-15.0
t-3031158-id_18-15.0,t-3031158,id_18-15.0
t-3032455-id_18-13.0,t-3032455,id_18-13.0
t-3033567-id_18-15.0,t-3033567,id_18-15.0
t-3033826-id_18-13.0,t-3033826,id_18-13.0
t-3034607-id_18-13.0,t-3034607,id_18-13.0
t-3035553-id_18-15.0,t-3035553,id_18-15.0
t-3036957-id_18-13.0,t-3036957,id_18-13.0
t-2987754-id_18-15.0,t-2987754,id_18-15.0
t-2988396-id_18-15.0,t-2988396,id_18-15.0
t-2991241-id_18-15.0,t-2991241,id_18-15.0
t-2998010-id_18-15.0,t-2998010,id_18-15.0
t-3001386-id_18-15.0,t-3001386,id_18-15.0
t-3006422-id_18-13.0,t-3006422,id_18-13.0
t-3008591-id_18-15.0,t-3008591,id_18-15.0
t-3010043-id_18-13.0,t-3010043,id_18-13.0
t-3012750-id_18-15.0,t-3012750,id_18-15.0
t-3014142-id_18-15.0,t-3014142,id_18-15.0
t-3014986-id_18-12.0,t-3014986,id_18-12.0
t-3016137-id_18-15.0,t-3016137,id_18-15.0
t-3017121-id_18-13.0,t-3017121,id_18-13.0
t-3017815-id_18-13.0,t-3017815,id_18-13.0
t-3020410-id_18-13.0,t-3020410,id_18-13.0
t-3023623-id_18-15.0,t-3023623,id_18-15.0
t-3024200-id_18-15.0,t-3024200,id_18-15.0
t-3024205-id_18-13.0,t-3024205,id_18-13.0
t-3025454-id_18-15.0,t-3025454,id_18-15.0
t-3026883-id_18-15.0,t-3026883,id_18-15.0
t-3026909-id_18-15.0,t-3026909,id_18-15.0
t-3027902-id_18-13.0,t-3027902,id_18-13.0
t-3030158-id_18-15.0,t-3030158,id_18-15.0
t-3033094-id_18-18.0,t-3033094,id_18-18.0
t-3033193-id_18-15.0,t-3033193,id_18-15.0
t-3036534-id_18-12.0,t-3036534,id_18-12.0
t-3036947-id_18-12.0,t-3036947,id_18-12.0
t-2990375-id_18-12.0,t-2990375,id_18-12.0
t-2990859-id_18-15.0,t-2990859,id_18-15.0
t-2995066-id_18-13.0,t-2995066,id_18-13.0
t-2997498-id_18-15.0,t-2997498,id_18-15.0
t-2998943-id_18-15.0,t-2998943,id_18-15.0
t-3005787-id_18-12.0,t-3005787,id_18-12.0
t-3006622-id_18-13.0,t-3006622,id_18-13.0
t-3017814-id_18-13.0,t-3017814,id_18-13.0
t-3020346-id_18-15.0,t-3020346,id_18-15.0
t-3020849-id_18-13.0,t-3020849,id_18-13.0
t-3029747-id_18-13.0,t-3029747,id_18-13.0
t-3033693-id_18-15.0,t-3033693,id_18-15.0
t-3035003-id_18-15.0,t-3035003,id_18-15.0
t-3036272-id_18-15.0,t-3036272,id_18-15.0
t-2993845-id_18-15.0,t-2993845,id_18-15.0
t-2994789-id_18-13.0,t-2994789,id_18-13.0
t-2998126-id_18-13.0,t-2998126,id_18-13.0
t-3008162-id_18-15.0,t-3008162,id_18-15.0
t-3008837-id_18-12.0,t-3008837,id_18-12.0
t-3012247-id_18-13.0,t-3012247,id_18-13.0
t-3014457-id_18-12.0,t-3014457,id_18-12.0
t-3017717-id_18-13.0,t-3017717,id_18-13.0
t-3017775-id_18-15.0,t-3017775,id_18-15.0
t-3018746-id_18-12.0,t-3018746,id_18-12.0
t-3018882-id_18-18.0,t-3018882,id_18-18.0
t-3020272-id_18-18.0,t-3020272,id_18-18.0
t-3020591-id_18-15.0,t-3020591,id_18-15.0
t-3023473-id_18-13.0,t-3023473,id_18-13.0
t-3023974-id_18-15.0,t-3023974,id_18-15.0
t-3024155-id_18-13.0,t-3024155,id_18-13.0
t-3026392-id_18-12.0,t-3026392,id_18-12.0
t-3028110-id_18-13.0,t-3028110,id_18-13.0
t-3028150-id_18-12.0,t-3028150,id_18-12.0
t-3029064-id_18-13.0,t-3029064,id_18-13.0
t-3031932-id_18-13.0,t-3031932,id_18-13.0
t-3032238-id_18-15.0,t-3032238,id_18-15.0
t-3032316-id_18-13.0,t-3032316,id_18-13.0
t-3036429-id_18-13.0,t-3036429,id_18-13.0
t-3036628-id_18-13.0,t-3036628,id_18-13.0
t-2987582-id_18-12.0,t-2987582,id_18-12.0
t-2988783-id_18-12.0,t-2988783,id_18-12.0
t-2997134-id_18-13.0,t-2997134,id_18-13.0
t-2997207-id_18-12.0,t-2997207,id_18-12.0
t-2999188-id_18-13.0,t-2999188,id_18-13.0
t-2999272-id_18-15.0,t-2999272,id_18-15.0
t-3000662-id_18-15.0,t-3000662,id_18-15.0
t-3002348-id_18-13.0,t-3002348,id_18-13.0
t-3005322-id_18-15.0,t-3005322,id_18-15.0
t-3010896-id_18-15.0,t-3010896,id_18-15.0
t-3012013-id_18-13.0,t-3012013,id_18-13.0
t-3012110-id_18-15.0,t-3012110,id_18-15.0
t-3014172-id_18-13.0,t-3014172,id_18-13.0
t-3017726-id_18-15.0,t-3017726,id_18-15.0
t-3026374-id_18-15.0,t-3026374,id_18-15.0
t-3027977-id_18-12.0,t-3027977,id_18-12.0
t-3028997-id_18-13.0,t-3028997,id_18-13.0
t-3031772-id_18-13.0,t-3031772,id_18-13.0
t-3032832-id_18-15.0,t-3032832,id_18-15.0
t-3034819-id_18-13.0,t-3034819,id_18-13.0
t-2990038-id_18-15.0,t-2990038,id_18-15.0
t-2991393-id_18-12.0,t-2991393,id_18-12.0
t-2994379-id_18-15.0,t-2994379,id_18-15.0
