:id,:from,:to
t-2987404-id_19-542.0,t-2987404,id_19-542.0
t-2987668-id_19-153.0,t-2987668,id_19-153.0
t-2987895-id_19-266.0,t-2987895,id_19-266.0
t-2990339-id_19-100.0,t-2990339,id_19-100.0
t-2991440-id_19-410.0,t-2991440,id_19-410.0
t-2992406-id_19-667.0,t-2992406,id_19-667.0
t-2992636-id_19-176.0,t-2992636,id_19-176.0
t-2993298-id_19-100.0,t-2993298,id_19-100.0
t-2994901-id_19-542.0,t-2994901,id_19-542.0
t-2999211-id_19-542.0,t-2999211,id_19-542.0
t-2999816-id_19-529.0,t-2999816,id_19-529.0
t-3000142-id_19-193.0,t-3000142,id_19-193.0
t-3001403-id_19-410.0,t-3001403,id_19-410.0
t-3001776-id_19-193.0,t-3001776,id_19-193.0
t-3001947-id_19-410.0,t-3001947,id_19-410.0
t-3004072-id_19-266.0,t-3004072,id_19-266.0
t-3004283-id_19-529.0,t-3004283,id_19-529.0
t-3005682-id_19-621.0,t-3005682,id_19-621.0
t-3006135-id_19-321.0,t-3006135,id_19-321.0
t-3008504-id_19-410.0,t-3008504,id_19-410.0
t-3008601-id_19-100.0,t-3008601,id_19-100.0
t-3010508-id_19-390.0,t-3010508,id_19-390.0
t-3011020-id_19-574.0,t-3011020,id_19-574.0
t-3011675-id_19-321.0,t-3011675,id_19-321.0
t-3011693-id_19-427.0,t-3011693,id_19-427.0
t-3011695-id_19-277.0,t-3011695,id_19-277.0
t-3012059-id_19-373.0,t-3012059,id_19-373.0
t-3013521-id_19-397.0,t-3013521,id_19-397.0
t-3014050-id_19-621.0,t-3014050,id_19-621.0
t-3014220-id_19-410.0,t-3014220,id_19-410.0
t-3015408-id_19-427.0,t-3015408,id_19-427.0
t-3015414-id_19-321.0,t-3015414,id_19-321.0
t-3015485-id_19-529.0,t-3015485,id_19-529.0
t-3015695-id_19-341.0,t-3015695,id_19-341.0
t-3015941-id_19-410.0,t-3015941,id_19-410.0
t-3016722-id_19-410.0,t-3016722,id_19-410.0
t-3017167-id_19-542.0,t-3017167,id_19-542.0
t-3017173-id_19-144.0,t-3017173,id_19-144.0
t-3017358-id_19-633.0,t-3017358,id_19-633.0
t-3017904-id_19-548.0,t-3017904,id_19-548.0
t-3018721-id_19-427.0,t-3018721,id_19-427.0
t-3019369-id_19-621.0,t-3019369,id_19-621.0
t-3019396-id_19-266.0,t-3019396,id_19-266.0
t-3020955-id_19-337.0,t-3020955,id_19-337.0
t-3021299-id_19-632.0,t-3021299,id_19-632.0
t-3021468-id_19-352.0,t-3021468,id_19-352.0
t-3021511-id_19-427.0,t-3021511,id_19-427.0
t-3021579-id_19-418.0,t-3021579,id_19-418.0
t-3021793-id_19-548.0,t-3021793,id_19-548.0
t-3021849-id_19-529.0,t-3021849,id_19-529.0
t-3023154-id_19-266.0,t-3023154,id_19-266.0
t-3023281-id_19-621.0,t-3023281,id_19-621.0
t-3023382-id_19-215.0,t-3023382,id_19-215.0
t-3023405-id_19-216.0,t-3023405,id_19-216.0
t-3023963-id_19-633.0,t-3023963,id_19-633.0
t-3024312-id_19-621.0,t-3024312,id_19-621.0
t-3024911-id_19-100.0,t-3024911,id_19-100.0
t-3024925-id_19-266.0,t-3024925,id_19-266.0
t-3025889-id_19-633.0,t-3025889,id_19-633.0
t-3027245-id_19-529.0,t-3027245,id_19-529.0
t-3027721-id_19-529.0,t-3027721,id_19-529.0
t-3027756-id_19-266.0,t-3027756,id_19-266.0
t-3028050-id_19-630.0,t-3028050,id_19-630.0
