:id,:from,:to
t-2987141-id_20-597.0,t-2987141,id_20-597.0
t-2987352-id_20-401.0,t-2987352,id_20-401.0
t-2987641-id_20-507.0,t-2987641,id_20-507.0
t-2987901-id_20-507.0,t-2987901,id_20-507.0
t-2990463-id_20-549.0,t-2990463,id_20-549.0
t-2991092-id_20-507.0,t-2991092,id_20-507.0
t-2991153-id_20-401.0,t-2991153,id_20-401.0
t-2993791-id_20-277.0,t-2993791,id_20-277.0
t-2994110-id_20-507.0,t-2994110,id_20-507.0
t-2994181-id_20-391.0,t-2994181,id_20-391.0
t-2996042-id_20-103.0,t-2996042,id_20-103.0
t-2997113-id_20-223.0,t-2997113,id_20-223.0
t-2998567-id_20-472.0,t-2998567,id_20-472.0
t-2999139-id_20-177.0,t-2999139,id_20-177.0
t-3000064-id_20-340.0,t-3000064,id_20-340.0
t-3000773-id_20-489.0,t-3000773,id_20-489.0
t-3002018-id_20-222.0,t-3002018,id_20-222.0
t-3003597-id_20-600.0,t-3003597,id_20-600.0
t-3005810-id_20-507.0,t-3005810,id_20-507.0
t-3006455-id_20-533.0,t-3006455,id_20-533.0
t-3007611-id_20-549.0,t-3007611,id_20-549.0
t-3007628-id_20-335.0,t-3007628,id_20-335.0
t-3007735-id_20-368.0,t-3007735,id_20-368.0
t-3007935-id_20-214.0,t-3007935,id_20-214.0
t-3008250-id_20-222.0,t-3008250,id_20-222.0
t-3008485-id_20-222.0,t-3008485,id_20-222.0
t-3008686-id_20-597.0,t-3008686,id_20-597.0
t-3009500-id_20-280.0,t-3009500,id_20-280.0
t-3010046-id_20-489.0,t-3010046,id_20-489.0
t-3010132-id_20-563.0,t-3010132,id_20-563.0
t-3011000-id_20-507.0,t-3011000,id_20-507.0
t-3011020-id_20-507.0,t-3011020,id_20-507.0
t-3011253-id_20-507.0,t-3011253,id_20-507.0
t-3011405-id_20-333.0,t-3011405,id_20-333.0
t-3012198-id_20-333.0,t-3012198,id_20-333.0
t-3012424-id_20-222.0,t-3012424,id_20-222.0
t-3013636-id_20-222.0,t-3013636,id_20-222.0
t-3013734-id_20-278.0,t-3013734,id_20-278.0
t-3014045-id_20-533.0,t-3014045,id_20-533.0
t-3014423-id_20-161.0,t-3014423,id_20-161.0
t-3015370-id_20-278.0,t-3015370,id_20-278.0
t-3015390-id_20-214.0,t-3015390,id_20-214.0
t-3018059-id_20-222.0,t-3018059,id_20-222.0
t-3018173-id_20-549.0,t-3018173,id_20-549.0
t-3019434-id_20-549.0,t-3019434,id_20-549.0
t-3020362-id_20-600.0,t-3020362,id_20-600.0
t-3020381-id_20-549.0,t-3020381,id_20-549.0
t-3021965-id_20-549.0,t-3021965,id_20-549.0
t-3022239-id_20-610.0,t-3022239,id_20-610.0
t-3023129-id_20-394.0,t-3023129,id_20-394.0
t-3023727-id_20-278.0,t-3023727,id_20-278.0
t-3023860-id_20-533.0,t-3023860,id_20-533.0
t-3024587-id_20-333.0,t-3024587,id_20-333.0
t-3026315-id_20-600.0,t-3026315,id_20-600.0
t-3026616-id_20-597.0,t-3026616,id_20-597.0
t-3026688-id_20-507.0,t-3026688,id_20-507.0
t-3026703-id_20-507.0,t-3026703,id_20-507.0
t-3028483-id_20-222.0,t-3028483,id_20-222.0
t-3028955-id_20-222.0,t-3028955,id_20-222.0
t-3029992-id_20-146.0,t-3029992,id_20-146.0
t-3030261-id_20-222.0,t-3030261,id_20-222.0
t-3030433-id_20-222.0,t-3030433,id_20-222.0
t-3030445-id_20-325.0,t-3030445,id_20-325.0
t-3030555-id_20-521.0,t-3030555,id_20-521.0
t-3030635-id_20-489.0,t-3030635,id_20-489.0
t-3030953-id_20-222.0,t-3030953,id_20-222.0
t-3032034-id_20-600.0,t-3032034,id_20-600.0
t-3032122-id_20-178.0,t-3032122,id_20-178.0
t-3032128-id_20-177.0,t-3032128,id_20-177.0
t-3032445-id_20-472.0,t-3032445,id_20-472.0
t-3032455-id_20-439.0,t-3032455,id_20-439.0
t-3032493-id_20-507.0,t-3032493,id_20-507.0
t-3032619-id_20-507.0,t-3032619,id_20-507.0
t-3033145-id_20-533.0,t-3033145,id_20-533.0
t-3033272-id_20-600.0,t-3033272,id_20-600.0
t-3034911-id_20-333.0,t-3034911,id_20-333.0
t-3035207-id_20-222.0,t-3035207,id_20-222.0
t-3035747-id_20-489.0,t-3035747,id_20-489.0
t-3036515-id_20-600.0,t-3036515,id_20-600.0
t-2987398-id_20-563.0,t-2987398,id_20-563.0
t-2990371-id_20-507.0,t-2990371,id_20-507.0
t-2991064-id_20-177.0,t-2991064,id_20-177.0
t-2991091-id_20-563.0,t-2991091,id_20-563.0
t-2993168-id_20-391.0,t-2993168,id_20-391.0
t-2993429-id_20-368.0,t-2993429,id_20-368.0
t-2995137-id_20-214.0,t-2995137,id_20-214.0
t-2995286-id_20-535.0,t-2995286,id_20-535.0
t-2996859-id_20-533.0,t-2996859,id_20-533.0
t-2997087-id_20-533.0,t-2997087,id_20-533.0
t-2999354-id_20-507.0,t-2999354,id_20-507.0
t-3000408-id_20-533.0,t-3000408,id_20-533.0
t-3000765-id_20-278.0,t-3000765,id_20-278.0
t-3000810-id_20-222.0,t-3000810,id_20-222.0
t-3000811-id_20-597.0,t-3000811,id_20-597.0
t-3000830-id_20-394.0,t-3000830,id_20-394.0
t-3001003-id_20-222.0,t-3001003,id_20-222.0
t-3001226-id_20-161.0,t-3001226,id_20-161.0
t-3001410-id_20-597.0,t-3001410,id_20-597.0
t-3001879-id_20-533.0,t-3001879,id_20-533.0
t-3002901-id_20-278.0,t-3002901,id_20-278.0
t-3003100-id_20-600.0,t-3003100,id_20-600.0
t-3003979-id_20-177.0,t-3003979,id_20-177.0
t-3004368-id_20-597.0,t-3004368,id_20-597.0
t-3005522-id_20-325.0,t-3005522,id_20-325.0
t-3005920-id_20-533.0,t-3005920,id_20-533.0
t-3008107-id_20-222.0,t-3008107,id_20-222.0
t-3008609-id_20-214.0,t-3008609,id_20-214.0
t-3009436-id_20-549.0,t-3009436,id_20-549.0
t-3010635-id_20-507.0,t-3010635,id_20-507.0
t-3010658-id_20-266.0,t-3010658,id_20-266.0
t-3010681-id_20-507.0,t-3010681,id_20-507.0
t-3011358-id_20-100.0,t-3011358,id_20-100.0
t-3012178-id_20-533.0,t-3012178,id_20-533.0
t-3012661-id_20-391.0,t-3012661,id_20-391.0
t-3013349-id_20-507.0,t-3013349,id_20-507.0
t-3013706-id_20-268.0,t-3013706,id_20-268.0
t-3014443-id_20-484.0,t-3014443,id_20-484.0
t-3014810-id_20-489.0,t-3014810,id_20-489.0
t-3014873-id_20-561.0,t-3014873,id_20-561.0
t-3015211-id_20-177.0,t-3015211,id_20-177.0
t-3017707-id_20-214.0,t-3017707,id_20-214.0
t-3018121-id_20-500.0,t-3018121,id_20-500.0
t-3018867-id_20-111.0,t-3018867,id_20-111.0
t-3020137-id_20-368.0,t-3020137,id_20-368.0
t-3020146-id_20-600.0,t-3020146,id_20-600.0
t-3020176-id_20-533.0,t-3020176,id_20-533.0
t-3020632-id_20-500.0,t-3020632,id_20-500.0
t-3021589-id_20-597.0,t-3021589,id_20-597.0
t-3021616-id_20-533.0,t-3021616,id_20-533.0
t-3022167-id_20-177.0,t-3022167,id_20-177.0
t-3022526-id_20-278.0,t-3022526,id_20-278.0
t-3022883-id_20-507.0,t-3022883,id_20-507.0
t-3023083-id_20-507.0,t-3023083,id_20-507.0
t-3024770-id_20-638.0,t-3024770,id_20-638.0
t-3025868-id_20-280.0,t-3025868,id_20-280.0
t-3026687-id_20-417.0,t-3026687,id_20-417.0
t-3028415-id_20-333.0,t-3028415,id_20-333.0
t-3028942-id_20-186.0,t-3028942,id_20-186.0
t-3029184-id_20-611.0,t-3029184,id_20-611.0
t-3029495-id_20-535.0,t-3029495,id_20-535.0
t-3030199-id_20-225.0,t-3030199,id_20-225.0
t-3030754-id_20-178.0,t-3030754,id_20-178.0
t-3031460-id_20-401.0,t-3031460,id_20-401.0
t-3031914-id_20-489.0,t-3031914,id_20-489.0
t-3032173-id_20-489.0,t-3032173,id_20-489.0
t-3032254-id_20-333.0,t-3032254,id_20-333.0
t-3032711-id_20-533.0,t-3032711,id_20-533.0
t-3032718-id_20-401.0,t-3032718,id_20-401.0
t-3033540-id_20-222.0,t-3033540,id_20-222.0
t-3034047-id_20-222.0,t-3034047,id_20-222.0
t-2987499-id_20-563.0,t-2987499,id_20-563.0
t-2989055-id_20-325.0,t-2989055,id_20-325.0
t-2989091-id_20-111.0,t-2989091,id_20-111.0
t-2989496-id_20-597.0,t-2989496,id_20-597.0
t-2990523-id_20-535.0,t-2990523,id_20-535.0
t-2993328-id_20-500.0,t-2993328,id_20-500.0
t-2993690-id_20-256.0,t-2993690,id_20-256.0
t-2994709-id_20-533.0,t-2994709,id_20-533.0
t-2996137-id_20-612.0,t-2996137,id_20-612.0
t-2997141-id_20-609.0,t-2997141,id_20-609.0
t-2997207-id_20-500.0,t-2997207,id_20-500.0
t-2998412-id_20-484.0,t-2998412,id_20-484.0
t-2998669-id_20-561.0,t-2998669,id_20-561.0
t-2999637-id_20-533.0,t-2999637,id_20-533.0
t-2999798-id_20-186.0,t-2999798,id_20-186.0
t-3000147-id_20-507.0,t-3000147,id_20-507.0
t-3001593-id_20-549.0,t-3001593,id_20-549.0
t-3002130-id_20-222.0,t-3002130,id_20-222.0
t-3002908-id_20-214.0,t-3002908,id_20-214.0
t-3003234-id_20-549.0,t-3003234,id_20-549.0
t-3003281-id_20-563.0,t-3003281,id_20-563.0
t-3005101-id_20-161.0,t-3005101,id_20-161.0
t-3006894-id_20-161.0,t-3006894,id_20-161.0
t-3007087-id_20-222.0,t-3007087,id_20-222.0
t-3008586-id_20-500.0,t-3008586,id_20-500.0
t-3008976-id_20-277.0,t-3008976,id_20-277.0
t-3009335-id_20-489.0,t-3009335,id_20-489.0
t-3009580-id_20-333.0,t-3009580,id_20-333.0
t-3009680-id_20-445.0,t-3009680,id_20-445.0
t-3009971-id_20-177.0,t-3009971,id_20-177.0
t-3011236-id_20-521.0,t-3011236,id_20-521.0
t-3011248-id_20-563.0,t-3011248,id_20-563.0
t-3011566-id_20-160.0,t-3011566,id_20-160.0
t-3011822-id_20-633.0,t-3011822,id_20-633.0
t-3013101-id_20-178.0,t-3013101,id_20-178.0
t-3013441-id_20-186.0,t-3013441,id_20-186.0
t-3013473-id_20-597.0,t-3013473,id_20-597.0
t-3014270-id_20-269.0,t-3014270,id_20-269.0
t-3014844-id_20-266.0,t-3014844,id_20-266.0
t-3014870-id_20-266.0,t-3014870,id_20-266.0
t-3015027-id_20-535.0,t-3015027,id_20-535.0
t-3015131-id_20-333.0,t-3015131,id_20-333.0
t-3015952-id_20-280.0,t-3015952,id_20-280.0
t-3016123-id_20-222.0,t-3016123,id_20-222.0
t-3017111-id_20-325.0,t-3017111,id_20-325.0
t-3017209-id_20-507.0,t-3017209,id_20-507.0
t-3017281-id_20-549.0,t-3017281,id_20-549.0
t-3017435-id_20-611.0,t-3017435,id_20-611.0
t-3017672-id_20-256.0,t-3017672,id_20-256.0
t-3017704-id_20-215.0,t-3017704,id_20-215.0
t-3018877-id_20-325.0,t-3018877,id_20-325.0
t-3019075-id_20-489.0,t-3019075,id_20-489.0
t-3020530-id_20-600.0,t-3020530,id_20-600.0
t-3020736-id_20-391.0,t-3020736,id_20-391.0
t-3021525-id_20-391.0,t-3021525,id_20-391.0
t-3021547-id_20-401.0,t-3021547,id_20-401.0
t-3021549-id_20-507.0,t-3021549,id_20-507.0
t-3021975-id_20-489.0,t-3021975,id_20-489.0
t-3023033-id_20-484.0,t-3023033,id_20-484.0
t-3023093-id_20-500.0,t-3023093,id_20-500.0
t-3023109-id_20-566.0,t-3023109,id_20-566.0
t-3023590-id_20-507.0,t-3023590,id_20-507.0
t-3024729-id_20-549.0,t-3024729,id_20-549.0
t-3025154-id_20-100.0,t-3025154,id_20-100.0
t-3025233-id_20-222.0,t-3025233,id_20-222.0
t-3026254-id_20-222.0,t-3026254,id_20-222.0
t-3027329-id_20-549.0,t-3027329,id_20-549.0
t-3027588-id_20-507.0,t-3027588,id_20-507.0
t-3027619-id_20-535.0,t-3027619,id_20-535.0
t-3027906-id_20-325.0,t-3027906,id_20-325.0
t-3028062-id_20-333.0,t-3028062,id_20-333.0
t-3029261-id_20-100.0,t-3029261,id_20-100.0
t-3029377-id_20-612.0,t-3029377,id_20-612.0
t-3029465-id_20-368.0,t-3029465,id_20-368.0
t-3029923-id_20-404.0,t-3029923,id_20-404.0
t-3030093-id_20-391.0,t-3030093,id_20-391.0
