:id,:from,:to
t-2991089-id_28-Found,t-2991089,id_28-Found
t-2992572-id_28-New,t-2992572,id_28-New
t-2992791-id_28-New,t-2992791,id_28-New
t-2993328-id_28-New,t-2993328,id_28-New
t-2994803-id_28-New,t-2994803,id_28-New
t-2995638-id_28-New,t-2995638,id_28-New
t-2995972-id_28-Found,t-2995972,id_28-Found
t-2996166-id_28-New,t-2996166,id_28-New
t-2997030-id_28-New,t-2997030,id_28-New
t-2997983-id_28-Found,t-2997983,id_28-Found
t-2998322-id_28-New,t-2998322,id_28-New
t-2999052-id_28-New,t-2999052,id_28-New
t-2999238-id_28-New,t-2999238,id_28-New
t-2999292-id_28-Found,t-2999292,id_28-Found
t-2999409-id_28-Found,t-2999409,id_28-Found
t-3000137-id_28-New,t-3000137,id_28-New
t-3000234-id_28-New,t-3000234,id_28-New
t-3001815-id_28-Found,t-3001815,id_28-Found
t-3002163-id_28-Found,t-3002163,id_28-Found
t-3002632-id_28-New,t-3002632,id_28-New
t-3002844-id_28-New,t-3002844,id_28-New
t-3004258-id_28-New,t-3004258,id_28-New
t-3005276-id_28-New,t-3005276,id_28-New
t-3005752-id_28-New,t-3005752,id_28-New
t-3006733-id_28-New,t-3006733,id_28-New
t-3008112-id_28-Found,t-3008112,id_28-Found
t-3009638-id_28-New,t-3009638,id_28-New
t-3010751-id_28-New,t-3010751,id_28-New
t-3011132-id_28-Found,t-3011132,id_28-Found
t-3012328-id_28-Found,t-3012328,id_28-Found
t-3012576-id_28-New,t-3012576,id_28-New
t-3013285-id_28-Found,t-3013285,id_28-Found
t-3013403-id_28-New,t-3013403,id_28-New
t-3013625-id_28-Found,t-3013625,id_28-Found
t-3014192-id_28-Found,t-3014192,id_28-Found
t-3014736-id_28-Found,t-3014736,id_28-Found
t-3015271-id_28-New,t-3015271,id_28-New
t-3015931-id_28-New,t-3015931,id_28-New
t-3015955-id_28-New,t-3015955,id_28-New
t-3015960-id_28-Found,t-3015960,id_28-Found
t-3016201-id_28-Found,t-3016201,id_28-Found
t-3017221-id_28-Found,t-3017221,id_28-Found
t-3017842-id_28-Found,t-3017842,id_28-Found
t-3018120-id_28-Found,t-3018120,id_28-Found
t-3018244-id_28-New,t-3018244,id_28-New
t-3019513-id_28-Found,t-3019513,id_28-Found
t-3019646-id_28-New,t-3019646,id_28-New
t-3019940-id_28-New,t-3019940,id_28-New
t-3019954-id_28-Found,t-3019954,id_28-Found
t-3021323-id_28-Found,t-3021323,id_28-Found
t-3021841-id_28-Found,t-3021841,id_28-Found
t-3021844-id_28-Found,t-3021844,id_28-Found
t-3022157-id_28-New,t-3022157,id_28-New
t-3023176-id_28-New,t-3023176,id_28-New
t-3024038-id_28-Found,t-3024038,id_28-Found
t-3024979-id_28-New,t-3024979,id_28-New
t-3025394-id_28-New,t-3025394,id_28-New
t-3025669-id_28-New,t-3025669,id_28-New
t-3026144-id_28-New,t-3026144,id_28-New
t-3026437-id_28-New,t-3026437,id_28-New
t-3027511-id_28-New,t-3027511,id_28-New
t-3028143-id_28-Found,t-3028143,id_28-Found
t-3028316-id_28-New,t-3028316,id_28-New
t-3028444-id_28-Found,t-3028444,id_28-Found
t-3028448-id_28-New,t-3028448,id_28-New
t-3028508-id_28-New,t-3028508,id_28-New
t-3028831-id_28-Found,t-3028831,id_28-Found
t-3028907-id_28-Found,t-3028907,id_28-Found
t-3029481-id_28-New,t-3029481,id_28-New
t-3031153-id_28-New,t-3031153,id_28-New
t-3031297-id_28-Found,t-3031297,id_28-Found
t-3031531-id_28-Found,t-3031531,id_28-Found
t-3031783-id_28-Found,t-3031783,id_28-Found
t-3032943-id_28-Found,t-3032943,id_28-Found
t-3032956-id_28-New,t-3032956,id_28-New
t-3033898-id_28-Found,t-3033898,id_28-Found
t-3034986-id_28-New,t-3034986,id_28-New
t-3035355-id_28-Found,t-3035355,id_28-Found
t-3035541-id_28-Found,t-3035541,id_28-Found
t-3036281-id_28-Found,t-3036281,id_28-Found
t-3036902-id_28-Found,t-3036902,id_28-Found
t-2987236-id_28-New,t-2987236,id_28-New
t-2987605-id_28-Found,t-2987605,id_28-Found
t-2990901-id_28-New,t-2990901,id_28-New
t-2991441-id_28-New,t-2991441,id_28-New
t-2991920-id_28-New,t-2991920,id_28-New
t-2993336-id_28-Found,t-2993336,id_28-Found
t-2993449-id_28-New,t-2993449,id_28-New
t-2993497-id_28-New,t-2993497,id_28-New
t-2993983-id_28-New,t-2993983,id_28-New
t-2994219-id_28-New,t-2994219,id_28-New
