:id,:from,:to
t-2987101-id_30-Mac OS X 10_7_5,t-2987101,id_30-Mac OS X 10_7_5
t-2987544-id_30-iOS 11.1.2,t-2987544,id_30-iOS 11.1.2
t-2988393-id_30-Windows 10,t-2988393,id_30-Windows 10
t-2989434-id_30-Mac OS X 10_12_6,t-2989434,id_30-Mac OS X 10_12_6
t-2990402-id_30-iOS 11.1.1,t-2990402,id_30-iOS 11.1.1
t-2990793-id_30-iOS 10.3.2,t-2990793,id_30-iOS 10.3.2
t-2991309-id_30-Windows 10,t-2991309,id_30-Windows 10
t-2994552-id_30-iOS 11.2.0,t-2994552,id_30-iOS 11.2.0
t-2995026-id_30-Mac OS X 10_13_1,t-2995026,id_30-Mac OS X 10_13_1
t-2995959-id_30-Windows 10,t-2995959,id_30-Windows 10
t-2997820-id_30-Windows 10,t-2997820,id_30-Windows 10
t-2998734-id_30-Windows 10,t-2998734,id_30-Windows 10
t-2999192-id_30-iOS 11.1.2,t-2999192,id_30-iOS 11.1.2
t-2999339-id_30-iOS 11.0.3,t-2999339,id_30-iOS 11.0.3
t-3001937-id_30-Windows 7,t-3001937,id_30-Windows 7
t-3003268-id_30-Windows 10,t-3003268,id_30-Windows 10
t-3004456-id_30-Mac OS X 10.11,t-3004456,id_30-Mac OS X 10.11
t-3005253-id_30-iOS 11.1.1,t-3005253,id_30-iOS 11.1.1
t-3005346-id_30-iOS 11.1.2,t-3005346,id_30-iOS 11.1.2
t-3005658-id_30-Windows 7,t-3005658,id_30-Windows 7
t-3007526-id_30-Android 7.0,t-3007526,id_30-Android 7.0
t-3007781-id_30-iOS,t-3007781,id_30-iOS
t-3009249-id_30-Windows 10,t-3009249,id_30-Windows 10
t-3009808-id_30-iOS 11.1.2,t-3009808,id_30-iOS 11.1.2
t-3010019-id_30-iOS 11.1.1,t-3010019,id_30-iOS 11.1.1
t-3010414-id_30-Windows 10,t-3010414,id_30-Windows 10
t-3010566-id_30-Android 7.0,t-3010566,id_30-Android 7.0
t-3010973-id_30-iOS 11.1.2,t-3010973,id_30-iOS 11.1.2
t-3012700-id_30-iOS 10.3.3,t-3012700,id_30-iOS 10.3.3
t-3012885-id_30-Windows 10,t-3012885,id_30-Windows 10
t-3013371-id_30-Windows 10,t-3013371,id_30-Windows 10
t-3013908-id_30-Android 7.0,t-3013908,id_30-Android 7.0
t-3014454-id_30-Windows 10,t-3014454,id_30-Windows 10
t-3015400-id_30-Windows 8,t-3015400,id_30-Windows 8
t-3015924-id_30-Windows 7,t-3015924,id_30-Windows 7
t-3016142-id_30-Windows 10,t-3016142,id_30-Windows 10
t-3016537-id_30-Windows 7,t-3016537,id_30-Windows 7
t-3016663-id_30-Windows 7,t-3016663,id_30-Windows 7
t-3018476-id_30-Windows 7,t-3018476,id_30-Windows 7
t-3019736-id_30-Windows 7,t-3019736,id_30-Windows 7
t-3019866-id_30-iOS 9.3.5,t-3019866,id_30-iOS 9.3.5
t-3020128-id_30-Windows 10,t-3020128,id_30-Windows 10
t-3020943-id_30-Windows 7,t-3020943,id_30-Windows 7
t-3021128-id_30-iOS 11.1.0,t-3021128,id_30-iOS 11.1.0
t-3021150-id_30-iOS 10.3.3,t-3021150,id_30-iOS 10.3.3
