:id,:from,:to
t-2987466-id_31-mobile safari 11.0,t-2987466,id_31-mobile safari 11.0
t-2988080-id_31-chrome 62.0,t-2988080,id_31-chrome 62.0
t-2988863-id_31-chrome 62.0,t-2988863,id_31-chrome 62.0
t-2988889-id_31-safari generic,t-2988889,id_31-safari generic
t-2989806-id_31-chrome 56.0,t-2989806,id_31-chrome 56.0
t-2990332-id_31-chrome 49.0,t-2990332,id_31-chrome 49.0
t-2990684-id_31-chrome 58.0,t-2990684,id_31-chrome 58.0
t-2990906-id_31-mobile safari 11.0,t-2990906,id_31-mobile safari 11.0
t-2991299-id_31-chrome 62.0,t-2991299,id_31-chrome 62.0
t-2993778-id_31-chrome 62.0,t-2993778,id_31-chrome 62.0
t-2994121-id_31-chrome 62.0,t-2994121,id_31-chrome 62.0
t-2994349-id_31-edge 16.0,t-2994349,id_31-edge 16.0
t-2994471-id_31-mobile safari 10.0,t-2994471,id_31-mobile safari 10.0
t-2994900-id_31-mobile safari 11.0,t-2994900,id_31-mobile safari 11.0
t-2995950-id_31-mobile safari 11.0,t-2995950,id_31-mobile safari 11.0
t-2999103-id_31-safari generic,t-2999103,id_31-safari generic
t-2999174-id_31-ie 11.0 for desktop,t-2999174,id_31-ie 11.0 for desktop
t-2999295-id_31-mobile safari 11.0,t-2999295,id_31-mobile safari 11.0
t-2999593-id_31-firefox 57.0,t-2999593,id_31-firefox 57.0
t-2999720-id_31-ie 11.0 for desktop,t-2999720,id_31-ie 11.0 for desktop
t-2999927-id_31-chrome 62.0,t-2999927,id_31-chrome 62.0
t-3000913-id_31-edge 16.0,t-3000913,id_31-edge 16.0
t-3001181-id_31-firefox 57.0,t-3001181,id_31-firefox 57.0
t-3002321-id_31-chrome 62.0,t-3002321,id_31-chrome 62.0
t-3002880-id_31-chrome 62.0,t-3002880,id_31-chrome 62.0
t-3003232-id_31-firefox 57.0,t-3003232,id_31-firefox 57.0
t-3004002-id_31-chrome 62.0,t-3004002,id_31-chrome 62.0
t-3004601-id_31-ie 11.0 for desktop,t-3004601,id_31-ie 11.0 for desktop
t-3004617-id_31-firefox 57.0,t-3004617,id_31-firefox 57.0
t-3005251-id_31-chrome,t-3005251,id_31-chrome
t-3006349-id_31-safari generic,t-3006349,id_31-safari generic
t-3006875-id_31-mobile safari 10.0,t-3006875,id_31-mobile safari 10.0
t-3009285-id_31-edge 15.0,t-3009285,id_31-edge 15.0
t-3009844-id_31-chrome 62.0,t-3009844,id_31-chrome 62.0
t-3009901-id_31-chrome 62.0,t-3009901,id_31-chrome 62.0
t-3010746-id_31-chrome 62.0 for android,t-3010746,id_31-chrome 62.0 for android
t-3011586-id_31-chrome 62.0,t-3011586,id_31-chrome 62.0
t-3013318-id_31-ie 11.0 for desktop,t-3013318,id_31-ie 11.0 for desktop
t-3014351-id_31-firefox 57.0,t-3014351,id_31-firefox 57.0
t-3015252-id_31-ie 11.0 for desktop,t-3015252,id_31-ie 11.0 for desktop
t-3019144-id_31-safari generic,t-3019144,id_31-safari generic
t-3019669-id_31-safari generic,t-3019669,id_31-safari generic
t-3020397-id_31-ie 11.0 for desktop,t-3020397,id_31-ie 11.0 for desktop
t-3020785-id_31-safari generic,t-3020785,id_31-safari generic
t-3021925-id_31-mobile safari 11.0,t-3021925,id_31-mobile safari 11.0
t-3022714-id_31-chrome 62.0,t-3022714,id_31-chrome 62.0
t-3023346-id_31-mobile safari 11.0,t-3023346,id_31-mobile safari 11.0
t-3023819-id_31-chrome 63.0,t-3023819,id_31-chrome 63.0
t-3023974-id_31-mobile safari generic,t-3023974,id_31-mobile safari generic
t-3024144-id_31-safari generic,t-3024144,id_31-safari generic
t-3024234-id_31-chrome 62.0,t-3024234,id_31-chrome 62.0
t-3025253-id_31-mobile safari generic,t-3025253,id_31-mobile safari generic
t-3025980-id_31-android webview 4.0,t-3025980,id_31-android webview 4.0
