:id,:from,:to
t-2987287-id_35-F,t-2987287,id_35-F
t-2988610-id_35-T,t-2988610,id_35-T
t-2989823-id_35-F,t-2989823,id_35-F
t-2989852-id_35-F,t-2989852,id_35-F
t-2990238-id_35-T,t-2990238,id_35-T
t-2991191-id_35-F,t-2991191,id_35-F
t-2991389-id_35-T,t-2991389,id_35-T
t-2991650-id_35-T,t-2991650,id_35-T
t-2991775-id_35-T,t-2991775,id_35-T
t-2992198-id_35-T,t-2992198,id_35-T
t-2992694-id_35-F,t-2992694,id_35-F
t-2993344-id_35-T,t-2993344,id_35-T
t-2994391-id_35-F,t-2994391,id_35-F
t-2994738-id_35-T,t-2994738,id_35-T
t-2997029-id_35-T,t-2997029,id_35-T
t-2997321-id_35-T,t-2997321,id_35-T
t-2998508-id_35-F,t-2998508,id_35-F
t-3000113-id_35-F,t-3000113,id_35-F
t-3000592-id_35-T,t-3000592,id_35-T
t-3000774-id_35-T,t-3000774,id_35-T
t-3001544-id_35-T,t-3001544,id_35-T
t-3001720-id_35-T,t-3001720,id_35-T
t-3001877-id_35-F,t-3001877,id_35-F
t-3002334-id_35-T,t-3002334,id_35-T
t-3004742-id_35-T,t-3004742,id_35-T
t-3005065-id_35-T,t-3005065,id_35-T
t-3005119-id_35-T,t-3005119,id_35-T
t-3005162-id_35-F,t-3005162,id_35-F
t-3005268-id_35-T,t-3005268,id_35-T
t-3005647-id_35-T,t-3005647,id_35-T
t-3005716-id_35-T,t-3005716,id_35-T
t-3005901-id_35-T,t-3005901,id_35-T
t-3006753-id_35-F,t-3006753,id_35-F
t-3007923-id_35-F,t-3007923,id_35-F
t-3008020-id_35-T,t-3008020,id_35-T
t-3008887-id_35-T,t-3008887,id_35-T
t-3008906-id_35-T,t-3008906,id_35-T
t-3009144-id_35-F,t-3009144,id_35-F
t-3009863-id_35-T,t-3009863,id_35-T
t-3010395-id_35-T,t-3010395,id_35-T
t-3011034-id_35-T,t-3011034,id_35-T
t-3011487-id_35-T,t-3011487,id_35-T
t-3012261-id_35-T,t-3012261,id_35-T
t-3012308-id_35-T,t-3012308,id_35-T
t-3015448-id_35-F,t-3015448,id_35-F
t-3016130-id_35-F,t-3016130,id_35-F
t-3016266-id_35-T,t-3016266,id_35-T
t-3016461-id_35-F,t-3016461,id_35-F
t-3017913-id_35-T,t-3017913,id_35-T
t-3018337-id_35-T,t-3018337,id_35-T
t-3019391-id_35-T,t-3019391,id_35-T
t-3019455-id_35-F,t-3019455,id_35-F
t-3019518-id_35-F,t-3019518,id_35-F
t-3019651-id_35-T,t-3019651,id_35-T
t-3019818-id_35-T,t-3019818,id_35-T
t-3020920-id_35-T,t-3020920,id_35-T
t-3022152-id_35-T,t-3022152,id_35-T
t-3022340-id_35-T,t-3022340,id_35-T
t-3022643-id_35-T,t-3022643,id_35-T
t-3023345-id_35-T,t-3023345,id_35-T
t-3023350-id_35-T,t-3023350,id_35-T
t-3024304-id_35-T,t-3024304,id_35-T
t-3024497-id_35-T,t-3024497,id_35-T
t-3024871-id_35-T,t-3024871,id_35-T
t-3024880-id_35-T,t-3024880,id_35-T
t-3025008-id_35-T,t-3025008,id_35-T
t-3025396-id_35-T,t-3025396,id_35-T
