:id,:from,:to
t-2987125-id_36-F,t-2987125,id_36-F
t-2989102-id_36-F,t-2989102,id_36-F
t-2989743-id_36-T,t-2989743,id_36-T
t-2991832-id_36-F,t-2991832,id_36-F
t-2992102-id_36-F,t-2992102,id_36-F
t-2992260-id_36-F,t-2992260,id_36-F
t-2994980-id_36-F,t-2994980,id_36-F
t-2996624-id_36-F,t-2996624,id_36-F
t-2997470-id_36-T,t-2997470,id_36-T
t-2997547-id_36-F,t-2997547,id_36-F
t-2997915-id_36-F,t-2997915,id_36-F
t-2998602-id_36-F,t-2998602,id_36-F
t-2998742-id_36-T,t-2998742,id_36-T
t-2999209-id_36-T,t-2999209,id_36-T
t-2999480-id_36-F,t-2999480,id_36-F
t-3000867-id_36-F,t-3000867,id_36-F
t-3003464-id_36-F,t-3003464,id_36-F
t-3003602-id_36-F,t-3003602,id_36-F
t-3004692-id_36-F,t-3004692,id_36-F
t-3005403-id_36-F,t-3005403,id_36-F
t-3006667-id_36-F,t-3006667,id_36-F
t-3007740-id_36-F,t-3007740,id_36-F
t-3008081-id_36-F,t-3008081,id_36-F
t-3008440-id_36-T,t-3008440,id_36-T
t-3009039-id_36-F,t-3009039,id_36-F
t-3009944-id_36-F,t-3009944,id_36-F
t-3010740-id_36-F,t-3010740,id_36-F
t-3011589-id_36-F,t-3011589,id_36-F
t-3011818-id_36-F,t-3011818,id_36-F
t-3012366-id_36-F,t-3012366,id_36-F
t-3012752-id_36-F,t-3012752,id_36-F
t-3013309-id_36-F,t-3013309,id_36-F
t-3013344-id_36-F,t-3013344,id_36-F
t-3013655-id_36-T,t-3013655,id_36-T
t-3014163-id_36-F,t-3014163,id_36-F
t-3014594-id_36-F,t-3014594,id_36-F
t-3014815-id_36-F,t-3014815,id_36-F
t-3015091-id_36-F,t-3015091,id_36-F
t-3015116-id_36-F,t-3015116,id_36-F
t-3015410-id_36-F,t-3015410,id_36-F
t-3015982-id_36-F,t-3015982,id_36-F
t-3016350-id_36-F,t-3016350,id_36-F
t-3018378-id_36-F,t-3018378,id_36-F
t-3019455-id_36-F,t-3019455,id_36-F
t-3020225-id_36-F,t-3020225,id_36-F
t-3020276-id_36-F,t-3020276,id_36-F
t-3020373-id_36-T,t-3020373,id_36-T
t-3021119-id_36-F,t-3021119,id_36-F
t-3021156-id_36-F,t-3021156,id_36-F
t-3022431-id_36-F,t-3022431,id_36-F
t-3022688-id_36-F,t-3022688,id_36-F
t-3023155-id_36-F,t-3023155,id_36-F
t-3023171-id_36-F,t-3023171,id_36-F
t-3023361-id_36-F,t-3023361,id_36-F
t-3023365-id_36-F,t-3023365,id_36-F
t-3023755-id_36-F,t-3023755,id_36-F
t-3023756-id_36-F,t-3023756,id_36-F
t-3023766-id_36-F,t-3023766,id_36-F
t-3023798-id_36-F,t-3023798,id_36-F
t-3025791-id_36-F,t-3025791,id_36-F
t-3025964-id_36-F,t-3025964,id_36-F
t-3027131-id_36-F,t-3027131,id_36-F
t-3027592-id_36-F,t-3027592,id_36-F
t-3028023-id_36-F,t-3028023,id_36-F
t-3028091-id_36-F,t-3028091,id_36-F
t-3028320-id_36-F,t-3028320,id_36-F
t-3028397-id_36-F,t-3028397,id_36-F
t-3028420-id_36-F,t-3028420,id_36-F
t-3028495-id_36-F,t-3028495,id_36-F
t-3028901-id_36-F,t-3028901,id_36-F
t-3029309-id_36-F,t-3029309,id_36-F
t-3029458-id_36-F,t-3029458,id_36-F
t-3029668-id_36-F,t-3029668,id_36-F
t-3029691-id_36-F,t-3029691,id_36-F
t-3030703-id_36-F,t-3030703,id_36-F
t-3030851-id_36-F,t-3030851,id_36-F
t-3032166-id_36-F,t-3032166,id_36-F
t-3033272-id_36-T,t-3033272,id_36-T
t-3033384-id_36-F,t-3033384,id_36-F
t-3033608-id_36-F,t-3033608,id_36-F
t-3033696-id_36-F,t-3033696,id_36-F
t-3033745-id_36-F,t-3033745,id_36-F
t-3034249-id_36-F,t-3034249,id_36-F
t-3034326-id_36-F,t-3034326,id_36-F
t-3034333-id_36-F,t-3034333,id_36-F
t-3035048-id_36-F,t-3035048,id_36-F
t-2987105-id_36-F,t-2987105,id_36-F
t-2987558-id_36-F,t-2987558,id_36-F
t-2989189-id_36-F,t-2989189,id_36-F
t-2995973-id_36-F,t-2995973,id_36-F
t-2996221-id_36-F,t-2996221,id_36-F
t-2996403-id_36-F,t-2996403,id_36-F
t-2996507-id_36-T,t-2996507,id_36-T
t-2999369-id_36-F,t-2999369,id_36-F
t-3000762-id_36-F,t-3000762,id_36-F
t-3002355-id_36-F,t-3002355,id_36-F
t-3002622-id_36-F,t-3002622,id_36-F
t-3002835-id_36-F,t-3002835,id_36-F
t-3003664-id_36-F,t-3003664,id_36-F
t-3004042-id_36-F,t-3004042,id_36-F
t-3004060-id_36-F,t-3004060,id_36-F
t-3004236-id_36-F,t-3004236,id_36-F
t-3005443-id_36-F,t-3005443,id_36-F
t-3005660-id_36-T,t-3005660,id_36-T
t-3005701-id_36-F,t-3005701,id_36-F
t-3006112-id_36-F,t-3006112,id_36-F
t-3006224-id_36-F,t-3006224,id_36-F
t-3007796-id_36-F,t-3007796,id_36-F
t-3007922-id_36-F,t-3007922,id_36-F
t-3008910-id_36-F,t-3008910,id_36-F
t-3011199-id_36-F,t-3011199,id_36-F
t-3011871-id_36-F,t-3011871,id_36-F
t-3012533-id_36-F,t-3012533,id_36-F
t-3012813-id_36-T,t-3012813,id_36-T
t-3013206-id_36-F,t-3013206,id_36-F
t-3013801-id_36-F,t-3013801,id_36-F
t-3013883-id_36-F,t-3013883,id_36-F
t-3014060-id_36-F,t-3014060,id_36-F
t-3015487-id_36-F,t-3015487,id_36-F
t-3016887-id_36-F,t-3016887,id_36-F
t-3017158-id_36-F,t-3017158,id_36-F
t-3017534-id_36-F,t-3017534,id_36-F
t-3017551-id_36-F,t-3017551,id_36-F
t-3019519-id_36-F,t-3019519,id_36-F
t-3019606-id_36-F,t-3019606,id_36-F
t-3019909-id_36-F,t-3019909,id_36-F
t-3021073-id_36-F,t-3021073,id_36-F
t-3021589-id_36-F,t-3021589,id_36-F
t-3022189-id_36-F,t-3022189,id_36-F
t-3022940-id_36-F,t-3022940,id_36-F
t-3023033-id_36-F,t-3023033,id_36-F
t-3023315-id_36-F,t-3023315,id_36-F
t-3023522-id_36-F,t-3023522,id_36-F
t-3024064-id_36-F,t-3024064,id_36-F
t-3025805-id_36-F,t-3025805,id_36-F
t-3026213-id_36-F,t-3026213,id_36-F
t-3026425-id_36-F,t-3026425,id_36-F
t-3027542-id_36-F,t-3027542,id_36-F
t-3028289-id_36-F,t-3028289,id_36-F
t-3028549-id_36-F,t-3028549,id_36-F
t-3028997-id_36-F,t-3028997,id_36-F
t-3029155-id_36-T,t-3029155,id_36-T
t-3030335-id_36-F,t-3030335,id_36-F
t-3030370-id_36-F,t-3030370,id_36-F
t-3030797-id_36-F,t-3030797,id_36-F
t-3030976-id_36-F,t-3030976,id_36-F
t-3031829-id_36-F,t-3031829,id_36-F
t-3032242-id_36-F,t-3032242,id_36-F
t-3032757-id_36-F,t-3032757,id_36-F
t-3034160-id_36-T,t-3034160,id_36-T
t-3035056-id_36-F,t-3035056,id_36-F
t-3036185-id_36-F,t-3036185,id_36-F
t-3036279-id_36-F,t-3036279,id_36-F
t-2987141-id_36-F,t-2987141,id_36-F
t-2987544-id_36-F,t-2987544,id_36-F
t-2987555-id_36-F,t-2987555,id_36-F
t-2990704-id_36-F,t-2990704,id_36-F
t-2992731-id_36-F,t-2992731,id_36-F
t-2992941-id_36-T,t-2992941,id_36-T
t-2993986-id_36-F,t-2993986,id_36-F
t-2994238-id_36-F,t-2994238,id_36-F
t-2994379-id_36-F,t-2994379,id_36-F
t-2995861-id_36-F,t-2995861,id_36-F
t-2996592-id_36-F,t-2996592,id_36-F
t-2996830-id_36-T,t-2996830,id_36-T
t-2996872-id_36-T,t-2996872,id_36-T
t-2999354-id_36-F,t-2999354,id_36-F
t-2999600-id_36-F,t-2999600,id_36-F
t-3000841-id_36-F,t-3000841,id_36-F
t-3000872-id_36-T,t-3000872,id_36-T
t-3001530-id_36-T,t-3001530,id_36-T
t-3003498-id_36-F,t-3003498,id_36-F
t-3003540-id_36-F,t-3003540,id_36-F
t-3004082-id_36-F,t-3004082,id_36-F
t-3004097-id_36-F,t-3004097,id_36-F
t-3006255-id_36-F,t-3006255,id_36-F
t-3006808-id_36-F,t-3006808,id_36-F
t-3007053-id_36-F,t-3007053,id_36-F
t-3007724-id_36-F,t-3007724,id_36-F
t-3008135-id_36-F,t-3008135,id_36-F
t-3008207-id_36-F,t-3008207,id_36-F
t-3009373-id_36-F,t-3009373,id_36-F
t-3009578-id_36-F,t-3009578,id_36-F
t-3010195-id_36-F,t-3010195,id_36-F
t-3011202-id_36-F,t-3011202,id_36-F
t-3011761-id_36-F,t-3011761,id_36-F
t-3013154-id_36-F,t-3013154,id_36-F
t-3013498-id_36-F,t-3013498,id_36-F
t-3014298-id_36-F,t-3014298,id_36-F
t-3014363-id_36-F,t-3014363,id_36-F
t-3014536-id_36-F,t-3014536,id_36-F
t-3014723-id_36-F,t-3014723,id_36-F
t-3015236-id_36-F,t-3015236,id_36-F
t-3015469-id_36-F,t-3015469,id_36-F
t-3016380-id_36-F,t-3016380,id_36-F
t-3016432-id_36-F,t-3016432,id_36-F
t-3016725-id_36-F,t-3016725,id_36-F
t-3017084-id_36-F,t-3017084,id_36-F
t-3017405-id_36-F,t-3017405,id_36-F
t-3018062-id_36-F,t-3018062,id_36-F
t-3018470-id_36-F,t-3018470,id_36-F
t-3018709-id_36-F,t-3018709,id_36-F
t-3019378-id_36-F,t-3019378,id_36-F
t-3020198-id_36-T,t-3020198,id_36-T
t-3020218-id_36-F,t-3020218,id_36-F
t-3020594-id_36-F,t-3020594,id_36-F
t-3020767-id_36-F,t-3020767,id_36-F
t-3020873-id_36-F,t-3020873,id_36-F
t-3021532-id_36-F,t-3021532,id_36-F
t-3021587-id_36-F,t-3021587,id_36-F
t-3022023-id_36-F,t-3022023,id_36-F
t-3022280-id_36-F,t-3022280,id_36-F
t-3022475-id_36-F,t-3022475,id_36-F
t-3022745-id_36-F,t-3022745,id_36-F
t-3023337-id_36-T,t-3023337,id_36-T
t-3024521-id_36-F,t-3024521,id_36-F
t-3024799-id_36-F,t-3024799,id_36-F
t-3024971-id_36-F,t-3024971,id_36-F
t-3025107-id_36-F,t-3025107,id_36-F
t-3026764-id_36-F,t-3026764,id_36-F
t-3027260-id_36-F,t-3027260,id_36-F
t-3027330-id_36-F,t-3027330,id_36-F
t-3028116-id_36-F,t-3028116,id_36-F
t-3028282-id_36-F,t-3028282,id_36-F
t-3028626-id_36-F,t-3028626,id_36-F
t-3029365-id_36-F,t-3029365,id_36-F
t-3029536-id_36-F,t-3029536,id_36-F
t-3029915-id_36-F,t-3029915,id_36-F
t-3030117-id_36-F,t-3030117,id_36-F
t-3031008-id_36-F,t-3031008,id_36-F
t-3031539-id_36-F,t-3031539,id_36-F
t-3031758-id_36-T,t-3031758,id_36-T
t-3031995-id_36-F,t-3031995,id_36-F
t-3032217-id_36-F,t-3032217,id_36-F
t-3032392-id_36-F,t-3032392,id_36-F
t-3033659-id_36-T,t-3033659,id_36-T
t-3034625-id_36-F,t-3034625,id_36-F
t-3035210-id_36-F,t-3035210,id_36-F
t-3035794-id_36-F,t-3035794,id_36-F
t-3036008-id_36-T,t-3036008,id_36-T
t-3036114-id_36-F,t-3036114,id_36-F
t-3036866-id_36-F,t-3036866,id_36-F
t-2987190-id_36-F,t-2987190,id_36-F
t-2989530-id_36-F,t-2989530,id_36-F
t-2989991-id_36-F,t-2989991,id_36-F
t-2990917-id_36-F,t-2990917,id_36-F
t-2992602-id_36-F,t-2992602,id_36-F
t-2992694-id_36-F,t-2992694,id_36-F
t-2995616-id_36-F,t-2995616,id_36-F
t-2996123-id_36-F,t-2996123,id_36-F
t-2996718-id_36-F,t-2996718,id_36-F
t-2996919-id_36-F,t-2996919,id_36-F
t-2997035-id_36-F,t-2997035,id_36-F
t-2997475-id_36-F,t-2997475,id_36-F
t-2998296-id_36-F,t-2998296,id_36-F
t-2998422-id_36-F,t-2998422,id_36-F
t-2999536-id_36-F,t-2999536,id_36-F
t-2999674-id_36-F,t-2999674,id_36-F
t-2999792-id_36-F,t-2999792,id_36-F
t-2999939-id_36-F,t-2999939,id_36-F
