:id,:from,:to
t-2987145-id_37-F,t-2987145,id_37-F
t-2987505-id_37-F,t-2987505,id_37-F
t-2989310-id_37-F,t-2989310,id_37-F
t-2990683-id_37-T,t-2990683,id_37-T
t-2990689-id_37-T,t-2990689,id_37-T
t-2990704-id_37-T,t-2990704,id_37-T
t-2991452-id_37-F,t-2991452,id_37-F
t-2992937-id_37-T,t-2992937,id_37-T
t-2995261-id_37-T,t-2995261,id_37-T
t-2997240-id_37-T,t-2997240,id_37-T
t-2997628-id_37-T,t-2997628,id_37-T
t-2997669-id_37-F,t-2997669,id_37-F
t-2998219-id_37-T,t-2998219,id_37-T
t-2998532-id_37-T,t-2998532,id_37-T
t-2998659-id_37-T,t-2998659,id_37-T
t-3002879-id_37-T,t-3002879,id_37-T
t-3005464-id_37-F,t-3005464,id_37-F
t-3005811-id_37-T,t-3005811,id_37-T
t-3006041-id_37-T,t-3006041,id_37-T
t-3006689-id_37-T,t-3006689,id_37-T
t-3006749-id_37-F,t-3006749,id_37-F
t-3007161-id_37-F,t-3007161,id_37-F
t-3007519-id_37-F,t-3007519,id_37-F
t-3007737-id_37-T,t-3007737,id_37-T
t-3008502-id_37-T,t-3008502,id_37-T
t-3009367-id_37-T,t-3009367,id_37-T
t-3009588-id_37-T,t-3009588,id_37-T
t-3009788-id_37-T,t-3009788,id_37-T
t-3009817-id_37-F,t-3009817,id_37-F
t-3010962-id_37-F,t-3010962,id_37-F
t-3011546-id_37-F,t-3011546,id_37-F
t-3011707-id_37-T,t-3011707,id_37-T
t-3012037-id_37-T,t-3012037,id_37-T
t-3012585-id_37-F,t-3012585,id_37-F
t-3013126-id_37-T,t-3013126,id_37-T
t-3013372-id_37-T,t-3013372,id_37-T
t-3013699-id_37-F,t-3013699,id_37-F
t-3014241-id_37-T,t-3014241,id_37-T
t-3014704-id_37-T,t-3014704,id_37-T
t-3015276-id_37-T,t-3015276,id_37-T
t-3016639-id_37-T,t-3016639,id_37-T
t-3016811-id_37-F,t-3016811,id_37-F
t-3016814-id_37-T,t-3016814,id_37-T
t-3017261-id_37-T,t-3017261,id_37-T
t-3018114-id_37-T,t-3018114,id_37-T
t-3019343-id_37-F,t-3019343,id_37-F
t-3019773-id_37-F,t-3019773,id_37-F
t-3020092-id_37-T,t-3020092,id_37-T
t-3020240-id_37-T,t-3020240,id_37-T
t-3021793-id_37-F,t-3021793,id_37-F
t-3022003-id_37-F,t-3022003,id_37-F
t-3022391-id_37-F,t-3022391,id_37-F
t-3022450-id_37-F,t-3022450,id_37-F
t-3023437-id_37-F,t-3023437,id_37-F
t-3019750-id_37-T,t-3019750,id_37-T
t-3025522-id_37-T,t-3025522,id_37-T
t-3025839-id_37-T,t-3025839,id_37-T
t-3025872-id_37-T,t-3025872,id_37-T
t-3025954-id_37-F,t-3025954,id_37-F
t-3026678-id_37-F,t-3026678,id_37-F
t-3026815-id_37-T,t-3026815,id_37-T
t-3026975-id_37-T,t-3026975,id_37-T
t-3027371-id_37-T,t-3027371,id_37-T
t-3029132-id_37-T,t-3029132,id_37-T
t-3029844-id_37-T,t-3029844,id_37-T
t-3030381-id_37-F,t-3030381,id_37-F
t-3031607-id_37-T,t-3031607,id_37-T
t-3031734-id_37-T,t-3031734,id_37-T
t-3031764-id_37-T,t-3031764,id_37-T
t-3031870-id_37-T,t-3031870,id_37-T
t-3031947-id_37-T,t-3031947,id_37-T
t-3034067-id_37-T,t-3034067,id_37-T
t-3034110-id_37-F,t-3034110,id_37-F
t-3034511-id_37-T,t-3034511,id_37-T
t-3034887-id_37-F,t-3034887,id_37-F
t-3035010-id_37-F,t-3035010,id_37-F
t-3035143-id_37-T,t-3035143,id_37-T
t-3036037-id_37-T,t-3036037,id_37-T
t-3036661-id_37-T,t-3036661,id_37-T
t-2987288-id_37-F,t-2987288,id_37-F
t-2987466-id_37-F,t-2987466,id_37-F
t-2987821-id_37-F,t-2987821,id_37-F
t-2987901-id_37-F,t-2987901,id_37-F
t-2987926-id_37-T,t-2987926,id_37-T
t-2988812-id_37-T,t-2988812,id_37-T
t-2990573-id_37-T,t-2990573,id_37-T
t-2993836-id_37-F,t-2993836,id_37-F
t-2995775-id_37-T,t-2995775,id_37-T
t-2996592-id_37-T,t-2996592,id_37-T
t-2996820-id_37-T,t-2996820,id_37-T
t-2996843-id_37-T,t-2996843,id_37-T
t-2997467-id_37-T,t-2997467,id_37-T
t-2998962-id_37-T,t-2998962,id_37-T
t-2999273-id_37-T,t-2999273,id_37-T
t-3000019-id_37-F,t-3000019,id_37-F
t-3003608-id_37-T,t-3003608,id_37-T
t-3004100-id_37-F,t-3004100,id_37-F
t-3004108-id_37-T,t-3004108,id_37-T
t-3005054-id_37-T,t-3005054,id_37-T
t-3005685-id_37-T,t-3005685,id_37-T
t-3006009-id_37-T,t-3006009,id_37-T
t-3006430-id_37-T,t-3006430,id_37-T
t-3006636-id_37-T,t-3006636,id_37-T
t-3006804-id_37-T,t-3006804,id_37-T
t-3006995-id_37-T,t-3006995,id_37-T
t-3007515-id_37-T,t-3007515,id_37-T
t-3007553-id_37-T,t-3007553,id_37-T
t-3007654-id_37-T,t-3007654,id_37-T
t-3007696-id_37-T,t-3007696,id_37-T
t-3007780-id_37-T,t-3007780,id_37-T
t-3007828-id_37-T,t-3007828,id_37-T
t-3008456-id_37-T,t-3008456,id_37-T
t-3008957-id_37-T,t-3008957,id_37-T
t-3010970-id_37-T,t-3010970,id_37-T
t-3012643-id_37-F,t-3012643,id_37-F
t-3012791-id_37-F,t-3012791,id_37-F
t-3013111-id_37-T,t-3013111,id_37-T
t-3013193-id_37-T,t-3013193,id_37-T
t-3013267-id_37-F,t-3013267,id_37-F
t-3015279-id_37-T,t-3015279,id_37-T
t-3015711-id_37-T,t-3015711,id_37-T
t-3015942-id_37-T,t-3015942,id_37-T
t-3017087-id_37-T,t-3017087,id_37-T
t-3017462-id_37-T,t-3017462,id_37-T
t-3018185-id_37-T,t-3018185,id_37-T
t-3019330-id_37-T,t-3019330,id_37-T
t-3019449-id_37-T,t-3019449,id_37-T
t-3019918-id_37-T,t-3019918,id_37-T
t-3020013-id_37-T,t-3020013,id_37-T
t-3020721-id_37-T,t-3020721,id_37-T
t-3021569-id_37-F,t-3021569,id_37-F
t-3022189-id_37-T,t-3022189,id_37-T
t-3022196-id_37-T,t-3022196,id_37-T
