:id,:from,:to
t-2987576-id_38-T,t-2987576,id_38-T
t-2987598-id_38-T,t-2987598,id_38-T
t-2988714-id_38-T,t-2988714,id_38-T
t-2989872-id_38-T,t-2989872,id_38-T
t-2992602-id_38-T,t-2992602,id_38-T
t-2994552-id_38-T,t-2994552,id_38-T
t-2995572-id_38-T,t-2995572,id_38-T
t-2995832-id_38-T,t-2995832,id_38-T
t-2996934-id_38-T,t-2996934,id_38-T
t-2998642-id_38-T,t-2998642,id_38-T
t-2999327-id_38-T,t-2999327,id_38-T
t-2999741-id_38-T,t-2999741,id_38-T
t-2999747-id_38-T,t-2999747,id_38-T
t-3000069-id_38-T,t-3000069,id_38-T
t-3001782-id_38-T,t-3001782,id_38-T
t-3002154-id_38-T,t-3002154,id_38-T
t-3003705-id_38-T,t-3003705,id_38-T
t-3004320-id_38-T,t-3004320,id_38-T
t-3004467-id_38-T,t-3004467,id_38-T
t-3006062-id_38-T,t-3006062,id_38-T
t-3007083-id_38-T,t-3007083,id_38-T
t-3007225-id_38-T,t-3007225,id_38-T
t-3007410-id_38-T,t-3007410,id_38-T
t-3008298-id_38-T,t-3008298,id_38-T
t-3009160-id_38-T,t-3009160,id_38-T
t-3009989-id_38-T,t-3009989,id_38-T
t-3010784-id_38-T,t-3010784,id_38-T
t-3010963-id_38-T,t-3010963,id_38-T
t-3010997-id_38-F,t-3010997,id_38-F
t-3011546-id_38-T,t-3011546,id_38-T
t-3012813-id_38-T,t-3012813,id_38-T
t-3013632-id_38-F,t-3013632,id_38-F
t-3014416-id_38-T,t-3014416,id_38-T
t-3014723-id_38-T,t-3014723,id_38-T
t-3014797-id_38-T,t-3014797,id_38-T
t-3015645-id_38-T,t-3015645,id_38-T
t-3015814-id_38-F,t-3015814,id_38-F
t-3017031-id_38-T,t-3017031,id_38-T
t-3017861-id_38-T,t-3017861,id_38-T
t-3018739-id_38-T,t-3018739,id_38-T
t-3019255-id_38-T,t-3019255,id_38-T
t-3019820-id_38-T,t-3019820,id_38-T
t-3022964-id_38-T,t-3022964,id_38-T
t-3023040-id_38-T,t-3023040,id_38-T
t-3024080-id_38-T,t-3024080,id_38-T
t-3024556-id_38-T,t-3024556,id_38-T
t-3025164-id_38-T,t-3025164,id_38-T
t-3025720-id_38-T,t-3025720,id_38-T
t-3026609-id_38-T,t-3026609,id_38-T
t-3026967-id_38-T,t-3026967,id_38-T
t-3026968-id_38-T,t-3026968,id_38-T
t-3027149-id_38-T,t-3027149,id_38-T
t-3027166-id_38-T,t-3027166,id_38-T
t-3027259-id_38-T,t-3027259,id_38-T
t-3027570-id_38-T,t-3027570,id_38-T
t-3027987-id_38-T,t-3027987,id_38-T
t-3029035-id_38-F,t-3029035,id_38-F
t-3029723-id_38-T,t-3029723,id_38-T
t-3032447-id_38-T,t-3032447,id_38-T
t-3032791-id_38-T,t-3032791,id_38-T
t-3033177-id_38-F,t-3033177,id_38-F
t-3033322-id_38-T,t-3033322,id_38-T
t-3033384-id_38-F,t-3033384,id_38-F
t-3034086-id_38-T,t-3034086,id_38-T
t-3034160-id_38-T,t-3034160,id_38-T
t-3034239-id_38-T,t-3034239,id_38-T
t-3034368-id_38-T,t-3034368,id_38-T
t-3034607-id_38-T,t-3034607,id_38-T
t-3035185-id_38-T,t-3035185,id_38-T
t-3036086-id_38-T,t-3036086,id_38-T
t-3036684-id_38-F,t-3036684,id_38-F
t-2987596-id_38-T,t-2987596,id_38-T
t-2989303-id_38-T,t-2989303,id_38-T
t-2989310-id_38-T,t-2989310,id_38-T
t-2989502-id_38-T,t-2989502,id_38-T
t-2990565-id_38-T,t-2990565,id_38-T
t-2992030-id_38-T,t-2992030,id_38-T
t-2994092-id_38-T,t-2994092,id_38-T
t-2994121-id_38-T,t-2994121,id_38-T
t-2994745-id_38-T,t-2994745,id_38-T
t-2995331-id_38-T,t-2995331,id_38-T
t-2995775-id_38-T,t-2995775,id_38-T
t-2996872-id_38-T,t-2996872,id_38-T
t-2996995-id_38-T,t-2996995,id_38-T
t-2997069-id_38-T,t-2997069,id_38-T
t-2997329-id_38-T,t-2997329,id_38-T
t-2997846-id_38-T,t-2997846,id_38-T
t-2999844-id_38-T,t-2999844,id_38-T
t-3000299-id_38-T,t-3000299,id_38-T
t-3001014-id_38-T,t-3001014,id_38-T
t-3002563-id_38-T,t-3002563,id_38-T
t-3003148-id_38-T,t-3003148,id_38-T
t-3003422-id_38-T,t-3003422,id_38-T
t-3003547-id_38-T,t-3003547,id_38-T
t-3005763-id_38-T,t-3005763,id_38-T
t-3006432-id_38-T,t-3006432,id_38-T
t-3006636-id_38-T,t-3006636,id_38-T
t-3009628-id_38-T,t-3009628,id_38-T
t-3010318-id_38-T,t-3010318,id_38-T
t-3013118-id_38-T,t-3013118,id_38-T
t-3014114-id_38-F,t-3014114,id_38-F
t-3014315-id_38-T,t-3014315,id_38-T
t-3014943-id_38-T,t-3014943,id_38-T
t-3015027-id_38-T,t-3015027,id_38-T
t-3015217-id_38-T,t-3015217,id_38-T
t-3015422-id_38-T,t-3015422,id_38-T
t-3016037-id_38-T,t-3016037,id_38-T
t-3016135-id_38-F,t-3016135,id_38-F
t-3016842-id_38-T,t-3016842,id_38-T
t-3017168-id_38-T,t-3017168,id_38-T
t-3017261-id_38-T,t-3017261,id_38-T
t-3018859-id_38-T,t-3018859,id_38-T
t-3019081-id_38-T,t-3019081,id_38-T
t-3019297-id_38-T,t-3019297,id_38-T
t-3019338-id_38-T,t-3019338,id_38-T
t-3020084-id_38-T,t-3020084,id_38-T
t-3020272-id_38-T,t-3020272,id_38-T
t-3020641-id_38-T,t-3020641,id_38-T
t-3020951-id_38-T,t-3020951,id_38-T
t-3021633-id_38-F,t-3021633,id_38-F
t-3021812-id_38-T,t-3021812,id_38-T
t-3022249-id_38-T,t-3022249,id_38-T
t-3022611-id_38-T,t-3022611,id_38-T
t-3023356-id_38-T,t-3023356,id_38-T
t-3024751-id_38-T,t-3024751,id_38-T
t-3024844-id_38-F,t-3024844,id_38-F
t-3025661-id_38-T,t-3025661,id_38-T
t-3025786-id_38-T,t-3025786,id_38-T
t-3025901-id_38-T,t-3025901,id_38-T
t-3025964-id_38-T,t-3025964,id_38-T
t-3026508-id_38-T,t-3026508,id_38-T
